symbol,date,period,has_trade,has_twosided_quote,usable,win_flag,pnl_bt
LLYX,2025-05-02,2025H1,True,True,True,0,-359.41226529999585
PONY,2025-05-02,2025H1,True,True,True,1,6960.618422400011
PONY,2025-05-06,2025H1,True,True,True,0,-1899.302779464282
SMCX,2025-05-13,2025H1,True,True,True,1,8502.492403563301
SMCL,2025-05-13,2025H1,True,True,True,1,7899.240746250008
OMER,2025-05-13,2025H1,True,True,True,1,2072.1496300000063
SMCL,2025-05-16,2025H1,True,True,True,0,931.2877484999972
SHLS,2025-05-16,2025H1,True,True,True,0,-1287.0124993038853
ASST,2025-05-22,2025H1,True,True,True,1,12697.41378149999
CONI,2025-05-23,2025H1,True,True,True,0,-383.8249799999975
BKKT,2025-05-27,2025H1,True,True,True,0,-1607.9772365292845
EDBL,2025-05-28,2025H1,True,True,True,1,4924.447529903989
ALZN,2025-06-03,2025H1,True,True,True,1,920.1295505999946
SXTP,2025-06-05,2025H1,True,True,True,0,-1232.8120822060664
CONL,2025-06-06,2025H1,True,True,True,0,-1312.9994082085725
RIOX,2025-06-06,2025H1,True,True,True,1,3376.5465100000006
SKYA,2025-06-06,2025H1,False,False,False,0,-1212.0469665085725
ALAR,2025-06-10,2025H1,True,True,True,0,-894.4663126146453
RGTIW,2025-06-11,2025H1,True,True,True,1,2950.757567409995
FMST,2025-06-11,2025H1,True,True,True,0,-2798.228391616426
ARAI,2025-06-12,2025H1,True,True,True,1,-639.5889599999927
ZENA,2025-06-12,2025H1,True,True,True,0,-1913.046135235715
UMAC,2025-06-13,2025H1,True,True,True,0,-495.238104
URGN,2025-06-16,2025H1,True,True,True,1,3559.12575
RBNE,2025-06-17,2025H1,True,True,True,1,5616.209843750007
XTIA,2025-06-17,2025H1,True,True,True,1,-632.5505688000032
INDO,2025-06-17,2025H1,True,True,True,1,-1467.8895065291954
HERE,2025-06-18,2025H1,False,False,False,1,-1268.6869119600003
TEMT,2025-06-24,2025H1,True,True,True,0,-1670.0056511535863
MFI,2025-06-26,2025H1,True,True,True,1,607.2585580600021
NKTR,2025-06-30,2025H1,True,True,True,0,-2151.797230000004
PRME,2025-07-03,2025H2-2026-09,True,True,True,0,-1261.893772549285
SY,2025-07-03,2025H2-2026-09,True,True,True,1,1414.0566443492005
DAIC,2025-07-07,2025H2-2026-09,True,True,True,1,1260.4902548000082
RGC,2025-07-08,2025H2-2026-09,True,True,True,0,-128.21318999999374
ZEPP,2025-07-10,2025H2-2026-09,True,True,True,1,-199.38775999999496
KWM,2025-07-11,2025H2-2026-09,True,True,True,0,-1510.09828896378
DTCX,2025-07-14,2025H2-2026-09,False,False,False,1,327.8612486000177
LGHL,2025-07-14,2025H2-2026-09,True,True,True,0,-1279.3981200000012
BTCS,2025-07-15,2025H2-2026-09,True,True,True,0,-1357.540299999987
ZEPP,2025-07-15,2025H2-2026-09,True,True,True,1,973.1533611800056
CWVX,2025-07-21,2025H2-2026-09,True,True,True,1,1004.4992328400024
LIMN,2025-07-24,2025H2-2026-09,True,True,True,1,1099.2302706000053
NFE,2025-07-28,2025H2-2026-09,True,True,True,0,-261.7908150000035
YMAT,2025-07-31,2025H2-2026-09,True,True,True,0,-2193.59580359999
SLDP,2025-08-11,2025H2-2026-09,True,True,True,0,-1639.3368568926428
ICHR,2025-08-12,2025H2-2026-09,True,True,True,1,-199.351159999998
NCNA,2025-08-21,2025H2-2026-09,True,True,True,1,2368.706766719999
ASST,2025-08-26,2025H2-2026-09,True,True,True,1,-1427.3444374553558
TONX,2025-08-28,2025H2-2026-09,False,False,False,0,-1029.667819999986
CNTN,2025-08-29,2025H2-2026-09,False,False,False,0,909.091653749998
PMI,2025-09-02,2025H2-2026-09,True,True,True,1,3907.695599999994
TECX,2025-09-03,2025H2-2026-09,True,True,True,0,-422.0232799999983
YDKG,2025-09-04,2025H2-2026-09,False,False,False,1,1349.9476155000025
NAKA,2025-09-05,2025H2-2026-09,True,True,True,1,3961.604599999998
CNTN,2025-09-05,2025H2-2026-09,False,False,False,0,1229.8901225200036
CRWU,2025-09-09,2025H2-2026-09,True,True,True,0,-172.9985669999977
CRWG,2025-09-09,2025H2-2026-09,True,True,True,0,-349.29076649998973
CWVX,2025-09-09,2025H2-2026-09,True,True,True,0,-199.39775999999145
STKE,2025-09-10,2025H2-2026-09,True,True,True,0,-918.5880599999998
ZGM,2025-09-10,2025H2-2026-09,True,True,True,0,111.84645000000498
ZTG,2025-09-10,2025H2-2026-09,False,False,False,0,111.84645000000498
OPAD,2025-09-11,2025H2-2026-09,True,True,True,1,960.2357797100126
FCHL,2025-09-11,2025H2-2026-09,True,True,True,1,6119.898409660005
ZONE,2025-09-12,2025H2-2026-09,True,True,True,0,-418.7772000000031
ORBS,2025-09-12,2025H2-2026-09,True,True,True,1,1128.7353442499937
HOUR,2025-09-12,2025H2-2026-09,True,True,True,1,-529.6072099999964
STKE,2025-09-12,2025H2-2026-09,True,True,True,1,1097.0377664400014
CCUP,2025-09-15,2025H2-2026-09,True,True,True,0,-396.3356591999941
CRCG,2025-09-15,2025H2-2026-09,True,True,True,0,-467.4322599999763
