symbol,date,period,delay_s,status,fill_price,t_star,pnl_replay
SMCX,2025-05-13,2025H1,10,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,15,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,20,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,30,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,45,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,60,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,90,filled,28.83,99.402385406,566.8385233390266
SMCL,2025-05-13,2025H1,0,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,1,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,2,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,3,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,5,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,10,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,15,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,20,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,30,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,45,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,60,skipped_guard,,108.490264307,0.0
SMCL,2025-05-13,2025H1,90,skipped_guard,,108.490264307,0.0
OMER,2025-05-13,2025H1,0,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,1,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,2,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,3,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,5,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,10,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,15,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,20,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,30,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,45,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,60,filled,4.22,104.879030211,138.14416993468615
OMER,2025-05-13,2025H1,90,filled,4.22,104.879030211,138.14416993468615
