symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,vol_open5,n_prior,rvol_open5,ratr,ratr_tier,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
FOFO,2025-09-24,16.99082,772.9492475600026,1.5463007671201323,lock,1,1,3.305785123966956,15979.0,1.2454075231713502,19.155383778278328,3.0,0.7857142857142848,-0.7083825265643505,1.0,0.7114657134246078,5.808869456589629,35.3529044347283,0.7067137809187279,1604019.625,29.615992064215646,-4.131295981890212,13.257361773613018,0.7961822786301632,0.1203912716328168,-0.0564334085778781,0.196016344747509,0.7352644870480297,2.0,24.0,15979.0,6.0,,,unknown,3333.3333333333335,51.52994983733351,0.21024464563953793,Q3,2,51.52994983733351,2025-09,FOFO
BTQ,2025-10-03,6.97085,-218.01015280000013,-0.4360644684651085,tag_bb,0,1,2.919708029197083,154459.0,1.3264483129077622,58.39070787785209,3.0,0.9239999999999996,1.2379562043795684,1.0,1.234990436355076,7.198748043818466,11.267605633802813,0.3611111111111109,5680126.4,17.05230871027789,-6.035665294924559,9.848138431434023,0.6558255464174177,0.1268675651875435,0.0986134121404826,0.1150593227936974,0.7553703214630986,4.0,3.0,154459.0,5.0,,,unknown,3333.3333333333335,-14.534010186666677,0.4409793790949905,Q5,1,-14.534010186666677,2025-10,BTQ
ORBS,2025-10-10,11.01,0.0,0.0,no_fill,0,0,3.725579282144481,635283.0,1.831183342466759,37.41279380582881,2.0,0.7317073170731722,-0.954111767378468,0.0,0.4775470093150384,30.390995260663523,33.649289099526065,0.1584507042253518,4939723.65,18.1563261723854,-42.949714878175214,12.58394563554918,2.2314908243905505,0.1353884607373416,0.0520724848989827,0.1445258954645729,0.6874094913850299,4.0,10.0,635283.0,14.0,4.169064881408019,0.2297045404115316,narrow,3333.3333333333335,0.0,0.3579038708149985,Q4,0,0.0,2025-10,ORBS
POM,2025-10-13,4.57,0.0,0.0,no_fill,0,0,2.800875273522978,24132.0,1.025703726450938,76.62146054051306,1.0,0.6875,-0.8752735229759306,0.0,-0.1670039081469188,5.057471264367831,17.94942528735631,0.3073770491803272,0.0,0.0,0.0,0.0,0.0,0.1725573299023668,0.0090819647317125,1.168417506355088,1.4999423864715038,0.0,13.0,28556.0,2.0,,,unknown,3333.3333333333335,0.0,0.3905426179280816,Q4,0,0.0,2025-10,POM
INV,2025-10-13,4.095,0.0,0.0,no_fill,0,0,3.086419753086409,48827.0,1.0132370699416182,73.61879964861107,0.0,0.2799999999999986,-1.1111111111111094,0.0,-0.7225872735249645,17.05202312138728,39.30635838150288,0.0073529411764704,183144.35,12.089855269909483,-41.04803493449782,8.33099454812246,4.193446317071753,0.1725573299023668,0.0090819647317125,1.168417506355088,1.4999423864715038,0.0,13.0,48827.0,11.0,6.467541694262147,0.1950438355845837,narrow,3333.3333333333335,0.0,0.3492519911163344,Q4,0,0.0,2025-10,INV
RGTZ,2025-10-16,9.59871,8196.353351970005,16.39281149006962,scale_eod,1,1,5.193722943722951,784414.0,2.630534965426086,27.45044193196375,4.0,0.916649301937902,3.1385281385281294,1.0,1.895995987452628,6.206896551724149,27.356321839080472,0.2184873949579829,25273852.0,37.58470541784028,-54.68366846493379,23.55514893806676,1.615822431816092,0.1469661977745145,0.026993791427964,0.2480568877129291,1.4730835855870217,3.0,16.0,784414.0,4.0,,,unknown,3333.3333333333335,546.4235567980004,0.2921957867495038,Q4,0,546.4235567980004,2025-10,RGTI
CRWG,2025-11-12,5.466349999999999,-473.4884199999948,-0.947067055713583,tag_bb,0,1,3.8602941176470575,517218.0,1.879456345528716,31.64037397954187,2.0,0.7619047619047628,-0.7352941176470594,0.0,1.1154780334101329,7.722772277227734,27.52475247524752,0.0359712230215826,4153025.9,13.435430521456803,-65.6782334384858,10.562922679773711,3.6090244464885233,0.1365342211708443,-0.0846950248974061,0.2620790629575349,1.0765456215938356,2.0,12.0,1165339.0,14.0,6.591169432657723,0.1470870971522807,narrow,3333.3333333333335,-31.565894666666317,0.44380160771605937,Q5,1,-31.565894666666317,2025-11,CRWV
BMNG,2025-11-28,5.63686,880.4197018000068,1.7608764453969188,lock,0,1,3.804347826086956,82836.0,1.28184835569332,63.28606890929023,3.0,0.8090476190476199,1.0851449275362453,0.0,1.4239948078150866,11.740890688259093,17.55060728744939,0.7612456747404845,812948.95,18.575155026971206,-59.14137675795708,16.53094435756502,2.5862472668179226,0.1116251744143503,0.0940001468752274,0.1736111111111205,1.245667988268423,4.0,28.0,82836.0,14.0,2.394855528572137,0.1736441718286576,narrow,3333.3333333333335,58.69464678666713,0.19794540411144065,Q3,2,58.69464678666713,2025-11,BMNR
BMNG,2025-12-02,4.62383,-1710.6176812999922,-3.421408226513502,stop,0,1,3.1158129175946527,168240.0,1.3695611271284789,36.53077204494591,4.0,0.6426018584703307,1.5590200445434164,1.0,0.1841379213346562,11.414392059553348,15.900744416873447,0.0780274656679155,1093552.5,19.01844780360941,-60.85440278988666,17.00132365669539,3.209729756916106,0.0821210699202339,-0.0146644767714554,0.2425507519073275,0.6068606674853394,1.0,2.0,168240.0,14.0,3.383209492797236,0.1241907102724481,narrow,3333.3333333333335,-114.04117875333282,0.45861729496914677,Q5,1,-114.04117875333282,2025-12,BMNR
LGHL,2025-12-05,4.9147,-2231.9561999999937,-4.46415854477383,stop,0,1,4.115226337448563,68114.0,1.494017438778456,22.39489859605729,1.0,0.2,-2.469135802469138,0.0,-0.638023204299149,10.958904109589051,29.22374429223745,0.0625,161518.25,18.47497668593308,-43.79423601794884,345.9770305599701,5.868773342950409,0.1721496826901962,0.0904515281931584,0.1578047604436127,0.6704349328866847,4.0,5.0,68114.0,14.0,11.368845227592455,0.1955112275172421,narrow,3333.3333333333335,-148.7970799999996,0.20530741107822334,Q3,2,-148.7970799999996,2025-12,LGHL
