cell,n,H1,H2,VAL,all,null_p95,tr_wk_H1,tr_wk_H2,tr_wk_VAL,clust_t,mde,era_pos,above_null,FINDING
10:30-11:30|>=3%|>=$150M|stock,6031,-0.018647873701152607,0.002428792782977564,0.05624336526133864,0.015517788785080965,-0.050340174714734,4.961538461538462,4.37037037037037,4.739130434782608,0.6613994483183286,0.02141458435773653,False,True,False
11:30-13:00|<1.5%|<$25M|wrapper,1980,0.1284109068911197,-0.12198827603871795,-0.25872370344059437,-0.06498114999094849,-0.03739228843919905,1.8846153846153846,1.8888888888888888,0.782608695652174,-0.9696614684624354,0.08704983618649362,False,False,False
11:30-13:00|<1.5%|<$25M|stock,275,-0.5679462060775823,-0.14570993884129696,0.17571760709240114,-0.03075027413708594,0.02494364161630073,0.15384615384615385,0.2962962962962963,0.2608695652173913,-0.18253629949075476,0.21319169878742472,False,False,False
11:30-13:00|<1.5%|$25-150M|wrapper,4138,-0.14851501787614332,-0.055139384156605686,-0.11916733337239054,-0.10496806543632597,-0.045228775065775245,2.576923076923077,2.2962962962962963,1.4782608695652173,-2.489155543709996,0.05760779804495238,False,False,False
11:30-13:00|<1.5%|$25-150M|stock,4167,0.05024573999631833,0.06030041415144727,-0.027198027344786265,0.03511675503710067,-0.04571655996321996,2.3846153846153846,2.111111111111111,1.5217391304347827,0.5520769474366434,0.0561302058449614,False,True,False
11:30-13:00|<1.5%|>=$150M|wrapper,1748,-0.2071987766253196,-0.030617044466451786,-0.2821872568391748,-0.18055637558059862,-0.03243974801816207,2.230769230769231,1.5185185185185186,0.9565217391304348,-3.4442039126435398,0.08533949535343208,False,False,False
11:30-13:00|<1.5%|>=$150M|stock,6570,0.0898928228118214,0.13462065477548543,0.01657783783479852,0.07979818086088139,-0.051445631930793226,2.769230769230769,2.4074074074074074,2.4347826086956523,1.3489247365840877,0.044398033019021975,True,True,False
11:30-13:00|1.5-3%|<$25M|wrapper,3255,-0.23289073030428128,0.060057598495230936,0.007298324565268057,-0.0497573152233843,-0.04232618950622182,2.769230769230769,2.8518518518518516,2.217391304347826,-0.9295145315109697,0.05332140296904489,False,False,False
11:30-13:00|1.5-3%|<$25M|stock,1453,0.19516340111152378,-0.20476681746833134,-0.23670243838599636,-0.07217374674799093,-0.02843379556631066,0.7307692307692307,0.8148148148148148,0.4782608695652174,-0.6947841539341314,0.07082999423988841,False,False,False
11:30-13:00|1.5-3%|$25-150M|wrapper,6739,-0.23357609802417137,-0.07365028438026518,-0.19348485406120855,-0.17580857006151118,-0.050056585072812694,4.538461538461538,3.2222222222222223,2.9565217391304346,-3.9898894984507747,0.036782355836726614,False,False,False
11:30-13:00|1.5-3%|$25-150M|stock,6116,0.022055649224400245,0.07351342372005144,-0.04408744097083271,0.02955571704499787,-0.04964406115287633,3.769230769230769,3.3703703703703702,2.3043478260869565,0.8037267839830495,0.035026565075253736,False,True,False
11:30-13:00|1.5-3%|>=$150M|wrapper,2894,-0.15432047651177042,-0.01346209885716574,-0.02256107189768108,-0.09077692246281105,-0.041966741547066276,3.730769230769231,1.962962962962963,2.0434782608695654,-1.3373694174038557,0.05851850629578536,False,False,False
11:30-13:00|1.5-3%|>=$150M|stock,8952,0.014602798093471973,-0.06093847020999812,-0.036039564987894235,-0.028791129511937432,-0.05335386215256186,3.6923076923076925,3.6666666666666665,3.6956521739130435,-0.6971560674198043,0.028581643923145956,False,True,False
11:30-13:00|>=3%|<$25M|wrapper,7877,0.02700279202952073,-0.03080997075538826,-0.060636666865475634,-0.03105137412599963,-0.05204247789521128,2.5384615384615383,5.703703703703703,6.043478260869565,-0.9683992144354956,0.020794570437666395,False,True,False
11:30-13:00|>=3%|<$25M|stock,9836,-0.015583374936006589,-0.06115989098714656,-0.080043727860014,-0.050645156074890826,-0.054841303946981654,5.0,5.407407407407407,3.652173913043478,-3.069118173239427,0.014011648803542425,False,True,False
11:30-13:00|>=3%|$25-150M|wrapper,7735,-0.0943151374477173,-0.031879954113141734,-0.06589166449107613,-0.0601108309823814,-0.05234890220303776,3.6153846153846154,5.666666666666667,6.173913043478261,-2.786303832512718,0.02064141394789067,False,False,False
11:30-13:00|>=3%|$25-150M|stock,16075,-0.003066621752684365,-0.06538342098151739,-0.015829128796630478,-0.028264509393002277,-0.057368541119984885,8.115384615384615,7.777777777777778,7.521739130434782,-1.8094338147342397,0.010870566332991946,False,True,False
11:30-13:00|>=3%|>=$150M|wrapper,1999,-0.08796171488928399,-0.018827528018227388,-0.009244085958744461,-0.0498718279072028,-0.03436521929697413,2.4615384615384617,1.9259259259259258,3.0869565217391304,-1.2346294258080404,0.04271220468043741,False,False,False
11:30-13:00|>=3%|>=$150M|stock,9115,-0.024201375392108978,0.028220879689156687,0.046988241855114424,0.017626824439211156,-0.05367712962745057,5.115384615384615,4.407407407407407,4.782608695652174,0.8365413269278459,0.014644929340489266,False,True,False
13:00-14:01|<1.5%|<$25M|wrapper,1206,0.07247787219839606,-0.16144752184076583,0.038622583528349734,-0.03464308356207936,-0.023319536685901622,1.8846153846153846,1.8888888888888888,0.782608695652174,-0.5028177039237801,0.10587960494227813,False,False,False
13:00-14:01|<1.5%|<$25M|stock,159,-0.5461328639476057,-0.2658402089617159,0.14114450385480654,-0.0649321923786922,0.05776779223830793,0.15384615384615385,0.2962962962962963,0.2608695652173913,-0.35465510061697797,0.2691785047147431,False,False,False
13:00-14:01|<1.5%|$25-150M|wrapper,2699,-0.17327055797910232,-0.13078126614049015,-0.11673274170346341,-0.14386434402990783,-0.038719626550387354,2.576923076923077,2.2962962962962963,1.4782608695652173,-3.0418853072411056,0.06618732833621366,False,False,False
13:00-14:01|<1.5%|$25-150M|stock,2798,-0.12737036645917207,-0.06617714228375104,0.1444763889474995,-0.04372718815443506,-0.040492664297060325,2.3846153846153846,2.074074074074074,1.4782608695652173,-0.8262613034619318,0.060337059840012953,False,False,False
13:00-14:01|<1.5%|>=$150M|wrapper,1086,0.028419832960596764,-0.143288422986611,0.10003038497862209,0.0037690216915736456,-0.01996420270048027,2.230769230769231,1.4444444444444444,0.9565217391304348,0.05022454285134994,0.10838220180251132,False,True,False
