Universe: 610 stocks, Volume profiles: 896 stocks
2026-03-14 22:13:22,100 [WARNING] trading.trade_planner: MNTS: fixed_risk shares 12499 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:23,222 [WARNING] trading.trade_planner: SONM: fixed_risk shares 20304 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:23,428 [WARNING] trading.trade_planner: SPHL: fixed_risk shares 24813 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:23,729 [WARNING] trading.trade_planner: TISI: fixed_risk shares 18148 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:24,322 [WARNING] trading.trade_planner: WKEY: fixed_risk shares 14609 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:25,765 [WARNING] trading.trade_planner: IDAI: fixed_risk shares 39920 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:26,844 [WARNING] trading.trade_planner: PTLE: fixed_risk shares 25031 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:26,862 [WARNING] trading.trade_planner: PTLE: fixed_risk shares 96618 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:27,482 [WARNING] trading.trade_planner: STFS: fixed_risk shares 14035 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:27,482 [WARNING] trading.trade_planner: STFS: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:28,322 [WARNING] trading.trade_planner: XXII: fixed_risk shares 32051 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:28,340 [WARNING] trading.trade_planner: XXII: fixed_risk shares 65573 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:28,521 [WARNING] backtest: ATLN: Only 3 bars, need at least 6 for setup detection
2026-03-14 22:13:29,371 [WARNING] trading.trade_planner: JYD: fixed_risk shares 25284 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:29,371 [WARNING] trading.trade_planner: JYD: fixed_risk shares 28943 exceeds max_shares 10000, capping (risk budget distorted)
