pop,leg,day,symbol,clock_m,px,sp_mean,sp_med,n_q,err
raw,entry,2025-05-15,ITOC,609,4.75,0.1112499999999994,0.13999999999999924,8,
raw,entry,2025-05-16,HCWB,605,9.47,0.20799999999999935,0.1999999999999993,15,
raw,entry,2025-05-16,LICN,622,6.43,0.08042553191489353,0.07000000000000028,47,
raw,entry,2025-05-16,NGNE,606,16.75,0.3407692307692314,0.3999999999999986,39,
raw,entry,2025-05-16,TSSI,597,13.92,0.051367781155014974,0.049999999999998934,329,
raw,entry,2025-05-19,FKWL,586,4.11,0.16000000000000014,0.16000000000000014,1,
raw,entry,2025-05-19,TGEN,625,5.14,0.07683333333333334,0.06000000000000005,60,
raw,entry,2025-05-22,MWYN,640,11.01,0.10891304347826075,0.08000000000000007,46,
raw,entry,2025-05-23,RYET,614,13.09,0.29761904761904745,0.25,21,
raw,entry,2025-05-27,DJTU,589,22.63,0.1575414123801219,0.16000000000000014,1147,
raw,entry,2025-05-27,KAZR,603,9.74,,,0,
raw,entry,2025-05-27,SAIH,641,6.27,,,0,
raw,entry,2025-05-27,SKBL,603,9.74,,,0,
raw,entry,2025-05-28,DFNS,618,14.5,0.14999999999999977,0.15000000000000036,12,
raw,entry,2025-05-28,ELPW,592,5.73,0.10000000000000016,0.09499999999999975,26,
raw,entry,2025-05-28,FBRX,622,11.63,0.4133333333333331,0.4449999999999994,6,
raw,entry,2025-05-28,FMST,582,3.72,0.020000000000000018,0.020000000000000018,4,
raw,entry,2025-05-28,YSXT,622,7.87,0.16999999999999976,0.13999999999999968,5,
raw,entry,2025-05-29,AIYY,577,5.31,0.010077896786757577,0.009999999999999787,1027,
raw,entry,2025-05-29,ALZN,588,8.02,0.0356654135338346,0.03000000000000025,2660,
raw,entry,2025-05-29,NTCL,643,3.37,0.07400000000000007,0.08999999999999986,30,
raw,entry,2025-05-30,DDC,634,8.04,0.16374999999999973,0.1849999999999996,16,
raw,entry,2025-06-02,IQST,617,12.25,0.3975000000000004,0.40000000000000036,4,
raw,entry,2025-06-02,LYEL,594,10.35,0.15284210526315825,0.15000000000000036,95,
raw,entry,2025-06-03,DFDV,627,21.54,0.35818181818181766,0.33999999999999986,11,
raw,entry,2025-06-04,BAOS,634,3.67,0.01619565217391306,0.020000000000000018,92,
raw,entry,2025-06-04,PTNM,615,5.02,0.07903614457831314,0.04999999999999982,83,
raw,entry,2025-06-05,BWNB,581,14.91,0.28186440677966096,0.3199999999999985,59,
raw,entry,2025-06-06,FMST,642,4.77,0.07526315789473664,0.08000000000000007,19,
raw,entry,2025-06-06,MSW,624,4.82,0.47333333333333333,0.41999999999999993,15,
raw,entry,2025-06-06,PMA,624,4.82,0.47333333333333333,0.41999999999999993,15,
raw,entry,2025-06-06,TWAV,598,3.4,0.047948717948717925,0.020000000000000018,39,
raw,entry,2025-06-09,NEGG,625,13.57,0.1544230769230769,0.16000000000000014,52,
raw,entry,2025-06-09,SNPX,579,3.6,0.011524532710280401,0.010000000000000231,1712,
raw,entry,2025-06-09,TAOX,579,3.6,0.011524532710280401,0.010000000000000231,1712,
