cell,symbol,si,S,signal_date,value,n_owners,a,b,entry_date,exit_date,gross,cost_bps,net,hold,split
I1,SRPT,4100,51,2016-03-17,75150.0,3.0,51,71,2016-03-17,2016-04-15,0.23899008011221912,0.5628906,0.2389337910522069,20,TRAIN
I1,WES,4690,51,2016-03-17,25000004.31,2.0,51,71,2016-03-17,2016-04-15,0.04668930005485916,1.669097,0.0465223903584413,20,TRAIN
I1,INCY,2230,52,2016-03-18,614696.39,7.0,52,72,2016-03-18,2016-04-18,0.19701844600779528,0.45511597,0.19697293440906738,20,TRAIN
I1,NGL,3002,52,2016-03-18,666000.0,2.0,52,72,2016-03-18,2016-04-18,0.021767670510343118,1.0574602,0.021661924492690554,20,TRAIN
I1,TDOC,4234,53,2016-03-21,102917.0,2.0,53,73,2016-03-21,2016-04-19,0.015137825766602164,2.21596,0.014916229769029288,20,TRAIN
I1,LPG,2612,61,2016-04-01,91700.0,3.0,61,81,2016-04-01,2016-04-29,0.10078896081303279,2.2749977,0.1005614610452441,20,TRAIN
I1,ACAD,34,62,2016-04-04,423101.95,2.0,62,82,2016-04-04,2016-05-02,0.09780416543603465,0.46212387,0.09775795304981116,20,TRAIN
I1,BNED,671,69,2016-04-13,83700.87999999999,3.0,69,89,2016-04-13,2016-05-11,-0.07286618931283106,3.4308105,-0.07320927035942537,20,TRAIN
I1,OPK,3237,73,2016-04-19,21640.0,2.0,73,93,2016-04-19,2016-05-17,-0.08874675055555437,0.55436015,-0.08880218657138195,20,TRAIN
I1,UAL,4445,78,2016-04-26,39592800.0,5.0,78,98,2016-04-26,2016-05-24,-0.084452515400393,0.42163256,-0.08449467865799654,20,TRAIN
I1,PGC,3392,80,2016-04-28,18860.0,4.0,80,100,2016-04-28,2016-05-26,-0.006760821144658924,6.148166,-0.007375637758619935,20,TRAIN
I1,CP,1088,80,2016-04-28,143890.0,2.0,80,100,2016-04-28,2016-05-26,-0.10725315946567571,0.44567406,-0.10729772687065997,20,TRAIN
I1,ALLY,206,85,2016-05-05,201719.99999999997,2.0,85,105,2016-05-05,2016-06-03,0.042220319088493774,0.4988715,0.0421704319362215,20,TRAIN
I1,ARR,356,85,2016-05-05,293400.0,3.0,85,105,2016-05-05,2016-06-03,-0.006208222656557294,0.9439659,-0.006302619249897501,20,TRAIN
I1,G,1788,86,2016-05-06,78079.59999999999,2.0,86,106,2016-05-06,2016-06-06,0.05025143273609789,0.72912514,0.050178520219327005,20,TRAIN
I1,DAL,1235,86,2016-05-06,206950.0,2.0,86,106,2016-05-06,2016-06-06,-0.014864651251860428,0.4135709,-0.014906008344274246,20,TRAIN
I1,WFC,4696,87,2016-05-09,4207.5,2.0,87,107,2016-05-09,2016-06-07,0.02851710078808023,0.40683672,0.028476417114647434,20,TRAIN
I1,BZH,790,88,2016-05-10,32625.0,2.0,88,108,2016-05-10,2016-06-08,0.1337750970466629,1.5276731,0.13362232973092314,20,TRAIN
I1,CAT,827,88,2016-05-10,80099.28,2.0,88,108,2016-05-10,2016-06-08,0.07733664904759929,0.41534054,0.07729511499298236,20,TRAIN
I1,NPO,3062,89,2016-05-11,2013.26,3.0,89,109,2016-05-11,2016-06-09,0.0488952135154459,1.3008927,0.04876512423909207,20,TRAIN
I1,HRTG,2097,90,2016-05-12,40200.0,2.0,90,110,2016-05-12,2016-06-10,-0.09268283787396814,2.4025712,-0.09292309500024731,20,TRAIN
I1,NMIH,3032,90,2016-05-12,59200.0,2.0,90,110,2016-05-12,2016-06-10,-0.04084955858810513,2.4727383,-0.04109683241507678,20,TRAIN
I1,PJT,3411,92,2016-05-16,231900.0,2.0,92,112,2016-05-16,2016-06-14,0.006609907918978752,1.8362882,0.006426279090597564,20,TRAIN
I1,MTRX,2905,92,2016-05-16,151500.0,2.0,92,112,2016-05-16,2016-06-14,0.0030596939741709406,1.932742,0.00286641977257851,20,TRAIN
I1,STAA,4123,93,2016-05-17,813232.75,3.0,93,113,2016-05-17,2016-06-15,0.07251902604842142,7.496819,0.07176934414676905,20,TRAIN
I1,WEN,4686,93,2016-05-17,104800.0,2.0,93,113,2016-05-17,2016-06-15,-0.06529877100385562,0.5728384,-0.06535605484734475,20,TRAIN
I1,TREE,4357,93,2016-05-17,338350.0,4.0,93,113,2016-05-17,2016-06-15,0.10178018890458951,0.52759594,0.10172742930975254,20,TRAIN
I1,ONB,3216,93,2016-05-17,12290.0,2.0,93,113,2016-05-17,2016-06-15,0.03458373063511311,0.7770678,0.034506023858903,20,TRAIN
