date,symbol,pnl_R
2025-11-24,ARWR,0.8519640043173249
2025-11-24,GDS,0.6670457117197934
2025-11-24,IREN,-1.051077369570821
2025-11-24,LITE,1.7292105938866111
2025-11-24,QBTS,-1.0636694977747827
2025-11-24,TEMT,1.8183388069358175
2025-11-25,BMNZ,-1.1238063869463857
2025-11-25,CORD,1.8126327731488023
2025-11-25,GAP,1.922203821656049
2025-11-25,HSAI,0.0852804945054976
2025-11-25,BBW,0.1919577883472086
2025-11-25,NVDQ,-1.0448129852240915
2025-11-25,NAIL,1.886238934514037
2025-11-26,AAOI,1.93103486995516
2025-11-26,ALGT,1.220119463087258
2025-11-26,APPX,-1.294877924601634
2025-11-26,ARWR,1.870028079590052
2025-11-26,BMNR,-1.0616543716268347
2025-11-26,CONL,0.6060930595636416
2025-11-26,ROBN,-1.1407315164220777
2025-11-26,LITE,-1.221788001750537
2025-11-26,OLMA,1.9088948717948708
2025-11-26,VERA,1.7717660335549217
2025-12-01,ALAB,1.9486061027825663
2025-12-01,APLD,-1.0495003861987688
2025-12-01,IREN,-1.0873770879526945
2025-12-01,RDTL,1.706725623582766
2025-12-01,RGTZ,1.9386187268993815
2025-12-01,VSCO,1.887972280701752
2025-12-02,ALAB,-1.1243724715337051
2025-12-02,BETA,-0.5402336633663338
2025-12-02,BMNR,-1.037279866520586
2025-12-02,OKLL,1.9099877468409827
2025-12-02,QBTS,-1.0408021113958428
2025-12-02,ETHT,1.8384197287299608
2025-12-02,ETHU,1.934320916545017
2025-12-03,ARWR,1.6484939110782757
2025-12-03,BBNX,0.5858830434782649
2025-12-03,CONL,-1.036754485369224
2025-12-03,ON,1.9392354078082708
2025-12-03,SITM,-1.4264800217746287
2025-12-04,ASTX,1.844711311311312
2025-12-04,ASTS,1.921917499891786
2025-12-04,ATRC,-1.485675892857146
2025-12-04,BMNR,-1.0533080132579404
2025-12-04,COHR,1.7130917464114868
2025-12-04,FIGR,1.8958560072137796
2025-12-04,IONX,-1.150530121259028
2025-12-04,NNE,1.8530155447605847
2025-12-04,QURE,-1.1473955026455014
2025-12-04,SNDK,1.9434039766862976
2025-12-05,AGX,-1.384759803787983
2025-12-05,FLNC,-0.1113524339230933
2025-12-05,HPE,1.6309949380493982
2025-12-05,RDTL,1.7021475476237615
2025-12-05,TERN,-0.2319764465295338
2025-12-08,BETA,-1.326839268647409
2025-12-08,CAPR,1.896740662138915
2025-12-08,RKLX,-1.1666751565064954
2025-12-08,WRBY,-1.0406297615654991
2025-12-09,APPX,1.8009130434782623
2025-12-09,CONL,-0.413129447562035
2025-12-09,MSTR,1.9389513732247248
2025-12-09,NGVT,0.9166372093023252
2025-12-09,PAAS,1.959393908365152
2025-12-09,RKLX,-1.153199528704255
2025-12-09,WVE,1.900922025534118
2025-12-09,GDXU,1.253586845346815
2025-12-09,BTCL,1.8046538335118127
2025-12-10,AAOI,1.9042824470971251
2025-12-10,ASTS,-1.140876509598599
2025-12-10,FLY,-1.1713254162042182
2025-12-10,OLMA,-1.0412397622998797
2025-12-10,RKLB,1.963558262974611
2025-12-10,VOYG,1.660938965989538
2025-12-10,WRBY,1.8571034839924685
2025-12-11,ABVX,1.863875510204082
2025-12-11,ASTS,-1.1026945327125257
