symbol,bar_date,open,high,close,volume,prev_close,nbars,covered
AXTU,2026-08-04,4.52,5.0,4.54,2570004,5.02,0,False
AXTU,2026-08-05,4.3,6.12,4.9744,1289738,4.54,0,False
AXTU,2026-08-06,5.1,6.23,5.93,1617720,4.9744,0,False
AXTU,2026-08-13,5.57,6.35,5.86,872498,6.04,0,False
AXTU,2026-08-14,6.1,7.01,6.48,1189706,5.86,0,False
AXTX,2026-05-01,26.39,38.56,38.39,2163488,27.17,0,False
AXTX,2026-05-04,38.87,47.25,46.61,1421791,38.39,0,False
AXTX,2026-05-07,42.0,49.63,48.42,1928667,45.14,0,False
AXTX,2026-05-11,57.11,70.85,64.54,2477534,55.2,0,False
AXTX,2026-05-15,49.14,65.6999,61.43,1478714,53.3,0,False
AXTX,2026-05-19,42.24,50.96,48.97,2733590,43.86,0,False
AXTX,2026-05-21,41.52,55.5,55.09,2028191,42.13,0,False
AXTX,2026-05-22,53.42,73.44,73.02,2374951,55.09,0,False
AXTX,2026-06-01,32.5,47.0899,42.46,3623417,37.61,0,False
AXTX,2026-06-04,37.34,44.68,39.56,1661856,40.15,0,False
AXTX,2026-06-12,26.5,33.99,30.28,3199651,25.36,0,False
AXTX,2026-06-23,20.52,23.0,17.3,5471229,25.42,0,False
AXTX,2026-06-26,12.28,14.0608,13.87,2100890,13.48,0,False
AXTX,2026-06-29,12.95,14.62,14.35,3476012,13.87,0,False
AXTX,2026-07-02,11.36,12.4,8.66,3212872,11.71,0,False
AXTX,2026-07-07,9.34,11.7398,8.99,3444759,10.77,0,False
AXTX,2026-07-08,9.07,10.88,9.6,4085512,8.99,0,False
AXTX,2026-07-17,4.47,5.6263,5.08,4885295,5.04,0,False
AXTX,2026-07-20,5.18,6.22,5.72,4618618,5.08,0,False
AXTX,2026-07-22,7.01,7.65,6.57,3591429,7.57,0,False
AXTX,2026-07-23,6.25,7.76,6.57,3177082,6.57,0,False
AXTX,2026-08-03,6.35,9.94,9.26,16864395,7.34,0,False
AXTX,2026-08-04,8.28,9.33,8.51,23267050,9.26,0,False
AXTX,2026-08-05,8.0,11.3966,9.23,14839631,8.51,0,False
AXTX,2026-08-06,9.33,11.59,11.01,13213737,9.23,0,False
AXTX,2026-08-13,10.3,11.8,10.9,9843166,11.14,0,False
AXTX,2026-08-14,11.11,13.06,12.04,10730988,10.9,0,False
AZEK,2025-04-09,43.28,48.04,47.41,13752151,43.39,0,False
AZUL,2025-01-22,2.26,2.48,2.46,2548348,2.19,0,False
BASE,2025-04-09,13.63,16.08,15.64,1731240,13.44,0,False
BGL,2025-06-27,77.65,114.99,62.5,391614,,0,False
BIGC,2025-02-24,6.26,6.85,6.81,932988,6.23,0,False
BIGC,2025-04-09,5.1,5.75,5.63,1228945,5.13,0,False
BINI,2025-08-05,5.66,7.5,4.63,2508869,5.95,0,False
BINI,2025-09-29,2.75,3.61,3.1,3285313,3.28,0,False
BINI,2025-09-30,3.13,3.77,3.01,4031835,3.1,0,False
BINI,2025-10-02,2.19,2.44,2.14,6798983,2.47,0,False
BLBX,2025-01-24,3.89,4.44,3.96,1207172,3.95,0,False
BLBX,2025-01-28,3.98,5.7999,3.87,2289049,3.84,0,False
BLBX,2025-03-10,2.902,3.34,3.06,3222909,3.46,0,False
BLBX,2025-06-16,5.25,6.49,6.49,457060,5.06,0,False
BLBX,2025-10-13,8.12,13.95,12.18,5152831,8.15,0,False
BLBX,2025-10-14,11.345,16.99,14.81,1591839,12.18,0,False
BLBX,2025-10-23,8.6,9.75,9.62,269004,8.39,0,False
BLBX,2025-10-29,7.94,8.75,8.06,703787,8.32,0,False
BLBX,2025-10-30,8.12,9.59,9.21,363286,8.06,0,False
BLBX,2025-12-09,8.23,10.5,9.98,571671,7.9,0,False
BLBX,2025-12-16,8.06,8.9699,8.2,250206,8.15,0,False
BLBX,2026-01-22,11.0,12.8,12.27,317987,10.85,0,False
BLBX,2026-02-20,12.38,13.5,13.1,218752,12.33,0,False
BLBX,2026-02-23,13.1,16.0,15.4,433801,13.1,0,False
BLBX,2026-02-24,15.4,18.92,18.15,841736,15.4,0,False
BLDE,2025-01-03,4.3,4.8,4.79,1251547,4.25,0,False
BLDE,2025-04-07,2.41,2.72,2.62,939536,2.56,0,False
BLDE,2025-04-09,2.49,2.885,2.77,1237089,2.51,0,False
BLDE,2025-06-26,3.71,4.085,4.02,892510,3.73,0,False
BLDE,2025-07-16,4.14,4.645,4.52,1388414,4.13,0,False
BLDE,2025-08-11,3.94,4.355,4.23,1610144,3.94,0,False
BLSH,2025-08-14,74.4,85.0,74.63,32385339,,0,False
BLUE,2025-01-06,9.24,10.2767,9.92,418233,9.18,0,False
BLUE,2025-02-13,6.44,7.42,7.25,288603,6.39,0,False
BLUE,2025-02-21,4.9,5.65,4.08,5442653,7.04,0,False
BLUE,2025-03-28,3.78,4.43,4.08,2245141,3.79,0,False
BLUE,2025-04-01,4.86,5.371,5.25,860044,4.88,0,False
BPMC,2025-01-13,90.29,103.81,103.36,2141976,87.43,0,False
BPMC,2025-05-01,91.14,99.78,99.25,1717497,89.5,0,False
BRDG,2025-04-07,7.24,8.25,7.83,506933,7.63,0,False
BRDG,2025-04-09,7.68,9.07,8.97,1498698,7.68,0,False
BREA,2025-09-18,7.84,52.95,24.9,16597492,7.65,0,False
BREA,2025-09-23,17.5,25.8,25.12,3342290,18.6,0,False
BREA,2025-09-24,24.23,27.9287,26.36,2897541,25.12,0,False
BREA,2025-09-25,23.4,27.5,25.65,1563030,26.36,0,False
BREA,2025-09-29,23.92,30.51,30.4,1932458,24.71,0,False
BREA,2025-09-30,29.45,37.445,30.0,2241934,30.4,0,False
BRFS,2025-04-09,3.09,3.51,3.46,6180185,3.11,0,False
BRKL,2025-04-09,9.46,10.38,10.15,988406,9.63,0,False
BRKL,2025-04-24,9.52,10.4665,10.44,501934,10.2,0,False
BRUNW,2026-05-20,14.04,15.49,12.98,254057,13.54,0,False
BRUNW,2026-05-21,12.95,15.325,14.35,140869,12.98,0,False
BRUNW,2026-05-28,17.83,23.0,21.83,274412,17.82,0,False
BRUNW,2026-06-01,22.58,29.55,27.53,283683,21.75,0,False
BRUNW,2026-06-26,20.76,22.96,22.71,132117,22.91,0,False
BRUNW,2026-07-21,12.31,14.5,13.8,315599,11.93,0,False
BRY,2025-04-07,2.3,2.605,2.42,1415625,2.37,0,False
BRY,2025-04-09,2.12,2.65,2.58,2524909,2.17,0,False
BRY,2025-05-08,2.43,2.84,2.84,1708704,2.4,0,False
BRY,2025-06-03,2.46,2.73,2.71,1365493,2.41,0,False
BRY,2025-06-17,3.09,3.39,3.28,1878882,3.07,0,False
BRY,2025-07-08,3.02,3.34,3.33,1113224,3.0,0,False
BRY,2025-07-28,3.02,3.3488,3.33,1052004,3.0,0,False
BSGM,2025-05-12,1.99,2.42,2.18,932730,1.94,0,False
BSGM,2025-05-13,2.29,2.56,2.52,1054780,2.18,0,False
BSGM,2025-05-14,2.65,3.08,2.72,1240706,2.52,0,False
BSGM,2025-05-22,3.45,4.79,4.25,2006024,3.3,0,False
BSGM,2025-05-23,4.21,5.59,5.28,1345234,4.25,0,False
BSGM,2025-05-27,5.31,6.8364,6.41,1968585,5.28,0,False
BSGM,2025-05-30,5.02,5.68,5.6,983820,5.05,0,False
BSGM,2025-06-02,5.56,7.345,7.02,993489,5.6,0,False
BSGM,2025-06-11,6.76,7.74,6.7,1060642,6.68,0,False
BSGM,2025-06-13,6.5,7.2,6.39,821955,6.91,0,False
BSGM,2025-06-18,6.31,7.0,6.5,655648,6.63,0,False
BSGM,2025-06-23,6.71,7.54,7.44,1362293,6.7,0,False
BSGM,2025-07-01,7.05,8.8889,8.32,1069871,7.14,0,False
BSGM,2025-07-02,8.23,9.83,9.65,700535,8.32,0,False
BSGM,2025-07-03,9.8,10.73,10.41,720631,9.65,0,False
BSGM,2025-07-07,10.75,12.78,11.55,1577035,10.41,0,False
BSGM,2025-07-14,5.052,5.6,5.46,2343670,5.23,0,False
BSGM,2025-07-16,4.63,5.59,5.26,1871056,4.58,0,False
BSGM,2025-07-21,4.75,5.85,5.76,2199684,4.63,0,False
BSGM,2025-07-22,5.66,6.2,6.1,1159991,5.76,0,False
BSGM,2025-07-30,4.51,5.02,4.52,655199,4.44,0,False
BSGM,2025-08-11,3.75,4.3,4.09,494906,3.75,0,False
BSGM,2025-08-12,4.14,4.805,4.67,961010,4.09,0,False
BSGM,2025-08-14,4.52,5.36,5.1,2122027,4.6,0,False
BSGM,2025-08-15,5.06,5.5899,4.97,867706,5.1,0,False
BSGM,2025-08-18,4.81,5.49,5.48,1972019,4.97,0,False
BSGM,2025-08-21,4.65,5.13,4.99,699983,4.72,0,False
BSGM,2025-08-22,4.92,5.37,5.18,509080,4.99,0,False
BSGM,2025-08-25,5.1,5.63,5.3,634723,5.18,0,False
BSGM,2025-09-10,4.11,4.65,4.45,1278529,4.11,0,False
BSGM,2025-09-11,4.36,6.12,6.1,3137726,4.45,0,False
BSII,2025-05-22,10.3,12.08,10.35,435553,10.29,0,False
BSLK,2025-04-23,5.31,8.09,7.13,568397,5.31,0,False
BSLK,2025-06-02,3.2,4.06,3.08,974980,3.38,0,False
BSLK,2025-07-29,2.55,3.5,3.15,4037198,2.69,0,False
BSLK,2025-08-14,8.39,9.23,8.5,5469550,14.32,0,False
BSLK,2025-08-15,7.36,14.08,8.79,26296899,8.5,0,False
BSLK,2025-08-19,6.7,12.36,8.11,33693134,7.02,0,False
BSLK,2025-08-20,8.3,10.2499,8.74,5865209,8.11,0,False
BSLK,2025-08-21,8.9,9.8884,8.9,1838941,8.74,0,False
BSLK,2025-09-08,3.73,4.85,3.74,2150043,3.86,0,False
BSLK,2025-09-19,3.57,4.0543,3.69,780065,3.57,0,False
BSLK,2025-09-23,3.6,4.12,4.04,653286,3.65,0,False
BSLK,2025-10-01,3.82,4.44,4.19,1220832,3.78,0,False
BTCM,2025-07-11,4.98,5.5,3.96,7030075,6.25,0,False
BTFX,2025-02-03,48.38,56.67,55.69,43800,55.91,0,False
BTFX,2025-03-04,36.14,41.2335,39.89,51893,38.99,0,False
BTQ,2025-09-29,6.05,7.07,6.26,6972834,,0,False
BUJA,2025-04-15,10.3,13.5,11.5,148950,11.42,0,False
BUJA,2025-05-05,14.61,24.18,15.61,241535,15.68,0,False
