day,symbol,trig_m,level,o_t,preopen,rekeyed,k100_cls,k100_off,k100_fill,k100_pos,k100_small,k100_rr0,k100_pnl0,k100_pnl10,k100_pnl25,k100_fx0,k200_cls,k200_off,k200_fill,k200_pos,k200_small,k200_rr0,k200_pnl0,k200_pnl10,k200_pnl25,k200_fx0,k300_cls,k300_off,k300_fill,k300_pos,k300_small,k300_rr0,k300_pnl0,k300_pnl10,k300_pnl25,k300_fx0,k500_cls,k500_off,k500_fill,k500_pos,k500_small,k500_rr0,k500_pnl0,k500_pnl10,k500_pnl25,k500_fx0,rank5,nuniv5,rank10,nuniv10
2026-08-18,RCAT,579,10.835,10.7201,0,1,clean,2.0,10.8675,25000.0,0.0,-0.5316,-1310.06,-1333.73,-1369.15,-1310.17,clean,2.0,10.8675,25000.0,0.0,-0.5316,-1310.06,-1333.73,-1369.15,-1310.17,clean,2.0,10.8675,25000.0,0.0,-0.5316,-1310.06,-1333.73,-1369.15,-1310.17,clean,2.0,10.8675,25000.0,0.0,-0.5316,-1310.06,-1333.73,-1369.15,-1310.17,18,71,,
2026-08-18,RDWU,580,9.955000000000002,9.94,0,0,clean,0.0,9.9849,7058.25,0.0,-0.4664,-474.93,-481.51,-491.36,-474.94,clean,0.0,9.9849,7058.25,0.0,-0.4664,-474.93,-481.51,-491.36,-474.94,clean,0.0,9.9849,7058.25,0.0,-0.4664,-474.93,-481.51,-491.36,-474.94,clean,0.0,9.9849,7058.25,0.0,-0.4664,-474.93,-481.51,-491.36,-474.94,22,71,30.0,64.0
2026-08-18,RGTX,579,14.344,14.3301,0,1,gap_into,1.0,14.42,3672.9,0.0,-0.7739,-293.5,-293.5,-293.5,-293.51,gap_into,1.0,14.42,3672.9,0.0,-0.7739,-293.5,-293.5,-293.5,-293.51,gap_into,1.0,14.42,3672.9,0.0,-0.7739,-293.5,-293.5,-293.5,-293.51,gap_into,1.0,14.42,3672.9,0.0,-0.7739,-293.5,-293.5,-293.5,-293.51,11,71,,
2026-08-18,SECZ,629,5.819000000000001,5.779,0,1,gap_into,1.0,5.8378,13420.35,0.0,0.0233,11.94,11.94,11.94,11.96,gap_into,1.0,5.8378,13420.35,0.0,0.0233,11.94,11.94,11.94,11.96,gap_into,1.0,5.8378,13420.35,0.0,0.0233,11.94,11.94,11.94,11.96,gap_into,1.0,5.8378,13420.35,0.0,0.0233,11.94,11.94,11.94,11.96,15,74,24.0,74.0
2026-08-18,TJGC,603,4.29,4.29,0,1,clean,1.0,4.3029,19772.1,0.0,0.1131,316.82,295.21,263.31,316.96,clean,1.0,4.3029,19772.1,0.0,0.1131,316.82,295.21,263.31,316.96,clean,1.0,4.3029,19772.1,0.0,0.1131,316.82,295.21,263.31,316.96,clean,1.0,4.3029,19772.1,0.0,0.1131,316.82,295.21,263.31,316.96,29,74,38.0,74.0
2026-08-18,UMAC,578,31.5315,31.22,0,0,clean,0.0,31.6261,6738.75,0.0,-0.357,-245.9,-252.39,-262.11,-245.9,clean,0.0,31.6261,6738.75,0.0,-0.357,-245.9,-252.39,-262.11,-245.9,clean,0.0,31.6261,6738.75,0.0,-0.357,-245.9,-252.39,-262.11,-245.9,clean,0.0,31.6261,6738.75,0.0,-0.357,-245.9,-252.39,-262.11,-245.9,16,69,,
2026-08-19,APLZ,591,23.254,23.35,0,0,gap_into,0,23.35,9230.4,0,-0.6767,-722.63,-722.63,-722.63,-722.64,gap_into,0,23.35,9230.4,0,-0.6767,-722.63,-722.63,-722.63,-722.64,gap_into,0,23.35,9230.4,0,-0.6767,-722.63,-722.63,-722.63,-722.64,gap_into,0,23.35,9230.4,0,-0.6767,-722.63,-722.63,-722.63,-722.64,17,146,4.0,144.0
2026-08-19,ARKY,609,22.319000000000003,25.0,0,0,adverse,5,22.5422,2190.15,0,-1.0089,-226.36,-226.36,-226.36,-226.36,adverse,5,22.7654,2190.15,0,-1.0081,-245.64,-245.64,-245.64,-245.64,adverse,5,22.9886,2190.15,0,-1.0074,-264.54,-264.54,-264.54,-264.55,adverse,5,23.435,2190.15,0,-1.0064,-301.27,-301.27,-301.27,-301.27,42,146,29.0,146.0
2026-08-19,ASTL,582,4.598,4.5888,0,0,clean,0,4.6118,7256.1,0,0.3409,222.9,215.42,204.23,222.93,clean,0,4.6118,7256.1,0,0.3409,222.9,215.42,204.23,222.93,clean,0,4.6118,7256.1,0,0.3409,222.9,215.42,204.23,222.93,clean,0,4.6118,7256.1,0,0.3409,222.9,215.42,204.23,222.93,4,144,5.0,137.0
2026-08-19,AUNA,597,5.104,5.1,0,0,clean,0,5.1193,10702.2,0,0.5981,636.46,625.12,608.15,636.42,clean,0,5.1193,10702.2,0,0.5981,636.46,625.12,608.15,636.42,clean,0,5.1193,10702.2,0,0.5981,636.46,625.12,608.15,636.42,clean,0,5.1193,10702.2,0,0.5981,636.46,625.12,608.15,636.42,8,146,8.0,146.0
