day,symbol,entry_m,ctrl_entry_m,rr,why
2025-04-28,SMCX,613,598,1.1253888382038864,eod
2025-04-28,TSDD,658,643,2.0,target
2025-04-28,TSLQ,658,643,2.0,target
2025-04-29,NSP,595,580,2.0,target
2025-04-29,MSTX,660,645,2.0,target
2025-04-29,BHF,823,808,0.8418668407997942,eod
2025-04-30,NUTX,595,580,2.0,target
2025-04-30,PLTU,645,630,2.0,target
2025-04-30,SMCI,693,678,2.0,target
2025-04-30,MSTX,761,746,0.6323834987623889,eod
2025-05-01,NMAX,591,576,0.14954814383200904,eod
2025-05-01,SMG,672,657,-1.0895593220339035,stop
2025-05-02,DXCM,586,571,2.0,target
2025-05-02,CNK,587,572,-1.0270825688073388,stop
2025-05-05,CABO,596,581,2.0,target
2025-05-05,UPST,598,583,1.0855471100554206,eod
2025-05-05,TTD,602,587,0.024013339232336346,eod
2025-05-05,UAL,604,589,2.0,target
2025-05-05,TSLQ,626,611,-1.052558240513498,stop
2025-05-05,TSDD,627,612,2.0,target
2025-05-05,KOLD,766,751,2.0,target
2025-05-06,KOLD,728,713,0.2374073037169628,eod
2025-05-12,DRV,610,595,1.228424792735879,eod
2025-05-12,CRWV,657,642,2.0,target
2025-05-13,NFLU,654,639,-0.2156196055866447,eod
2025-05-13,XYZ,769,754,2.0,target
2025-05-14,CELH,595,580,-1.0828752642706156,stop
2025-05-14,RDDT,637,622,2.0,target
2025-05-14,SATS,644,629,-1.0734735419534596,stop
2025-05-14,QBTX,686,671,2.0,target
2025-05-15,EXEL,663,648,2.0,target
2025-05-15,CRWV,679,664,-1.0306347826086946,stop
2025-05-15,SMCX,770,755,-1.0469896907216498,stop
2025-05-16,QBTX,587,572,2.0,target
2025-05-16,CONL,588,573,2.0,target
2025-05-19,SMR,592,577,2.0,target
2025-05-20,NBIS,627,612,2.0,target
2025-05-20,BOIL,674,659,2.0,target
2025-05-20,ASTS,693,678,-1.0918571428571435,stop
2025-05-20,ARQQ,733,718,-1.022417582417581,stop
2025-05-20,CRWV,806,791,2.0,target
2025-05-21,APPX,585,570,-0.11960903158793264,eod
2025-05-21,NBIS,586,571,0.22904971127216148,eod
2025-05-21,HSAI,654,639,2.0,target
2025-05-21,CONL,678,663,2.0,target
2025-05-21,NVDU,705,690,2.0,target
2025-05-21,UVIX,807,792,2.0,target
2025-05-21,UVXY,810,795,2.0,target
2025-05-22,RGTX,594,579,2.0,target
2025-05-22,QBTX,597,582,2.0,target
2025-05-22,IONQ,598,583,2.0,target
2025-05-22,ALAB,603,588,2.0,target
2025-05-22,ARQQ,604,589,2.0,target
2025-05-22,TSLR,608,593,2.0,target
2025-05-22,HSAI,634,619,2.0,target
2025-05-22,PLTU,646,631,-1.0971818181818174,stop
2025-05-22,GME,648,633,2.0,target
2025-05-22,SMR,665,650,2.0,target
2025-05-22,STX,676,661,-1.126153613592721,stop
2025-05-22,HIMS,683,668,-1.0662793289394834,stop
2025-05-23,OKLO,585,570,2.0,target
