day,symbol,entry_m,rr_booked,rr_walk
2025-11-03,CONI,628,0.0352941176470601,0.0352941176470601
2025-11-04,TCMD,578,-1.0111578947368425,-1.0111578947368423
2025-11-04,RYTM,580,-0.6728255185637098,-0.6728255185637098
2025-11-04,WULX,581,-0.680223654688557,-0.680223654688557
2025-11-04,IRE,582,2.0,2.0
2025-11-04,AVGX,623,-1.2688006913686902,-1.2688006913686902
2025-11-04,CPRI,695,-1.0386605504587187,-1.0386605504587187
2025-11-05,CORT,577,0.6666666666666623,0.6666666666666623
2025-11-05,RIGL,577,0.8967003908944564,0.8967003908944564
2025-11-05,RPRX,577,0.7024793388429759,0.7024793388429759
2025-11-05,SMG,577,-1.0184602076124574,-1.0184602076124574
2025-11-05,APLD,651,0.0862068965517184,0.08620689655171844
2025-11-06,APPN,577,2.0,2.0
2025-11-06,HCC,577,0.6899063475546291,0.6899063475546291
2025-11-06,INBX,577,0.3999999999999988,0.3999999999999988
2025-11-06,MRX,577,-0.0284171639670355,-0.028417163967035513
2025-11-07,FLGT,577,-1.0723148196721315,-1.0723148196721317
2025-11-07,NTRA,577,0.1951588502269277,0.19515885022692772
2025-11-07,GCT,578,2.0,2.0
2025-11-07,LASR,578,-1.015490960373608,-1.015490960373608
2025-11-07,MULL,599,-1.0245431654676258,-1.0245431654676258
2025-11-07,ETHT,615,-1.1120101010101064,-1.1120101010101064
2025-11-07,PRKS,633,-0.0694444444444406,-0.0694444444444406
2025-11-07,NEBX,808,-1.041978620019436,-1.0419786200194359
2025-11-07,GLXY,821,2.0,2.0
2025-11-10,APPX,577,-0.4669811320754732,-0.4669811320754732
2025-11-10,FLNC,577,-1.0149305555555552,-1.0149305555555552
2025-11-10,LASR,577,-1.0186788990825677,-1.0186788990825675
2025-11-10,OPEX,577,2.0,2.0
2025-11-11,PGY,578,-1.018768372346216,-1.018768372346216
2025-11-11,ZEPP,586,1.9055793991416343,1.9055793991416343
2025-11-11,MLYS,589,1.1999999999999968,1.1999999999999968
2025-11-11,CSIQ,590,-1.02790350877193,-1.02790350877193
2025-11-11,BOIL,661,-0.3306451612903289,-0.3306451612903289
2025-11-11,COGT,744,0.7281553398058245,0.7281553398058245
2025-11-12,RKLX,577,-1.0228790931989915,-1.0228790931989917
2025-11-12,ALKS,578,1.6304347826086971,1.6304347826086973
2025-11-12,HROW,582,-1.0276808510638276,-1.0276808510638276
2025-11-12,OKLL,585,-1.0214130925507894,-1.0214130925507894
2025-11-12,SBIT,654,0.4946236559139681,0.4946236559139681
2025-11-12,COGT,703,0.8955910852713118,0.8955910852713118
2025-11-12,CENX,808,-1.0917211328976029,-1.0917211328976029
2025-11-13,QBTZ,578,0.9194630872483238,0.9194630872483238
2025-11-13,GRAL,592,-1.013469176170349,-1.013469176170349
2025-11-13,RGTZ,605,-1.04034301606922,-1.04034301606922
2025-11-13,TSLQ,606,-1.069246575342467,-1.069246575342467
2025-11-13,OPEX,613,-1.018922705314009,-1.018922705314009
2025-11-13,AMDG,614,-1.4491322735890313,-1.4491322735890313
2025-11-13,ATEX,623,-1.0253043478260866,-1.0253043478260866
2025-11-13,TDW,663,-1.0939344262295048,-1.0939344262295048
2025-11-13,APA,674,-0.6041139498816431,-0.6041139498816431
2025-11-14,ARQQ,577,0.8410596026490055,0.8410596026490055
2025-11-14,HUT,577,2.0,2.0
2025-11-14,INOD,577,0.6074631183106739,0.6074631183106739
2025-11-14,MULL,577,2.0,2.0
2025-11-14,CIEN,587,-1.0662445595854897,-1.0662445595854897
2025-11-14,AMKR,629,-1.084333333333338,-1.084333333333338
2025-11-14,CRSP,828,2.0,2.0
2025-11-17,FIGR,577,-1.021188118811881,-1.021188118811881
2025-11-17,NUVL,577,2.0,2.0
2025-11-17,SNDK,577,-0.2988843217850842,-0.2988843217850842
2025-11-17,LGN,578,-1.0199416930958756,-1.0199416930958756
2025-11-17,CONI,635,2.0,2.0
2025-11-17,DRUG,661,-1.0496749999999992,-1.0496749999999992
2025-11-17,PARR,725,-0.4915797914995987,-0.49157979149959874
2025-11-18,CONL,577,-1.0241515151515144,-1.0241515151515144
2025-11-18,IONX,577,0.4274193548387107,0.42741935483871074
2025-11-18,OKLL,577,-0.0449559044955911,-0.04495590449559113
2025-11-18,QBTX,578,-1.0145454545454546,-1.0145454545454546
2025-11-18,TSLQ,603,-1.0390289855072463,-1.0390289855072465
2025-11-18,BE,621,-1.0363015332197605,-1.0363015332197605
2025-11-18,IREN,628,-1.049377551020406,-1.049377551020406
2025-11-18,NEBX,670,2.0,2.0
2025-11-18,NBIS,675,2.0,2.0
2025-11-18,MP,778,-1.0784564204923472,-1.0784564204923472
2025-11-18,ORCX,778,-1.0975833333333405,-1.0975833333333405
2025-11-19,CRCD,577,2.0,2.0
2025-11-19,DY,579,-1.0211504142766077,-1.0211504142766077
2025-11-19,PPTA,579,-1.030846153846152,-1.030846153846152
2025-11-19,OLMA,591,2.0,2.0
2025-11-19,CONI,650,2.0,2.0
2025-11-19,AMTM,713,1.7409876326638003,1.7409876326638005
2025-11-19,GH,821,-1.0237429245283003,-1.0237429245283005
2025-11-20,NUTX,577,0.3460949464012242,0.3460949464012242
2025-11-20,TWST,577,-1.0147191011235952,-1.0147191011235952
2025-11-20,OKLL,578,-1.0225051546391766,-1.0225051546391766
2025-11-20,PACS,578,-1.0231014338821027,-1.0231014338821027
2025-11-20,SMST,585,2.0,2.0
2025-11-20,ZEPP,595,-1.0254200792602377,-1.0254200792602375
2025-11-20,VIXY,693,2.0,2.0
2025-11-20,QID,717,2.0,2.0
2025-11-20,SPXS,717,2.0,2.0
2025-11-20,QBTZ,718,2.0,2.0
2025-11-21,OPEX,577,-1.0090386473429944,-1.0090386473429944
2025-11-21,WW,580,0.8741803278688544,0.8741803278688544
2025-11-21,NAIL,588,2.0,2.0
2025-11-21,CORD,600,2.000000000000004,2.000000000000004
2025-11-21,SSG,619,2.0,2.0
2025-11-21,NVDS,635,-1.0862716049382686,-1.0862716049382686
2025-11-21,VIXY,636,-1.068265486725664,-1.068265486725664
2025-11-21,DPST,647,2.0,2.0
2025-11-21,CURE,705,0.1463081130355503,0.14630811303555039
2025-11-21,GCT,711,2.0,2.0
2025-11-21,BBNX,714,2.0,2.0
2025-11-21,TARK,758,-1.064832401215806,-1.064832401215806
2025-11-24,AVGX,577,2.0065676567656765,2.0065676567656765
2025-11-24,AVL,577,1.9999999999999976,1.9999999999999978
2025-11-24,OPEX,577,2.0,2.0
2025-11-24,CRDO,578,1.0012774111134748,1.0012774111134748
2025-11-25,AMTM,577,0.0257510729613728,0.02575107296137282
2025-11-25,RDTL,578,2.0,2.0
2025-11-25,INSP,580,2.0000000000000027,2.0000000000000027
2025-11-25,BMNZ,585,-1.0126788990825697,-1.0126788990825695
2025-11-25,ANF,611,2.0,2.0
2025-11-25,GLXY,754,-1.2049999999999896,-1.2049999999999896
2025-11-25,HIBL,766,0.3687500000000002,0.3687500000000002
2025-11-26,ARWR,579,2.0,2.0
2025-11-26,SUPX,580,-1.014856287425149,-1.014856287425149
2025-11-26,CLSX,582,-1.0128961303462316,-1.0128961303462316
2025-11-26,KSS,588,0.9689440993788836,0.9689440993788837
2025-11-26,RGTZ,595,-1.0240000000000018,-1.0240000000000018
2025-11-26,AAOI,766,2.0,2.0
2025-11-26,CONL,769,0.6344784896316874,0.6344784896316874
2025-12-01,CLSX,577,-0.8058894063188435,-0.8058894063188435
2025-12-01,RVNL,578,2.0,2.0
2025-12-01,CRDU,591,-1.015817147977119,-1.015817147977119
2025-12-01,ALAB,592,2.0,2.0
2025-12-02,CRDO,577,-0.8261769270563885,-0.8261769270563885
2025-12-02,CRDU,577,-0.8471074380165292,-0.8471074380165292
2025-12-02,OKLL,577,0.0930908051997519,0.09309080519975192
2025-12-02,BE,578,-0.2532467532467534,-0.2532467532467534
2025-12-03,OKTA,578,1.5000457331016204,1.5000457331016204
2025-12-03,ON,591,2.0,2.0
2025-12-03,CONL,605,-1.0332615384615365,-1.0332615384615365
2025-12-03,M,608,-1.0455894308943088,-1.0455894308943088
2025-12-03,VERX,655,-0.5294117647058836,-0.5294117647058836
2025-12-03,CRWL,680,1.9509097569910705,1.9509097569910703
2025-12-03,CIFU,781,0.8949730155842613,0.8949730155842613
2025-12-04,MVLL,577,-1.0296486090776,-1.0296486090776
2025-12-04,SAIC,577,0.0785714285714292,0.07857142857142921
2025-12-04,MBX,578,0.2396025674843936,0.23960256748439365
2025-12-04,IONX,580,2.0,2.0
2025-12-04,ASTS,606,2.0,2.0
2025-12-04,OKLO,634,2.0,2.0
2025-12-04,BMNR,679,-1.0753478260869616,-1.0753478260869616
2025-12-04,ROBN,710,-1.092733333333336,-1.092733333333336
2025-12-05,HPE,577,1.6307857911733017,1.6307857911733017
2025-12-05,IOT,577,-0.0033223695139366,-0.003322369513936677
2025-12-05,NFXL,577,-0.2713159874856433,-0.27131598748564334
2025-12-05,TTAN,578,0.9878542510121452,0.9878542510121453
2025-12-08,LBRX,579,-1.015936507936508,-1.015936507936508
2025-12-08,MPLT,583,-1.0155975103734447,-1.0155975103734447
2025-12-08,NVTX,591,-1.101726181656547,-1.101726181656547
2025-12-08,QBTX,591,-1.016801104568232,-1.0168011045682321
2025-12-08,ALAB,594,-1.047928774928773,-1.047928774928773
2025-12-08,WRBY,601,-1.028642857142859,-1.028642857142859
2025-12-08,GTLB,608,-1.0662711864406744,-1.0662711864406744
2025-12-08,HTFL,626,-1.0208296296296306,-1.0208296296296306
2025-12-08,NVDL,791,-1.0604407647661316,-1.0604407647661316
2025-12-09,TERN,577,-0.5071942446043168,-0.5071942446043168
2025-12-09,SEDG,597,-1.0736666666666697,-1.0736666666666697
2025-12-09,COHR,600,1.185975609756093,1.185975609756093
2025-12-09,APPX,602,1.81578947368421,1.81578947368421
2025-12-09,APLD,612,-1.057842105263156,-1.057842105263156
2025-12-09,PAAS,625,2.0,2.0
2025-12-09,MSTR,671,2.0,2.0
2025-12-09,BTCL,695,-1.1092279307408586,-1.1092279307408586
2025-12-10,GEVX,577,-1.0141640624999997,-1.0141640624999995
2025-12-10,PLAB,578,0.6954360091614991,0.6954360091614991
2025-12-10,AAOI,586,1.999999999999995,1.999999999999995
2025-12-10,OLMA,586,-1.0327879304466414,-1.0327879304466414
2025-12-10,SRZN,634,0.609195402298847,0.609195402298847
2025-12-10,RKLB,693,2.0,2.0
2025-12-10,ASTS,706,-1.0918787878787888,-1.0918787878787888
2025-12-11,GDXU,580,2.0,2.0
2025-12-11,AIG,587,-1.0595357142857111,-1.0595357142857111
2025-12-11,RGTZ,588,-1.02992424242424,-1.0299242424242399
2025-12-11,CHWY,589,-1.0651650747882562,-1.0651650747882562
2025-12-11,ROIV,604,0.0138888888888861,0.013888888888886147
2025-12-11,RKLB,624,-1.0461796874999976,-1.0461796874999976
2025-12-11,ENR,630,0.9530583214793822,0.9530583214793822
2025-12-11,FLNC,658,1.2608695652173905,1.2608695652173905
2025-12-11,NXT,710,0.3157894736842122,0.31578947368421223
2025-12-12,YOU,577,0.4371823596917882,0.43718235969178826
2025-12-12,FEIM,578,2.0,2.0
2025-12-12,CLSX,579,-1.024125464139146,-1.024125464139146
2025-12-12,AFJK,583,-1.0158122270742345,-1.0158122270742345
2025-12-12,ZEPP,590,-1.042126245847177,-1.042126245847177
2025-12-12,TSLL,592,-1.065860039241339,-1.065860039241339
2025-12-12,CORD,631,2.0,2.0
2025-12-12,UVXY,660,-1.0470439560439595,-1.0470439560439595
2025-12-15,FLY,578,-1.016765151515152,-1.016765151515152
2025-12-15,CORD,580,2.0,2.0
2025-12-15,IMNM,582,-1.013624985099536,-1.013624985099536
2025-12-15,CPRX,587,-1.0436071428571416,-1.0436071428571416
2025-12-15,HOOZ,593,-1.4136865853658585,-1.4136865853658585
2025-12-15,SBIT,618,2.0,2.0
2025-12-15,MENS,824,-1.028793103448276,-1.028793103448276
2025-12-16,APLX,577,-1.0167250859106534,-1.0167250859106534
2025-12-16,AVGG,577,-1.020796875000001,-1.020796875000001
2025-12-16,AVL,577,-1.0212800000000009,-1.0212800000000009
2025-12-16,IONL,577,0.6916299559471357,0.6916299559471357
2025-12-16,SOFX,592,-1.0644200000000028,-1.0644200000000028
2025-12-16,VERX,657,0.9615384615384558,0.9615384615384558
2025-12-16,SRPT,682,-1.0533809523809534,-1.0533809523809534
2025-12-16,QBTS,830,-1.0980407523511018,-1.0980407523511018
2025-12-17,QURE,577,-1.0159589041095884,-1.0159589041095884
2025-12-17,KOD,578,-0.2953218336801139,-0.2953218336801139
2025-12-17,CORD,579,2.0,2.0
2025-12-17,BMNZ,589,-1.026008840216387,-1.026008840216387
2025-12-17,BITU,606,-1.077008954437718,-1.077008954437718
2025-12-17,NVDQ,659,-1.094952380952374,-1.094952380952374
2025-12-18,ELIL,577,-0.371346583058773,-0.37134658305877305
2025-12-18,LLYX,577,-0.401978021978022,-0.40197802197802207
2025-12-18,KMX,578,-0.6617168965820217,-0.6617168965820217
2025-12-18,RGTZ,592,0.2499999999999974,0.24999999999999745
2025-12-19,CWVX,577,2.0,2.0
2025-12-19,MULL,577,0.7632604424978293,0.7632604424978293
2025-12-19,MUU,577,0.6444444444444447,0.6444444444444447
2025-12-19,INFY,581,2.0,2.0
2025-12-19,NBIS,597,2.0,2.0
2025-12-19,PLTU,608,-1.1411122661122672,-1.1411122661122672
2025-12-19,OKLO,632,-1.0567013888888863,-1.0567013888888863
2025-12-19,QBTX,673,-1.1444767441860506,-1.1444767441860506
2025-12-19,ASTS,684,2.0,2.0
2025-12-22,ASMB,577,-1.0146586345381512,-1.0146586345381512
2025-12-22,BKSY,577,-0.3435754189944127,-0.3435754189944127
2025-12-22,CYTK,577,-0.7331812998859772,-0.7331812998859772
2025-12-22,QUBX,577,2.0,2.0
2025-12-22,HUT,591,2.0,2.0
2025-12-22,NEBX,596,-1.0208368430366288,-1.0208368430366288
2025-12-22,ASTS,661,2.0,2.0
2025-12-23,QUBX,577,-1.122441247002399,-1.122441247002399
2025-12-23,RKLX,577,-1.035780885780886,-1.0357808857808861
2025-12-23,QBTX,578,-1.0243005181347156,-1.0243005181347156
2025-12-23,HUT,580,2.0,2.0
2025-12-23,RGTU,589,-1.0300845070422555,-1.0300845070422555
2025-12-23,BMNZ,597,-1.0240179640718554,-1.0240179640718554
2025-12-23,CORD,604,-1.0458405797101449,-1.0458405797101447
2025-12-23,PL,620,0.0,0.0
2025-12-23,HYMC,657,2.0,2.0
2025-12-23,BOIL,802,2.0,2.0
2025-12-26,BBW,577,-1.042672131147541,-1.042672131147541
2025-12-26,BMNZ,583,0.878260869565223,0.878260869565223
2025-12-26,CORD,591,0.4534396809571273,0.45343968095712733
2025-12-26,ETHD,602,-1.0657649698679357,-1.0657649698679355
2025-12-26,ASPC,673,2.0,2.0
2025-12-29,BMNR,577,-1.0196643356643365,-1.0196643356643365
2025-12-29,CRWV,578,-0.7527675276752769,-0.7527675276752769
2025-12-29,IONX,578,-1.0225490196078428,-1.0225490196078428
2025-12-29,GLSI,582,2.0,2.0
2025-12-30,RARE,577,1.7700555996822938,1.7700555996822938
2025-12-30,QBTX,593,-1.0252101449275368,-1.0252101449275368
2025-12-30,GLSI,598,-1.0190370370370374,-1.0190370370370374
2025-12-30,MVLL,599,-1.0733225806451592,-1.0733225806451592
2025-12-30,SKYT,653,-1.0486287128712912,-1.0486287128712912
2025-12-30,INTW,669,-1.2010383520348409,-1.2010383520348409
2025-12-31,AFJK,582,-1.00701572327044,-1.00701572327044
2025-12-31,APLD,737,-1.0578651814423552,-1.0578651814423552
2026-01-02,RGTZ,577,-1.01298076326404,-1.01298076326404
2026-01-02,CSIQ,578,-0.1651480637813207,-0.1651480637813207
2026-01-02,DQ,578,-1.0207525773195871,-1.0207525773195871
2026-01-02,ALAB,587,-1.0311185840707942,-1.0311185840707942
2026-01-02,HUT,635,2.0,2.0
2026-01-02,BMNR,640,2.0,2.0
2026-01-02,ETHU,677,0.1308411214953276,0.1308411214953276
2026-01-05,OKLL,578,1.189320388349515,1.189320388349515
2026-01-05,ARQQ,581,2.0,2.0
2026-01-05,JOBX,581,2.0,2.0
2026-01-05,ASTX,582,1.13657310431504,1.13657310431504
2026-01-05,IONL,620,-1.0379700000000014,-1.0379700000000014
2026-01-06,ASTX,577,1.1580796252927377,1.1580796252927377
2026-01-06,NVTX,577,2.0,2.0
2026-01-06,OKLL,577,-1.0158519926352667,-1.0158519926352667
2026-01-06,FIGR,578,0.4231418918918925,0.42314189189189255
2026-01-06,HL,589,2.0,2.0
2026-01-07,OKLL,577,0.5870898906375042,0.5870898906375042
2026-01-07,LLYX,581,0.2527472527472532,0.2527472527472532
2026-01-07,NEBX,583,-1.029720000000001,-1.029720000000001
2026-01-07,SMX,593,2.0,2.0
2026-01-07,APOG,597,-1.029915887850467,-1.029915887850467
2026-01-07,AMKR,610,-1.0556236559139776,-1.0556236559139776
2026-01-07,GOOX,814,-1.0739494949494974,-1.0739494949494974
2026-01-08,BAH,577,-1.0264657142857143,-1.0264657142857143
2026-01-08,FLY,577,-1.0113645621181258,-1.0113645621181258
2026-01-08,KRMN,577,-0.3248780487804862,-0.32487804878048626
2026-01-08,NVTX,579,-1.0390891265597149,-1.0390891265597149
2026-01-08,STZ,604,-1.0813387755102064,-1.0813387755102064
