symbol,date,entry_time_et,entry_price,stop_loss,pnl,avg_volume_20d,err,ask_pre,bid_pre,t_fill,first_trade_px,bar_trade_hi,bar_n_trades,ask_fill,bid_fill,r_ps,R,mid,sp_bps,excess,excess_bps,dR,dR_pos
ARMU,2026-01-21,09:46:00,15.37,15.04,168.83,20451,,15.37,15.25,2026-01-21T14:46:24.358125+00:00,15.3618,15.3618,6.0,15.38,15.28,0.33000000000000007,0.084415,15.33,65.23157208088807,0.010000000000001563,6.506180871829255,0.030303030303035033,0.030303030303035033
EEIQ,2026-02-17,10:32:00,3.67,3.5,-628.97,179967,,3.6,3.5,2026-02-17T15:32:15.237114+00:00,3.5,3.65,17.0,3.53,3.5,0.16999999999999993,-0.314485,3.5149999999999997,85.34850640113744,-0.14000000000000012,-381.47138964577687,-0.823529411764707,0.0
PLYX,2026-02-17,08:47:00,3.87,3.78,944.17,169686,,3.81,3.8,2026-02-17T13:47:00.022658+00:00,3.81,5.0,902.0,3.81,3.8,0.0900000000000003,0.472085,3.8049999999999997,26.281208935611645,-0.06000000000000005,-155.0387596899226,-0.6666666666666651,0.0
MG,2026-03-05,09:56:00,14.94,14.28,-119.52,134778,,15.23,14.72,2026-03-05T14:56:12.145166+00:00,14.73,14.99,38.0,15.23,14.72,0.6600000000000001,-0.05976,14.975000000000001,340.56761268781287,0.2900000000000009,194.10977242302604,0.4393939393939407,0.4393939393939407
VRCA,2026-03-11,09:47:00,6.12,5.85,145.47,136751,,6.2,5.94,2026-03-11T13:47:05.919921+00:00,6.1999,6.2,27.0,6.2,5.94,0.27000000000000046,0.072735,6.07,428.3360790774296,0.08000000000000007,130.71895424836612,0.29629629629629606,0.29629629629629606
VATE,2026-03-30,09:46:00,5.31,5.16,70.16,16195,,5.28,5.2,2026-03-30T13:46:00.724342+00:00,5.27,5.29,6.0,5.28,5.2,0.14999999999999947,0.03508,5.24,152.67175572519096,-0.02999999999999936,-56.49717514124174,-0.19999999999999646,0.0
KMRK,2026-04-20,10:31:00,3.51,3.39,1769.32,80258,,3.5,3.4,2026-04-20T14:31:18.195794+00:00,3.45,3.5,11.0,3.5,3.4,0.11999999999999966,0.88466,3.45,289.85507246376835,-0.009999999999999787,-28.490028490027886,-0.08333333333333179,0.0
MED,2026-05-05,09:45:00,12.18,11.89,5182.65,190724,,12.17,12.0,2026-05-05T13:45:00.944385+00:00,12.085,12.16,17.0,12.17,12.0,0.28999999999999915,2.591325,12.085,140.67025237898216,-0.009999999999999787,-8.210180623973553,-0.03448275862068902,0.0
BVC,2026-06-09,10:39:00,10.04,9.64,119.19,11085,,10.22,9.7,2026-06-09T14:39:06.448808+00:00,10.0,10.01,13.0,9.99,9.7,0.3999999999999986,0.059595,9.844999999999999,294.5657694261056,-0.049999999999998934,-49.80079681274795,-0.12499999999999778,0.0
WXM,2026-07-06,09:50:00,5.18,5.04,1187.4,152858,,5.14,5.0,2026-07-06T13:50:00.295546+00:00,5.07,5.18,28.0,5.14,5.0,0.13999999999999968,0.5937,5.07,276.1341222879678,-0.040000000000000036,-77.22007722007729,-0.28571428571428664,0.0
XPON,2026-07-21,10:43:00,3.31,3.2,253.29,112052,,3.3,3.21,2026-07-21T14:43:16.121888+00:00,3.21,3.345,8.0,3.3,3.21,0.10999999999999988,0.126645,3.255,276.49769585253415,-0.010000000000000231,-30.21148036253846,-0.0909090909090931,0.0
OPAD,2026-08-04,09:42:00,4.01,3.84,255.54,50731,,4.16,4.0,2026-08-04T13:42:22.172392+00:00,3.99,4.01,9.0,4.16,4.0,0.16999999999999993,0.12777,4.08,392.15686274509835,0.15000000000000036,374.0648379052378,0.882352941176473,0.882352941176473
OESX,2026-08-06,09:58:00,19.81,19.05,-2047.56,69285,,19.93,19.5,2026-08-06T13:58:02.304313+00:00,19.715,19.85,32.0,19.93,19.5,0.759999999999998,-1.02378,19.715,218.1080395637838,0.120000000000001,60.57546693589147,0.15789473684210698,0.15789473684210698
