symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,R
FKWL,2025-05-19,09:46:00,4.11,3.95,4.38,510,13:43:00,4.33,trail_stop,112.63,5.38,False,,0,0.0,21.96,25502,1.37,-2.83,False,0.15,3,12.41,2.52,2.6,1.0,0.0,0.3,0.3,0.0,0.0,2.6,0.826,0.0,0.0,21.96,0.155,0.826,,0.056315
SAIH,2025-05-27,10:41:00,6.27,6.0,6.77,1032,11:54:00,6.57,trail_stop,308.21,4.76,False,,0,0.0,25.1,51643,4.48,2.76,False,0.03,2,7.66,5.56,2.0,1.0,0.3,0.0,0.0,0.3,0.2,2.0,1.275,0.2,0.0,21.57,0.348,1.275,,0.154105
YSXT,2025-05-28,10:22:00,7.87,7.58,8.51,1190,10:35:00,9.14,exhaust+trail_stop,1600.9,17.08,False,,0,0.0,61.03,59505,6.88,5.65,False,0.03,2,6.68,7.02,2.0,1.0,0.3,-0.3,0.3,0.3,0.2,2.0,1.401,0.2,0.0,32.49,1.536,1.401,,0.80045
DDC,2025-05-30,10:34:00,8.04,7.75,8.55,3153,10:35:00,7.72,stop,-995.54,-3.93,False,,0,0.0,32.18,157660,8.51,2.08,False,-0.14,3,5.41,9.17,2.3,1.0,0.3,0.0,0.3,0.3,0.2,2.3,1.476,0.2,0.0,24.84,4.67,1.476,,-0.49777
TWAV,2025-06-09,09:58:00,3.94,3.81,4.21,6379,10:32:00,4.11,trail_stop,1081.47,4.3,False,,0,0.0,34.73,177228,8.98,12.9,False,-0.01,3,11.94,8.71,2.0,1.8,0.0,0.3,0.3,0.0,0.2,2.0,0.808,0.2,0.0,24.19,3.943,0.808,,0.540735
LGL,2025-06-23,09:53:00,8.34,7.85,9.16,669,09:56:00,9.1,trail_stop,504.25,9.04,False,,0,0.0,60.71,18602,5.32,-3.28,False,-0.12,2,18.04,5.14,2.5,1.8,0.0,0.0,0.3,0.0,0.0,2.5,0.915,0.2,0.0,35.32,3.049,0.915,,0.252125
SPAI,2025-07-11,09:59:00,3.39,3.28,3.51,1232,10:47:00,3.52,trail_stop,164.92,3.95,False,,0,0.0,24.14,30833,4.04,4.9,False,0.07,2,5.71,5.73,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.55,0.2,0.0,18.16,0.161,0.55,,0.08245999999999999
DOGZ,2025-08-13,10:28:00,10.45,9.99,11.48,1468,10:41:00,9.96,stop,-722.06,-4.71,False,,0,0.0,32.37,73416,6.74,-2.24,False,-0.06,2,6.08,6.64,2.0,1.0,0.3,-0.3,0.3,-0.5,0.0,2.0,0.748,0.2,0.0,25.15,2.91,0.748,,-0.36102999999999996
NPCE,2025-08-13,09:48:00,8.56,8.35,8.84,7636,09:55:00,8.72,trail_stop,1230.54,1.88,False,,0,0.0,27.98,190941,3.67,-1.97,False,-0.06,2,5.73,4.82,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.748,0.2,0.0,18.35,1.075,0.748,,0.61527
APLM,2025-09-16,09:58:00,11.87,11.24,13.04,1738,10:03:00,11.21,stop,-1160.64,-5.62,False,,0,0.0,38.89,48320,12.23,-3.12,False,0.02,3,5.56,13.02,1.9,1.8,0.3,-0.3,0.0,-0.5,0.2,1.9,0.44,0.2,0.0,30.09,0.89,0.44,,-0.5803200000000001
RMCO,2025-10-20,10:31:00,3.92,3.77,4.24,4118,11:16:00,4.08,trail_stop,652.0,4.04,False,,0,0.0,23.63,114411,4.79,15.94,False,0.14,3,9.66,5.05,1.8,1.8,0.0,0.0,0.3,0.3,0.0,1.8,1.546,0.2,0.0,25.6,1.463,1.546,,0.326
DZZ,2025-10-24,10:27:00,3.67,3.59,3.82,1904,10:30:00,3.58,stop,-169.49,-2.43,False,,0,0.0,20.58,95215,4.88,0.97,False,-0.09,2,9.09,5.08,2.0,1.0,0.0,0.3,0.3,0.0,0.2,2.0,0.832,0.2,0.0,21.75,3.021,0.832,,-0.084745
