symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,ofi_range,tai_range,ofi_break60,tai_break60,spread_at_break_bps,n_trades_range,n_trades_break60,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
HMR,2025-03-27,3.4459067999999995,1222.6196480388032,2.445402562831944,lock,1,1,5.149560117302059,47035.0,1.8659276268440617,49.94324124519087,1.0,0.5546697038724389,-1.5425219941348969,1.0,-0.4635742719602191,7.911392405063291,13.924050632911388,0.2272727272727275,8798889.55,22.90620603222046,-28.95833333333333,24.27739003573155,0.0841376625758417,0.2803244005641805,-0.1622002820874599,-0.24798184983909,0.9807998975028132,3.0,27.0,3333.333333333333,81.5079765359202,1.9442748091603053,-1.0,,,,9,0,0.2409148686225725,Q3,2,81.5079765359202,2025-03,HMR
BULL,2025-04-28,18.2199,0.0,0.0,no_fill,0,0,3.4041735310268955,231697.0,2.1493675755639376,46.77525413162187,1.0,0.0,-3.3498077979132312,0.0,-1.7279964882950043,5.442964678633476,15.659525188187606,0.1368140807572848,4757782.85,24.267933921889355,-77.11161387631977,85.62701464990566,1.1290801134398138,0.0,0.0,0.1362051431062036,1.895036065864952,0.0,28.0,3333.333333333333,0.0,-36.05297679905623,0.3571657622579748,,,,193,0,0.11466648829953438,Q2,3,0.0,2025-04,BULL
SMCL,2025-05-13,10.66189,7899.240746250008,15.800503258534864,scale_eod,1,1,3.5818005808325366,112291.0,1.275153105821135,111.79426957641512,3.0,0.756756756756753,2.032913843175209,0.0,0.7954068726718456,5.515832482124627,11.95097037793667,0.2564102564102555,1403729.05,11.778327667336564,-20.416024653312792,9.457106739250245,0.989673185149228,0.1285435162650396,0.0034278271003979,0.0720424020995144,1.1284371830928306,1.0,13.0,3333.333333333333,526.6160497500005,9.326232277969588,0.3470721941163424,3.9607293127629735,-0.4727210339700332,75.40056550424134,26,4,0.26185412471219305,Q4,0,526.6160497500005,2025-05,SMCI
SMCX,2025-05-13,28.914383699999995,8502.492403563301,17.007376242430254,scale_eod,1,1,4.6710714285714285,292741.0,1.5933889386435125,52.53464831398311,4.0,0.8356908020490863,2.1892857142857127,0.0,0.7854364428267542,5.660377358490567,11.962264150943389,0.261829652996845,3806626.15,11.921110992501529,-20.49971607041453,9.530007889128033,1.2593493059464218,0.1285435162650396,0.0034278271003979,0.0720424020995144,1.1284371830928306,1.0,13.0,3333.333333333333,566.83282690422,23.94976067945442,0.3455738917230175,5.697897196261683,0.9738221848533112,17.34605377276694,58,11,0.5262275016987856,Q5,1,566.83282690422,2025-05,SMCI
TSLR,2025-05-14,23.73098,-1047.4298323264254,-2.09580512929271,stop,0,1,3.224437844717868,224022.0,1.360795477369978,59.50685778307032,2.0,0.7894736842105265,-0.2969876962240148,1.0,0.8349914248418885,5.035650623885914,11.80882352941176,0.8226725536812712,4092466.1,9.528950389040464,2.8812871291450417,7.998846863998539,1.93915350942064,0.1684160386506318,0.1633125223278707,0.1652920727966589,0.9749672521582806,2.0,14.0,3333.333333333333,-69.82865548842835,-14.556709186195986,-0.5980665523707246,2.2758620689655173,0.8174169120740429,4.209640075774179,39,3,0.3024371875356097,Q4,0,-69.82865548842835,2025-05,TSLA
EDBL,2025-05-28,3.5204297,4924.447529903989,9.84945793674834,scale_eod,1,1,4.139999999999994,31462.0,1.9465788551144905,88.97937635757057,2.0,0.8329882677708762,-0.408571428571428,1.0,0.8185779981326194,5.421686746987957,25.602409638554207,0.1411764705882349,10413362.3,14.203168174041492,-44.35612082670906,21.20352218081344,0.0926152353308594,0.1250063390638505,0.0743614449684679,0.0693563393385719,1.381843170072817,2.0,28.0,3333.333333333333,328.2965019935992,2.8505981165691017,-0.0911817390018241,,-1.0,1596.752368064953,16,1,0.1732459733791348,Q2,3,328.2965019935992,2025-05,EDBL
NOTV,2025-06-04,3.2798099999999994,-1089.0336901542862,-2.178179615805272,stop,0,1,5.304212168486737,48253.0,2.1271770871957663,59.059093538448806,2.0,0.5588235294117635,-0.3120124804992272,1.0,0.5191268363201564,8.277027027027032,15.878378378378386,0.7446808510638296,667399.45,11.292421748090227,4.058441558441558,8.74696463553267,2.1862544237937267,0.1365273473490333,0.1013485216517136,0.1459511147645497,1.1736889838813278,2.0,4.0,3333.333333333333,-72.60224601028574,2.4996180290297936,0.9322893327987548,0.0,1.0,60.606060606060666,4,2,0.16538107941530036,Q2,3,-72.60224601028574,2025-06,
ZENA,2025-06-10,5.4,0.0,0.0,no_fill,0,0,4.180608365019011,1007190.0,2.714450745599737,29.942556158619126,3.0,0.3178717598908578,-0.1901140684410606,0.0,-0.5483731468147888,15.8590308370044,32.37885462555066,0.0884353741496598,9487961.95,13.575246862231932,-23.988439306358384,9.584367300440782,1.2493299469861388,0.1266202392456084,0.0258238645829816,0.0900480256136735,0.8211298870771674,1.0,10.0,3333.333333333333,0.0,2.855422577925056,-0.2788262493846254,,,,119,0,0.10417013205524348,Q2,3,0.0,2025-06,ZENA
ZENA,2025-06-12,5.1153,-1913.046135235715,-3.826326273280999,stop,0,1,4.901960784313726,153206.0,1.7127959988948345,50.9375620771913,1.0,0.120000000000001,-4.313725490196074,0.0,-2.0623617083882286,5.371900826446277,15.289256198347111,0.1756756756756755,10062771.3,14.489597890347367,-26.300578034682086,9.594513912184526,0.2904475231390779,0.1716609446351742,-0.0449985000499953,-0.2244911533856629,0.7164449607976284,3.0,12.0,3333.333333333333,-127.53640901571433,-24.667725558045213,-0.6013544227595444,-0.0065956872165915,0.9168698466636628,58.42259006816017,29,29,0.26841730434562205,Q4,0,-127.53640901571433,2025-06,ZENA
ARAI,2025-06-12,9.07715,-639.5889599999927,-1.279256154189351,tag_bb,1,1,4.501657458563545,41364.0,1.3718193676597867,103.09979492828325,0.0,0.1408934707903763,-3.867403314917142,0.0,-2.0132137633686287,6.470588235294127,18.11764705882354,0.2142857142857142,2609381.210526316,35.626081857052625,-77.375,19.265378915603875,0.8942989972436094,0.1716609446351742,-0.0449985000499953,-0.2244911533856629,0.7164449607976284,3.0,12.0,3333.333333333333,-42.63926399999951,,-1.0,,,,1,0,0.17785191528826277,Q3,2,-42.63926399999951,2025-06,ARAI
