symbol,bar_date,ratio
ONCT,2020-11-06,1.9195046439628483
ONVO,2020-08-19,16.468356613209178
OVID,2020-12-01,0.47953216374269003
PLL,2020-09-28,3.072625698324022
POWI,2020-08-19,0.4917188706770788
PPSI,2020-10-06,3.8679245283018866
PRPO,2020-07-30,4.653225806451613
PRPO,2020-07-31,0.5181975736568458
PSHG,2020-10-09,1.818788586684465
PSHG,2020-11-02,9.656896159963646
QRTEB,2020-09-16,2.0125786163522013
RAVE,2020-10-06,1.9067796610169494
SAVA,2020-09-14,1.811320754716981
SCKT,2020-10-22,1.837837837837838
SCYX,2020-07-17,10.600000000000001
SENS,2020-12-23,2.0730270906949353
SLS,2020-12-09,1.9214092140921408
SLS,2020-12-10,1.9661495063469676
SLS,2020-12-11,0.5416068866571019
SNGX,2020-12-22,0.47810218978102187
SQFT,2020-12-17,2.0719178082191783
SRRK,2020-10-27,2.4781341107871717
STAF,2020-10-14,2.3149606299212597
SYPR,2020-07-28,1.863013698630137
TANH,2020-11-20,0.4981412639405205
TANH,2020-11-23,1.9253731343283582
TENX,2020-12-29,1.822429906542056
TLSA,2020-07-31,0.5106209150326797
TNXP,2020-07-20,2.011904761904762
TSLA,2020-08-31,0.23218417764626817
TTNP,2020-12-01,22.330689444783406
UBX,2020-08-17,0.3204930662557781
UONE,2020-09-25,2.0
UONEK,2020-09-25,1.9800833719314497
VCNX,2020-09-22,0.4095063985374772
VISL,2020-08-03,5.057831797686728
WHLM,2020-07-24,2.105793450881612
XBIO,2020-12-09,2.6666666666666665
AAME,2021-02-05,1.800796812749004
ACRS,2021-01-19,3.306122448979592
ADVM,2021-04-28,0.4949290060851927
AEI,2021-02-08,1.8098360655737704
AEMD,2021-06-08,1.9272727272727272
AEMD,2021-06-09,2.259433962264151
AEZS,2021-02-08,2.7981651376146783
AMST,2021-06-10,2.085972850678733
AMTX,2021-01-25,1.9657387580299786
ASRT,2021-05-18,3.850811334463551
AVNW,2021-04-08,0.4933429291111911
AVXL,2021-02-03,2.0676691729323307
BCTX,2021-06-02,2.142405063291139
BPTH,2021-02-10,2.2096153846153848
CARA,2021-04-29,0.5467961165048544
CDXC,2021-02-25,2.261855670103093
CHCI,2021-02-08,2.002808988764045
CLNN,2021-02-03,2.001526717557252
CLOV,2021-06-08,1.8435321456235476
CLPS,2021-02-17,2.127659574468085
CPSH,2021-01-12,2.1818181818181817
CPSH,2021-02-03,2.118279569892473
CTRM,2021-05-28,8.555555555555555
DARE,2021-01-19,2.0689655172413794
DLPN,2021-03-23,5.196330275229358
EEIQ,2021-03-26,4.2823529411764705
EXPI,2021-02-16,0.5146702385508356
FIZZ,2021-02-22,0.4892746682629951
FTFT,2021-01-07,3.222222222222222
GHSI,2021-03-01,5.287128712871287
GRTS,2021-01-19,4.307317073170731
HFBL,2021-04-01,0.5239911026374324
HWKN,2021-03-02,0.5077399380804953
KALV,2021-02-09,2.2421524663677133
KOSS,2021-01-25,2.8481375358166185
KOSS,2021-01-27,3.568075117370892
KOSS,2021-01-28,1.8460526315789476
KOSS,2021-02-01,0.5113636363636364
KOSS,2021-02-24,2.455004205214466
LEE,2021-03-15,9.675675675675675
LIVE,2021-01-26,1.8383527965580824
LMFA,2021-01-08,4.03921568627451
LMFA,2021-05-07,5.194805194805195
LRMR,2021-05-25,0.5016545334215752
LXRX,2021-01-14,2.0103092783505154
MBRX,2021-02-01,5.9125000000000005
MDIA,2021-06-11,1.9701086956521738
MNOV,2021-03-09,2.128731343283582
MORF,2021-03-01,1.994102564102564
NDRA,2021-01-19,1.8392857142857142
NEOG,2021-06-07,0.5093406593406593
NSPR,2021-04-27,13.801980198019802
NVFY,2021-03-10,2.088235294117647
OCGN,2021-02-05,2.528023598820059
OTRK,2021-03-01,0.5261312406077809
PETZ,2021-02-16,3.538152610441767
PETZ,2021-02-17,0.5062429057888762
PIRS,2021-05-25,2.7405405405405405
PRPO,2021-05-04,2.5792349726775954
RAPT,2021-06-14,2.4340333871836295
RCMT,2021-02-10,2.019672131147541
SAVA,2021-02-02,2.557992408266554
SAVA,2021-02-03,2.0395713107996705
SAVA,2021-02-04,0.45012126111560224
SCKT,2021-02-16,5.5679012345679
SENS,2021-01-14,1.8628571428571428
SENS,2021-01-19,1.8588957055214723
SIEB,2021-01-29,2.0215633423180592
SLNO,2021-03-08,0.5130111524163569
SLS,2021-02-02,2.2205882352941178
SRPT,2021-01-07,0.5033072760072158
SYPR,2021-02-24,2.1027667984189726
TLRY,2021-02-11,0.4717971797179718
TRST,2021-05-28,5.081818181818182
TTD,2021-06-17,0.1065186343852013
VRNS,2021-03-15,0.33764457865648684
VTNR,2021-05-26,2.5730659025787963
VTNR,2021-05-28,1.9711286089238844
VXRT,2021-02-03,0.41798245614035084
VYNE,2021-02-16,3.9622641509433962
WKHS,2021-02-23,0.4859872611464968
WORX,2021-01-07,1.8402777777777777
XELA,2021-01-26,3.0337078651685396
XELA,2021-03-09,3.4593023255813957
ABVC,2021-11-01,1.8193146417445483
ACST,2021-08-31,6.749379652605459
AEHR,2021-07-19,2.0173410404624277
APVO,2021-11-23,2.0914728682170542
ARDX,2021-07-19,0.2802631578947368
AVIR,2021-10-19,0.3497901752653666
AXSM,2021-08-09,0.5244230769230769
BIMI,2021-10-26,1.8618618618618616
BLUE,2021-11-05,0.5386454183266932
CAR,2021-11-02,1.9752681111840666
CERE,2021-06-29,2.200477326968974
CSGP,2021-06-28,0.09664079759814195
CSX,2021-06-29,0.33305404273146205
