cell,split,obs,mu,p5,p95,outside
T SPY 0940 sgn [B2],VAL,69.56521739130434,56.15652173913043,47.82608695652174,65.21739130434783,ABOVE
T SPY 0940 p20 [B2],TRAIN,35.84905660377358,39.845283018867924,33.9622641509434,47.16981132075472,inside
T SPY 0940 p20 [B2],VAL,56.52173913043478,50.8,39.130434782608695,60.86956521739131,inside
T SPY 0940 p40 [B2],TRAIN,43.39622641509434,42.56603773584906,35.84905660377358,49.056603773584904,inside
T SPY 0940 p40 [B2],VAL,47.82608695652174,52.702173913043474,43.47826086956522,60.86956521739131,inside
T SPY 0940 p60 [B2],TRAIN,43.39622641509434,42.15,35.84905660377358,49.056603773584904,inside
T SPY 0940 p60 [B2],VAL,47.82608695652174,52.778260869565216,43.47826086956522,60.86956521739131,inside
"  (pre-gate arm, entry_m<581) [B2]",TRAIN,45.28301886792453,43.52075471698113,35.84905660377358,50.943396226415096,inside
"  (pre-gate arm, entry_m<581) [B2]",VAL,47.82608695652174,52.778260869565216,43.47826086956522,60.86956521739131,inside
T SPY 0945 sgn [B2],TRAIN,37.735849056603776,34.8877358490566,28.30188679245283,41.509433962264154,inside
T SPY 0945 sgn [B2],VAL,56.52173913043478,56.7695652173913,47.82608695652174,65.21739130434783,inside
T SPY 0945 p20 [B2],TRAIN,41.509433962264154,36.782075471698114,30.18867924528302,43.39622641509434,inside
T SPY 0945 p20 [B2],VAL,60.86956521739131,57.4195652173913,47.82608695652174,69.56521739130434,inside
T SPY 0945 p40 [B2],TRAIN,37.735849056603776,38.14905660377359,32.075471698113205,45.28301886792453,inside
T SPY 0945 p40 [B2],VAL,65.21739130434783,57.49782608695652,47.82608695652174,69.56521739130434,inside
T SPY 0945 p60 [B2],TRAIN,37.735849056603776,38.32830188679245,32.075471698113205,45.28301886792453,inside
T SPY 0945 p60 [B2],VAL,60.86956521739131,56.35217391304347,47.82608695652174,65.21739130434783,inside
"  (pre-gate arm, entry_m<586) [B2]",TRAIN,37.735849056603776,38.57264150943397,32.075471698113205,45.28301886792453,inside
"  (pre-gate arm, entry_m<586) [B2]",VAL,60.86956521739131,56.576086956521735,47.82608695652174,65.21739130434783,inside
T SPY 0950 sgn [B2],TRAIN,30.18867924528302,36.77169811320754,30.18867924528302,43.39622641509434,inside
T SPY 0950 sgn [B2],VAL,65.21739130434783,54.89782608695652,43.47826086956522,65.21739130434783,inside
T SPY 0950 p20 [B2],TRAIN,32.075471698113205,37.302830188679245,30.18867924528302,43.39622641509434,inside
T SPY 0950 p20 [B2],VAL,52.17391304347826,54.6195652173913,43.47826086956522,65.21739130434783,inside
T SPY 0950 p40 [B2],TRAIN,32.075471698113205,37.341509433962266,30.18867924528302,43.39622641509434,inside
T SPY 0950 p40 [B2],VAL,52.17391304347826,54.09565217391304,43.47826086956522,65.21739130434783,inside
T SPY 0950 p60 [B2],TRAIN,30.18867924528302,36.3943396226415,30.18867924528302,43.39622641509434,inside
T SPY 0950 p60 [B2],VAL,52.17391304347826,53.663043478260875,43.47826086956522,65.21739130434783,inside
"  (pre-gate arm, entry_m<591) [B2]",TRAIN,30.18867924528302,37.591509433962266,30.18867924528302,45.28301886792453,inside
"  (pre-gate arm, entry_m<591) [B2]",VAL,52.17391304347826,52.928260869565214,43.47826086956522,60.86956521739131,inside
T SPY 1000 sgn [B2],TRAIN,35.84905660377358,37.13490566037736,30.18867924528302,43.39622641509434,inside
T SPY 1000 sgn [B2],VAL,65.21739130434783,56.915217391304346,47.82608695652174,65.21739130434783,inside
T SPY 1000 p20 [B2],TRAIN,22.641509433962266,32.10754716981132,24.528301886792452,39.62264150943396,below
T SPY 1000 p20 [B2],VAL,65.21739130434783,58.96739130434782,47.82608695652174,69.56521739130434,inside
