day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2026-05-18,GGLL,575,574,593,150.40190000000007,target,VAL,,2026-05-18,145.2273,142.64,2.5873000000000275,145.2273,0.1856044985941893,1.9054109153966734,0.09458908460332652,1.6212781965755847,2026-05-18,1.9054109153966734
2026-05-18,OSCR,572,571,575,23.186899999999998,stop,VAL,,2026-05-18,23.54,23.186899999999998,0.3531000000000013,23.54,0.0249638554216868,-1.0971657757623525,0.09716577576235251,-1.3704666666666654,2026-05-18,-1.0971657757623525
2026-05-18,RBLX,572,571,579,45.26000000000001,target,VAL,,2026-05-18,43.52,42.65,0.8700000000000045,43.52,0.0538138925294888,1.9177357557132317,0.08226424428676832,1.7214721839080473,2026-05-18,1.9177357557132317
2026-05-18,TEAM,597,596,955,89.4,eod,VAL,,2026-05-18,89.4,86.66,2.740000000000009,89.4,0.1683846153846159,-0.07450533408197636,0.07450533408197636,-0.21991094890510873,2026-05-18,-0.07450533408197636
2026-05-18,TTD,572,571,601,22.040000000000003,target,VAL,,2026-05-18,21.34,20.99,0.3500000000000014,21.34,0.0113500404203718,1.9427827416560808,0.057217258343919206,1.6605988571428585,2026-05-18,1.9427827416560808
2026-05-18,GDXD,665,664,903,39.55,stop,VAL,,2026-05-18,40.36,39.55,0.8100000000000023,40.36,0.0925241779497098,-1.1339582443823575,0.1339582443823574,-1.1801743209876538,2026-05-18,-1.1339582443823575
2026-05-19,ACMR,573,572,575,66.28565,target,VAL,,2026-05-18,64.355,63.389675000000004,0.965325,64.355,0.1697395833333336,1.7970966116765508,0.2029033883234492,1.5276,2026-05-19,1.7970966116765508
2026-05-19,ARM,573,572,620,207.33,stop,VAL,,2026-05-18,215.2,207.33,7.869999999999976,215.2,0.2741607565011837,-1.045573920775246,0.045573920775245844,-1.1933979669631518,2026-05-19,-1.045573920775246
2026-05-19,BEX,578,577,599,48.17,stop,VAL,,2026-05-18,52.0,48.42,3.5799999999999983,52.0,0.4826143790849684,-1.210236977398036,0.14040457516339908,-1.1675178770949721,2026-05-19,-1.210236977398036
2026-05-19,LITZ,648,647,657,20.61,stop,VAL,,2026-05-18,21.325,20.61,0.7149999999999999,21.325,0.1206403940886694,-1.180457893830307,0.18045789383030691,-1.146838111888112,2026-05-19,-1.180457893830307
2026-05-19,MVLL,573,572,955,75.06,eod,VAL,,2026-05-18,70.4,65.35,5.050000000000011,70.4,0.2253913043478266,0.872379543693497,0.05039273353422298,0.8238883168316806,2026-05-19,0.872379543693497
2026-05-19,MSTX,595,594,622,30.65,stop,VAL,,2026-05-18,31.815,30.65,1.1650000000000027,31.815,0.1100894187779434,-1.1052209603244147,0.10522096032441469,-1.136345064377682,2026-05-19,-1.1052209603244147
2026-05-19,MUU,574,573,608,418.0,stop,VAL,,2026-05-18,451.056,418.0,33.05599999999998,451.056,1.2175950668037023,-1.0420923967450297,0.042092396745029736,-1.09640807357212,2026-05-19,-1.0420923967450297
2026-05-19,SNDU,574,573,616,78.58,stop,VAL,,2026-05-18,83.71,78.58,5.1299999999999955,83.71,0.316077586206897,-1.0679406600793173,0.06794066007931722,-1.115329590643275,2026-05-19,-1.0679406600793173
2026-05-19,SNDK,574,573,616,1287.7001,stop,VAL,,2026-05-18,1328.295,1287.7001,40.59490000000005,1328.295,1.232013274336301,-1.0432372611913392,0.04323726119133928,-1.2314628098603517,2026-05-19,-1.0432372611913392
2026-05-19,TSEM,595,594,606,242.035,stop,VAL,,2026-05-18,252.99,242.13,10.860000000000014,252.99,0.4819354838709649,-1.0622412968573631,0.05349359888314587,-1.1655581583793735,2026-05-19,-1.0622412968573631
2026-05-19,GDXD,572,571,955,45.01,eod,VAL,,2026-05-18,43.84,42.43,1.4100000000000037,43.84,0.1189107883817423,0.7328505046937941,0.09693672934875314,0.6567486524822639,2026-05-19,0.7328505046937941
2026-05-20,ALAB,572,571,654,276.135,target,VAL,,2026-05-18,259.005,250.44,8.564999999999998,259.005,0.9708493150684844,1.8741532615214846,0.12584673847851544,1.785501295971979,2026-05-20,1.8741532615214846
2026-05-20,AMDL,573,572,608,51.480000000000004,target,VAL,,2026-05-18,49.5,48.51,0.990000000000002,49.5,0.087652671755725,1.89106194772149,0.10893805227850988,1.7216000000000005,2026-05-20,1.89106194772149
2026-05-20,APLX,662,661,925,25.500000000000004,target,VAL,,2026-05-18,24.26,23.64,0.620000000000001,24.26,0.1079365079365075,1.8098572452636978,0.19014275473630213,1.8579529032258066,2026-05-20,1.8098572452636978
2026-05-20,ARM,572,571,580,246.82999999999998,target,VAL,,2026-05-18,233.0,226.085,6.914999999999992,233.0,0.2507684729064056,1.9498576322622696,0.05014236773773044,1.7610403470715832,2026-05-20,1.9498576322622696
2026-05-20,ASTX,573,572,575,34.17,stop,VAL,,2026-05-18,36.01,34.17,1.8399999999999963,36.01,0.0933838383838385,-1.0583803469477384,0.05838034694773843,-1.1086128260869568,2026-05-20,-1.0583803469477384
2026-05-20,ASTS,573,572,575,87.26,stop,VAL,,2026-05-18,89.485,87.26,2.2249999999999943,89.485,0.0996093257718965,-1.060655427313212,0.060655427313212065,-1.284543280898877,2026-05-20,-1.060655427313212
2026-05-20,BEX,598,597,675,63.4198,target,VAL,,2026-05-18,57.32,54.2701,3.049900000000001,57.32,0.447675675675677,1.8452986538326905,0.15470134616730938,1.8729280435424114,2026-05-20,1.8452986538326905
