day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2025-04-02,HIMS,624,623,672,29.64,stop,TRAIN,H1,2025-03-31,30.36,29.64,0.7199999999999989,30.36,0.0427734375000001,-1.0760742187500003,0.07607421875000026,-1.207681666666667,2025-04-02,-1.0760742187500003
2025-04-02,NVDU,682,681,771,55.193000000000005,target,TRAIN,H1,2025-03-31,53.511,52.67,0.8410000000000011,53.511,0.0422128174123335,1.923955270615537,0.07604472938446305,1.7813565636147446,2025-04-02,1.923955270615537
2025-04-02,TQQQ,603,602,787,60.855000000000004,target,TRAIN,H1,2025-03-31,58.685,57.6,1.0850000000000009,58.685,0.0100786537406262,1.9686758951699297,0.03132410483007021,1.7659417511520739,2025-04-02,1.9686758951699297
2025-04-02,TSLA,679,678,687,276.0503,target,TRAIN,H1,2025-03-31,268.01,263.98985,4.020150000000001,268.01,0.0885645472061675,1.9509031734621427,0.04909682653785741,1.7709333333333335,2025-04-02,1.9509031734621427
2025-04-03,NUGT,604,603,634,63.69000000000001,target,TRAIN,H1,2025-03-31,60.95,59.58,1.3700000000000045,60.95,0.0927607361963184,1.9140958129953882,0.08590418700461169,1.8074072992700736,2025-04-03,1.9140958129953882
2025-04-03,GDXU,603,602,634,61.540000000000006,target,TRAIN,H1,2025-03-31,57.84,55.99,1.8500000000000014,57.84,0.182998872604284,1.888175744538225,0.11182425546177505,1.864535783783784,2025-04-03,1.888175744538225
2025-04-03,UVIX,604,603,955,51.415,eod,TRAIN,H1,2025-03-31,47.56,44.26,3.3000000000000043,47.56,0.1074130962004854,1.1296339102422748,0.038547907939540986,1.096896424242422,2025-04-03,1.1296339102422748
2025-04-03,SOXS,604,603,665,35.16,target,TRAIN,H1,2025-03-31,33.53,32.715,0.8149999999999977,33.53,0.0109409675987572,1.969719058161034,0.030280941838965972,1.7967743558282203,2025-04-03,1.969719058161034
2025-04-03,UVXY,604,603,955,30.31,eod,TRAIN,H1,2025-03-31,28.45,26.85,1.5999999999999979,28.45,0.0111379246333768,1.1481937971041407,0.014306202895860518,1.0746059375000012,2025-04-03,1.1481937971041407
2025-04-04,AMZZ,685,684,742,20.86,stop,TRAIN,H1,2025-03-31,21.54,20.89,0.6499999999999986,21.54,0.0225616921269093,-1.0939102955798623,0.04775644942601441,-1.1659058461538483,2025-04-04,-1.0939102955798623
2025-04-04,AS,671,670,955,23.61,eod,TRAIN,H1,2025-03-31,24.6381,22.65,1.9881000000000029,24.6381,0.1119298245614034,-0.5782804912033618,0.061153586118104335,-0.5618853689452242,2025-04-04,-0.5782804912033618
2025-04-04,CELH,663,662,955,35.51,eod,TRAIN,H1,2025-03-31,36.04,34.6783,1.361699999999999,36.04,0.0706079027355625,-0.4515810404168055,0.06236168226155729,-0.4849517514871129,2025-04-04,-0.4515810404168055
2025-04-04,DECK,663,662,955,106.24,eod,TRAIN,H1,2025-03-31,101.31,95.4801,5.829900000000009,101.31,0.3041823056300255,0.7863441387279302,0.05929643829740218,0.7858660868968568,2025-04-04,0.7863441387279302
2025-04-04,FIVE,682,681,955,56.64,eod,TRAIN,H1,2025-03-31,60.89,55.92,4.969999999999999,60.89,0.1767164179104486,-0.8954169854950602,0.04028620078681059,-0.896982434607646,2025-04-04,-0.8954169854950602
2025-04-04,GME,678,677,895,23.490000000000002,target,TRAIN,H1,2025-03-31,22.25,21.63,0.620000000000001,22.25,0.0325114155251137,1.932807394314333,0.06719260568566715,1.8696887096774195,2025-04-04,1.932807394314333
2025-04-04,LULU,665,664,955,263.4303,eod,TRAIN,H1,2025-03-31,255.68,234.84,20.840000000000003,255.68,0.6450111856823314,0.3359628960805014,0.035932497393585956,0.32973932533589156,2025-04-04,0.3359628960805014
2025-04-04,NKE,662,661,955,57.43,eod,TRAIN,H1,2025-03-31,56.49,53.18,3.3100000000000023,56.49,0.026753449622494,0.2690219185430523,0.014965996864801804,0.22539314199395688,2025-04-04,0.2690219185430523
2025-04-04,NVD,616,615,955,44.02,eod,TRAIN,H1,2025-03-31,43.63,41.79,1.8400000000000034,43.63,0.048403764886669,0.17612295386594073,0.0358335678731896,0.09501418478260883,2025-04-04,0.17612295386594073
2025-04-04,NVDS,616,615,955,35.34,eod,TRAIN,H1,2025-03-31,35.1,33.86,1.240000000000002,35.1,0.0302718446601945,0.15777431882242515,0.03577406827435035,0.05395887096774346,2025-04-04,0.15777431882242515
2025-04-04,ONON,662,661,955,39.77,eod,TRAIN,H1,2025-03-31,41.14,36.5,4.640000000000001,41.14,0.0493005181347152,-0.30937123235661906,0.01411261166696448,-0.32729586206896494,2025-04-04,-0.30937123235661906
2025-04-04,SQQQ,646,645,661,47.42,stop,TRAIN,H1,2025-03-31,48.435,47.42,1.0150000000000006,48.435,0.0100941858358995,-1.028832695404827,0.02883269540482708,-1.2350557142857141,2025-04-04,-1.028832695404827
2025-04-04,TSDD,627,626,650,65.19,target,TRAIN,H1,2025-03-31,62.01,60.42,1.5899999999999963,62.01,0.1538209982788294,1.887257233786904,0.1127427662131005,1.831120000000004,2025-04-04,1.887257233786904
2025-04-04,TSLQ,627,626,650,51.91999999999999,target,TRAIN,H1,2025-03-31,49.3,47.99,1.3099999999999952,49.3,0.0255085312813649,1.9650744036020114,0.034925596397988604,1.8140664122137398,2025-04-04,1.9650744036020114
2025-04-04,SOXS,627,626,648,46.459999999999994,target,TRAIN,H1,2025-03-31,44.66,43.76,0.8999999999999986,44.66,0.0139510786478683,1.9642499126134796,0.035750087386520385,1.754962444444444,2025-04-04,1.9642499126134796
2025-04-04,YANG,635,634,662,49.55,stop,TRAIN,H1,2025-03-31,51.08,49.55,1.5300000000000011,51.08,0.0250900163666122,-1.0295529518736026,0.029552951873602726,-1.144025882352941,2025-04-04,-1.0295529518736026
2025-04-04,SPXU,635,634,663,31.31,stop,TRAIN,H1,2025-03-31,31.91,31.31,0.6000000000000014,31.91,0.0100803072625693,-1.0378738454376155,0.03787384543761541,-1.2619938333333327,2025-04-04,-1.0378738454376155
2025-04-04,FNGD,648,647,661,23.32,stop,TRAIN,H1,2025-03-31,23.98,23.32,0.6600000000000001,23.98,0.0190465965213656,-1.04319181291116,0.04319181291115999,-1.1789233333333333,2025-04-04,-1.04319181291116
2025-04-04,SDOW,647,646,661,63.17,stop,TRAIN,H1,2025-03-31,64.27,63.17,1.0999999999999943,64.27,0.0175226695683709,-1.0391006086985193,0.0391006086985192,-1.2522058181818194,2025-04-04,-1.0391006086985193
2025-04-07,AA,611,610,636,24.2005,stop,TRAIN,H1,2025-04-07,25.1,24.2005,0.8994999999999997,25.1,0.0872461273666094,-1.1079557836204663,0.10795578362046629,-1.1373686492495831,2025-04-07,-1.1079557836204663
2025-04-07,BABX,612,611,623,23.72,stop,TRAIN,H1,2025-04-07,25.08,23.72,1.3599999999999994,25.08,0.0764538514920193,-1.063392537861779,0.06339253786177892,-1.090715,2025-04-07,-1.063392537861779
2025-04-07,BP,613,612,628,27.12,stop,TRAIN,H1,2025-04-07,27.855,27.12,0.7349999999999994,27.855,0.027344537815126,-1.0521626364831647,0.052162636483164666,-1.1866369387755102,2025-04-07,-1.0521626364831647
2025-04-07,COST,612,611,955,907.31,eod,TRAIN,H1,2025-04-07,910.92,884.92,26.0,910.92,3.0794687499999958,-0.2712736442307696,0.1324274903846152,-0.2901712461538467,2025-04-07,-0.2712736442307696
2025-04-07,CVX,612,611,629,139.57,stop,TRAIN,H1,2025-04-07,142.82,139.57,3.25,142.82,0.1913066202090597,-1.0762414216027876,0.0762414216027876,-1.1896407384615384,2025-04-07,-1.0762414216027876
2025-04-07,DVN,611,610,638,28.28,stop,TRAIN,H1,2025-04-07,29.0,28.28,0.7199999999999989,29.0,0.0453430353430352,-1.0788875490875491,0.07888754908754902,-1.1983694444444448,2025-04-07,-1.0788875490875491
2025-04-07,FCX,611,610,630,29.27,stop,TRAIN,H1,2025-04-07,30.18,29.27,0.9100000000000001,30.18,0.0231835686777917,-1.0385423831624085,0.03854238316240846,-1.1633026373626374,2025-04-07,-1.0385423831624085
2025-04-07,GM,611,610,636,42.33,stop,TRAIN,H1,2025-04-07,43.375,42.33,1.0450000000000017,43.375,0.071559679037112,-1.084881032571399,0.0848810325713989,-1.2044303827751193,2025-04-07,-1.084881032571399
2025-04-07,GOOGL,606,605,617,152.46999999999994,target,TRAIN,H1,2025-04-07,145.67,142.27,3.3999999999999773,145.67,0.0533489383046315,1.9667714887339316,0.03322851126606831,1.8145134117647046,2025-04-07,1.9667714887339316
2025-04-07,HAL,612,611,674,19.5101,stop,TRAIN,H1,2025-04-07,20.22,19.5101,0.7098999999999975,20.22,0.0247623485554522,-1.046074614108258,0.046074614108257944,-1.140220622622905,2025-04-07,-1.046074614108258
2025-04-07,IBM,611,610,675,219.44,stop,TRAIN,H1,2025-04-07,223.82,219.44,4.3799999999999955,223.82,0.4791545893719812,-1.129636207619174,0.1296362076191739,-1.22055397260274,2025-04-07,-1.129636207619174
2025-04-07,INTC,612,611,629,19.185,stop,TRAIN,H1,2025-04-07,19.93,19.185,0.745000000000001,19.93,0.0104879736978716,-1.0245784881850626,0.024578488185062516,-1.0875455033557047,2025-04-07,-1.0245784881850626
2025-04-07,MO,616,615,955,55.8,eod,TRAIN,H1,2025-04-07,55.505,54.28,1.2250000000000014,55.505,0.0499315403422982,0.18188364053689482,0.05893268599371275,0.04502808163264857,2025-04-07,0.18188364053689482
2025-04-07,MS,611,610,955,100.41,eod,TRAIN,H1,2025-04-07,99.13,96.37,2.759999999999991,99.13,0.2162540716612384,0.3709557711372341,0.09281234480479683,0.308515362318842,2025-04-07,0.3709557711372341
2025-04-07,EWG,611,610,674,33.5,stop,TRAIN,H1,2025-04-07,34.09,33.5,0.5900000000000034,34.09,0.0269523099850967,-1.0685937457374517,0.06859374573745164,-1.2846537288135575,2025-04-07,-1.0685937457374517
2025-04-07,NVO,611,610,641,62.57705,stop,TRAIN,H1,2025-04-07,63.53,62.57705,0.9529500000000013,63.53,0.064910418049105,-1.0945819067622697,0.09458190676226967,-1.2877999999999996,2025-04-07,-1.0945819067622697
2025-04-07,ONON,612,611,955,40.71,eod,TRAIN,H1,2025-04-07,39.14,37.19,1.9500000000000028,39.14,0.0432845188284519,0.7747412723956648,0.03038693273253939,0.70601323076923,2025-04-07,0.7747412723956648
