strategy,day,sym,fill_m,fill_et,fill,stop_pct,slip_bps,exit,hold_min,pnl,R,gap_pct,pdr_pct,open_to_fill_pct,mfe_R,mfe_min,mae_R,close_R,hi_after_exit_R,stopbar_close_above_stop,recover_above_fill_60m,vol_break_vs_prior5,or5_range_pct,spy_open_to_fill,spy_open_to_1030,spy_open_to_close
orb,2026-06-29,BKSY,575.0,09:35,27.14643,3.78,-31.0,stop_loss,39.0,-490.0,-0.87,5.8,8.0,3.6,0.22,1.0,1.01,1.2,1.38,True,True,0.5,3.9,0.22,0.02,0.59
orb,2026-06-30,MSTZ,575.0,09:35,16.19,4.45,-25.0,stop_loss,43.0,-611.0,-0.95,14.7,40.1,2.7,0.37,21.0,1.04,-0.89,0.57,True,True,0.7,4.6,0.1,0.48,0.68
orb,2026-06-30,CAST,607.0,10:07,6.33,3.63,0.0,lock_stop,335.0,158.0,0.32,10.9,25.0,1.9,3.52,115.0,-0.13,1.57,1.87,True,True,6.9,3.4,0.33,0.48,0.68
orb,2026-07-01,PLTU,576.0,09:36,27.8,5.04,-25.0,tag_bb,60.0,470.0,0.64,5.9,7.2,4.1,0.95,40.0,0.09,0.91,1.7,,,1.4,5.3,-0.3,0.19,0.1
orb,2026-07-01,TALO,576.0,09:36,13.888701,1.72,-1.0,stop_loss,50.0,-201.0,-1.03,6.5,6.0,1.0,1.18,9.0,1.34,-1.71,-1.04,False,False,1.8,1.5,-0.3,0.19,0.1
orb,2026-07-01,SSG,575.0,09:35,12.3,2.11,-16.0,stop_loss,13.0,-247.0,-0.98,6.2,7.3,2.0,0.13,3.0,1.12,0.5,0.5,False,True,0.5,2.0,-0.32,0.19,0.1
orb,2026-07-01,TECS,575.0,09:35,6.61,2.27,-15.0,stop_loss,13.0,-255.0,-0.95,5.5,9.3,1.7,0.07,3.0,1.07,0.13,0.27,False,True,0.8,2.1,-0.32,0.19,0.1
orb,2026-07-02,ETHT,580.0,09:40,8.74,3.66,0.0,force_close,365.0,-154.0,-0.31,7.9,7.7,3.3,0.37,32.0,0.73,-0.31,-0.17,,,0.9,3.4,0.2,0.14,-0.35
orb,2026-07-02,SHNY,575.0,09:35,8.64,1.62,0.0,stop_loss,175.0,-195.0,-1.1,5.4,5.8,1.4,0.41,16.0,1.07,-0.64,-0.32,False,False,1.7,1.3,0.16,0.14,-0.35
orb,2026-07-02,SVM,575.0,09:35,10.72,2.43,-28.0,stop_loss,34.0,-270.0,-0.89,5.3,7.2,1.2,0.5,9.0,1.12,-1.73,-0.81,False,False,0.8,2.5,0.16,0.14,-0.35
orb,2026-07-02,CMBT,577.0,09:37,14.85,0.81,-20.0,stop_loss,101.0,-87.0,-0.74,5.1,2.1,0.6,1.08,49.0,1.0,-2.42,-0.62,True,False,1.5,0.7,0.21,0.14,-0.35
orb,2026-07-07,BEZ,576.0,09:36,12.53,5.11,0.0,stop_loss,5.0,-98.0,-1.04,5.8,27.8,5.4,0.03,1.0,1.41,1.09,1.95,False,True,0.9,5.0,-0.08,-0.46,-0.34
orb,2026-07-07,IREZ,589.0,09:49,8.8,4.09,-34.0,lock_stop,151.0,35.0,0.43,7.1,23.6,2.7,2.51,53.0,-0.03,1.86,1.89,True,True,1.2,4.3,-0.09,-0.46,-0.34
orb,2026-07-08,PLTZ,575.0,09:35,28.99,3.66,0.0,stop_loss,318.0,-497.0,-0.99,7.1,12.2,1.9,0.57,19.0,1.0,-1.45,-0.69,True,False,1.0,3.5,0.03,-0.0,0.29
orb,2026-07-09,PLTZ,619.0,10:19,30.19,3.58,0.0,tag_bb,2.0,87.0,0.18,6.6,8.1,3.2,0.21,2.0,0.1,-1.33,0.27,,,1.1,3.4,-0.14,0.06,0.58
orb,2026-07-09,AAOX,577.0,09:37,20.69,5.03,0.0,tag_bb,2.0,449.0,0.43,9.4,14.0,4.3,0.69,2.0,-0.21,-0.06,1.55,,,0.8,5.0,0.08,0.06,0.58
orb,2026-07-10,CRCA,575.0,09:35,16.38,6.78,0.0,stop_loss,6.0,-193.0,-1.02,25.7,10.1,3.0,0.25,2.0,1.62,-2.17,-1.14,False,False,1.6,6.9,0.08,0.11,0.38
orb,2026-07-13,SKYQ,609.0,10:09,3.78,2.65,0.0,lock_stop,1.0,40.0,0.2,16.8,15.2,1.6,0.5,1.0,0.3,2.01,3.4,True,True,5.0,2.4,0.05,0.07,-0.45
orb,2026-07-14,IONL,578.0,09:38,14.9289,4.28,-7.0,stop_loss,27.0,-170.0,-1.04,6.0,20.6,0.5,0.25,3.0,1.27,-1.09,-0.62,False,False,3.6,4.3,0.04,-0.03,0.13
orb,2026-07-14,RKLX,575.0,09:35,26.69,3.67,-41.0,force_close,369.0,-67.0,-0.44,5.8,12.1,3.0,1.54,25.0,0.99,-0.88,-0.38,,,0.9,3.9,-0.17,-0.03,0.13
orb,2026-07-14,RGTX,577.0,09:37,12.04,2.66,0.0,stop_loss,28.0,-106.0,-1.08,6.1,15.4,0.4,0.91,4.0,1.09,1.16,1.64,True,True,1.4,2.4,-0.04,-0.03,0.13
orb,2026-07-15,SKHZ,623.0,10:23,11.905,2.81,-38.0,force_close,321.0,6.0,0.05,5.2,24.0,2.6,1.63,105.0,0.76,-0.04,0.34,,,4.0,3.0,-0.02,0.05,0.07
orb,2026-07-16,CRCD,580.0,09:40,6.69,7.47,0.0,tag_bb,1.0,-78.0,-0.1,5.1,12.5,5.4,-0.06,1.0,0.1,0.55,0.66,,,0.8,7.8,-0.11,0.2,-0.26
orb,2026-07-16,BEZ,583.0,09:43,18.55,5.28,-16.0,tag_bb,1.0,-99.0,-0.17,10.9,21.9,3.2,0.05,1.0,0.24,2.26,2.49,,,5.8,5.4,-0.15,0.2,-0.26
orb,2026-07-16,SKHZ,581.0,09:41,12.7094,2.04,-32.0,force_close,364.0,437.0,1.78,6.4,10.5,0.6,2.66,246.0,0.42,3.05,3.32,,,0.8,2.1,-0.19,0.2,-0.26
bull_flag,2026-07-16,RBNE,640.0,10:40,4.767481,1.73,-26.0,stop_loss_market_fallback,10.0,-553.0,-2.05,-1.1,30.8,-8.5,-0.33,1.0,2.64,-8.1,-1.67,False,False,0.1,9.4,0.16,0.2,-0.26
orb,2026-07-17,CORD,575.0,09:35,9.97,4.61,0.0,stop_loss,27.0,-361.0,-1.05,6.2,8.6,3.4,0.39,10.0,1.07,-2.13,-0.76,False,False,2.6,4.5,-0.16,0.59,0.16
orb,2026-07-20,SNDU,575.0,09:35,23.85,6.25,0.0,tag_bb,2.0,-69.0,-0.15,8.4,28.4,4.9,0.0,1.0,0.37,-1.18,0.19,,,1.0,6.3,0.11,-0.16,-0.66
orb,2026-07-20,MUU,575.0,09:35,30.3,3.86,-13.0,tag_bb,2.0,5.0,0.02,8.7,26.7,2.3,0.13,1.0,0.26,-1.68,0.23,,,0.9,3.8,0.11,-0.16,-0.66
orb,2026-07-21,MUU,577.0,09:37,33.04,3.06,0.0,stop_loss,27.0,-225.0,-0.98,13.6,9.5,2.7,0.32,2.0,1.01,2.03,2.87,True,True,1.4,2.8,-0.11,0.09,0.27
orb,2026-07-21,AIBZ,582.0,09:42,6.83951,3.06,-15.0,force_close,362.0,219.0,0.91,6.8,11.4,1.3,2.2,157.0,-0.0,1.24,1.57,,,3.0,3.0,-0.24,0.09,0.27
orb,2026-07-21,CRWU,584.0,09:44,3.38,4.44,0.0,force_close,360.0,361.0,1.08,6.0,17.1,3.0,2.2,201.0,0.47,1.8,1.8,,,0.9,4.3,-0.24,0.09,0.27
orb,2026-07-27,CWVX,575.0,09:35,13.36,3.89,-22.0,stop_loss,22.0,-313.0,-1.02,5.2,25.6,0.1,0.57,1.0,1.07,-2.04,-0.94,True,False,1.8,4.0,0.08,-0.9,-0.79
orb,2026-07-27,RGTX,611.0,10:11,11.06,7.5,0.0,stop_loss,32.0,-569.0,-1.01,12.5,11.1,5.8,0.35,4.0,1.01,0.1,0.14,True,False,1.1,7.8,-0.54,-0.9,-0.79
orb,2026-07-30,SMCX,584.0,09:44,6.9,2.75,-29.0,lock_stop,34.0,87.0,0.39,8.6,20.4,1.6,2.32,18.0,-0.39,1.63,2.74,True,True,1.1,2.8,0.05,0.35,0.77
orb,2026-07-31,BIYA,592.0,09:52,4.1,6.83,0.0,stop_loss,55.0,-512.0,-0.99,5.8,54.8,7.3,1.35,13.0,1.07,-2.64,-0.58,False,False,4.3,7.1,-0.36,-0.58,0.29
bull_flag,2026-07-31,BEZ,595.0,09:55,12.3085,3.64,147.0,stop_loss,2.0,-685.0,-1.51,-20.9,95.4,23.1,-0.38,1.0,0.93,1.21,1.21,True,True,1.0,13.5,-0.33,-0.58,0.29
bull_flag,2026-07-31,IREZ,613.0,10:13,17.18,2.68,17.0,stop_loss,6.0,-271.0,-1.08,-13.5,105.0,30.6,0.15,3.0,1.7,-1.99,0.98,False,False,0.6,12.5,-0.86,-0.58,0.29
bull_flag,2026-07-31,CWVX,625.0,10:25,12.036722,2.01,6.0,stop_loss,61.0,-306.0,-1.13,9.0,21.7,-13.2,1.38,40.0,1.19,-0.03,1.5,True,False,0.7,6.0,-0.68,-0.58,0.29
orb,2026-08-03,BIOA,576.0,09:36,9.733182,4.45,-7.0,tag_bb,1.0,-87.0,-0.26,5.1,25.0,2.1,-0.15,1.0,0.48,2.44,2.83,,,1.9,4.4,0.3,0.67,1.1
bull_flag,2026-08-03,CWVX,594.0,09:54,14.175,2.86,140.0,trail_stop,4.0,314.0,2.79,-2.3,25.5,21.2,1.94,2.0,-0.53,6.09,6.48,True,True,1.1,5.1,0.44,0.67,1.1
bull_flag,2026-08-06,CION,586.0,09:46,7.17,2.79,0.0,force_close,358.0,95.0,0.55,7.5,2.8,7.0,1.6,200.0,0.31,0.55,0.55,,,2.4,6.9,0.11,0.04,-0.22
bull_flag,2026-08-06,BEZ,646.0,10:46,8.89,1.35,12.0,trail_stop,2.0,221.0,1.56,10.0,18.3,-16.4,2.2,1.0,-0.5,10.62,11.24,True,True,1.5,6.9,-0.06,0.04,-0.22
bull_flag,2026-08-07,BEZ,637.0,10:37,11.4647,1.78,74.0,stop_loss,10.0,-117.0,-1.55,-10.2,27.3,26.4,0.3,3.0,1.1,-2.19,0.66,True,True,0.1,9.7,0.18,0.22,0.28
orb,2026-08-11,IREG,576.0,09:36,8.12,2.83,-73.0,stop_loss,56.0,-201.0,-0.76,7.4,14.2,0.4,1.04,34.0,1.0,-0.91,0.0,True,False,0.9,3.4,-0.17,-0.13,-0.53
orb,2026-08-11,IREX,577.0,09:37,14.506957,3.56,-2.0,stop_loss,56.0,-272.0,-1.01,6.9,14.2,1.7,0.62,33.0,1.02,-0.92,-0.17,True,False,2.0,3.4,-0.16,-0.13,-0.53
orb,2026-08-12,UMAC,576.0,09:36,27.55989,5.59,-0.0,tag_bb,2.0,-139.0,-0.33,5.1,12.1,1.0,-0.1,1.0,0.43,-0.34,0.58,,,0.8,5.6,-0.17,-0.25,-0.28
bull_flag,2026-08-13,LUNL,585.0,09:45,5.42,5.86,198.0,thin_liquidity_reject,0.0,-29.0,-0.23,-30.7,12.7,45.7,,,,0.98,1.16,,,1.4,31.7,0.17,0.53,0.38
bull_flag,2026-08-18,TJGC,623.0,10:23,4.99,4.84,88.0,stop_loss_bracket_sl_race,11.0,-242.0,-1.47,-2.7,8.5,27.9,0.66,8.0,2.03,-2.11,-1.08,False,False,1.2,2.6,-0.02,0.04,-0.17
bull_flag,2026-08-19,PFSA,606.0,10:06,14.695,2.08,86.0,stop_loss,6.0,-388.0,-1.72,-42.0,230.1,-7.8,0.26,3.0,2.11,-5.34,-0.8,False,False,1.3,9.8,-0.08,-0.05,-0.17
orb,2026-08-25,SMCX,575.0,09:35,11.9167,3.32,-28.0,force_close,370.0,164.0,0.99,5.5,16.7,4.4,2.51,315.0,0.12,2.34,2.39,,,1.0,4.9,0.04,-0.24,-0.04
orb,2026-08-27,IREG,579.0,09:39,8.1298,2.83,-25.0,force_close,366.0,-51.0,-0.49,5.1,11.5,1.6,0.87,69.0,0.89,-0.65,-0.43,,,3.4,2.9,-0.04,0.09,0.34
