fam,split_name,bucket,period,days,trades,dayR_mean,sumR,tradeR_mean,green_days
F6,iwm_vs_sma5,iwm_vs_sma5<=0,TEST,34,203,-1.097,-37.3,-0.1838,35.3
F6,iwm_vs_sma5,iwm_vs_sma5>0,TEST,34,216,-1.333,-45.3,-0.2098,35.3
F6,iwm_vs_sma20,iwm_vs_sma20<=0,TRAIN,77,423,-0.277,-21.3,-0.0504,45.5
F6,iwm_vs_sma20,iwm_vs_sma20>0,TRAIN,155,818,-0.76,-117.8,-0.1441,36.1
F6,iwm_vs_sma20,iwm_vs_sma20<=0,VAL,34,200,-0.817,-27.8,-0.1389,38.2
F6,iwm_vs_sma20,iwm_vs_sma20>0,VAL,68,407,-0.233,-15.9,-0.039,45.6
F6,iwm_vs_sma20,iwm_vs_sma20<=0,TEST,29,172,-0.528,-15.3,-0.0891,44.8
F6,iwm_vs_sma20,iwm_vs_sma20>0,TEST,39,247,-1.726,-67.3,-0.2725,28.2
F6,spy_vol20,T1(low),TRAIN,84,437,-0.346,-29.0,-0.0665,44.0
F6,spy_vol20,T2,TRAIN,70,390,-0.936,-65.5,-0.1681,28.6
F6,spy_vol20,T3(high),TRAIN,95,515,-0.708,-67.3,-0.1307,42.1
F6,spy_vol20,T1(low),VAL,41,252,-0.645,-26.4,-0.1049,41.5
F6,spy_vol20,T2,VAL,39,221,-0.648,-25.3,-0.1144,35.9
F6,spy_vol20,T3(high),VAL,22,134,0.366,8.1,0.0601,59.1
F6,spy_vol20,T1(low),TEST,15,96,-1.866,-28.0,-0.2916,26.7
F6,spy_vol20,T2,TEST,30,180,-0.988,-29.6,-0.1647,40.0
F6,spy_vol20,T3(high),TEST,23,143,-1.086,-25.0,-0.1747,34.8
F6,spy_gap,T1(low),TRAIN,77,437,-0.963,-74.2,-0.1697,37.7
F6,spy_gap,T2,TRAIN,90,471,-0.69,-62.1,-0.1318,35.6
F6,spy_gap,T3(high),TRAIN,82,434,-0.313,-25.6,-0.059,43.9
F6,spy_gap,T1(low),VAL,39,254,-0.956,-37.3,-0.1468,41.0
F6,spy_gap,T2,VAL,33,192,-0.469,-15.5,-0.0806,36.4
F6,spy_gap,T3(high),VAL,30,161,0.304,9.1,0.0566,53.3
F6,spy_gap,T1(low),TEST,24,156,-2.199,-52.8,-0.3384,20.8
F6,spy_gap,T2,TEST,16,101,-2.245,-35.9,-0.3556,18.8
F6,spy_gap,T3(high),TEST,28,162,0.217,6.1,0.0375,57.1
F6,iwm_gap,T1(low),TRAIN,80,454,-1.131,-90.4,-0.1992,35.0
F6,iwm_gap,T2,TRAIN,88,461,-0.471,-41.4,-0.0898,42.0
F6,iwm_gap,T3(high),TRAIN,81,427,-0.371,-30.0,-0.0703,39.5
F6,iwm_gap,T1(low),VAL,39,254,-1.173,-45.7,-0.1801,38.5
F6,iwm_gap,T2,VAL,28,167,0.043,1.2,0.0073,42.9
F6,iwm_gap,T3(high),VAL,35,186,0.025,0.9,0.0047,48.6
F6,iwm_gap,T1(low),TEST,21,139,-2.353,-49.4,-0.3554,19.0
F6,iwm_gap,T2,TEST,23,142,-1.1,-25.3,-0.1781,34.8
F6,iwm_gap,T3(high),TEST,24,138,-0.33,-7.9,-0.0574,50.0
F6,regime,A,TRAIN,177,937,-0.575,-101.7,-0.1085,37.3
F6,regime,B,TRAIN,28,158,-0.571,-16.0,-0.1012,46.4
F6,regime,C1,TRAIN,28,147,-0.902,-25.3,-0.1718,42.9
F6,regime,C2,TRAIN,16,100,-1.183,-18.9,-0.1893,37.5
F6,regime,A,VAL,66,397,-0.43,-28.4,-0.0715,42.4
F6,regime,C1,VAL,29,175,-0.691,-20.0,-0.1145,44.8
F6,regime,C2,VAL,7,35,0.679,4.8,0.1358,42.9
F6,regime,A,TEST,59,363,-1.276,-75.3,-0.2074,35.6
F6,regime,C1,TEST,1,5,2.331,2.3,0.4662,100.0
F6,regime,C2,TEST,8,51,-1.209,-9.7,-0.1897,25.0
F6,dow,0,TRAIN,48,261,-1.003,-48.1,-0.1844,37.5
F6,dow,1,TRAIN,52,283,-0.688,-35.8,-0.1264,38.5
F6,dow,2,TRAIN,52,281,-0.372,-19.3,-0.0687,42.3
F6,dow,3,TRAIN,47,249,-0.801,-37.6,-0.1511,31.9
F6,dow,4,TRAIN,50,268,-0.42,-21.0,-0.0784,44.0
F6,dow,0,VAL,18,116,0.438,7.9,0.068,61.1
F6,dow,1,VAL,21,125,-0.676,-14.2,-0.1136,23.8
F6,dow,2,VAL,21,107,-0.479,-10.1,-0.094,33.3
F6,dow,3,VAL,21,128,-0.061,-1.3,-0.01,57.1
F6,dow,4,VAL,21,131,-1.238,-26.0,-0.1984,42.9
F6,dow,0,TEST,14,83,-1.243,-17.4,-0.2096,35.7
F6,dow,1,TEST,14,85,-1.711,-23.9,-0.2818,21.4
F6,dow,2,TEST,14,94,-1.707,-23.9,-0.2542,35.7
F6,dow,3,TEST,14,87,-0.812,-11.4,-0.1307,50.0
F6,dow,4,TEST,12,70,-0.5,-6.0,-0.0857,33.3
F6,iwm_o945 (entries>=09:45),T1(low),TRAIN,75,243,-0.386,-29.0,-0.1191,38.7
F6,iwm_o945 (entries>=09:45),T2,TRAIN,82,255,-0.158,-12.9,-0.0507,37.8
F6,iwm_o945 (entries>=09:45),T3(high),TRAIN,79,230,-0.276,-21.8,-0.0946,38.0
F6,iwm_o945 (entries>=09:45),T1(low),VAL,37,120,-0.326,-12.1,-0.1004,51.4
F6,iwm_o945 (entries>=09:45),T2,VAL,27,71,-0.805,-21.7,-0.3062,25.9
F6,iwm_o945 (entries>=09:45),T3(high),VAL,31,96,-0.199,-6.2,-0.0643,29.0
F6,iwm_o945 (entries>=09:45),T1(low),TEST,18,51,-0.394,-7.1,-0.1392,55.6
F6,iwm_o945 (entries>=09:45),T2,TEST,21,59,-0.456,-9.6,-0.1624,33.3
F6,iwm_o945 (entries>=09:45),T3(high),TEST,20,50,-0.097,-1.9,-0.0389,45.0
F6,iwm_o1000 (entries>=10:00),T1(low),TRAIN,69,176,-0.295,-20.3,-0.1155,36.2
F6,iwm_o1000 (entries>=10:00),T2,TRAIN,80,184,-0.111,-8.9,-0.0484,41.2
F6,iwm_o1000 (entries>=10:00),T3(high),TRAIN,64,135,-0.165,-10.5,-0.0781,34.4
F6,iwm_o1000 (entries>=10:00),T1(low),VAL,33,78,-0.281,-9.3,-0.1189,42.4
F6,iwm_o1000 (entries>=10:00),T2,VAL,19,47,-0.271,-5.2,-0.1097,36.8
F6,iwm_o1000 (entries>=10:00),T3(high),VAL,34,72,-0.149,-5.0,-0.0701,38.2
F6,iwm_o1000 (entries>=10:00),T1(low),TEST,16,34,-0.288,-4.6,-0.1354,43.8
F6,iwm_o1000 (entries>=10:00),T2,TEST,19,37,-0.39,-7.4,-0.2005,36.8
F6,iwm_o1000 (entries>=10:00),T3(high),TEST,20,36,0.099,2.0,0.0551,40.0
F6,iwm_o945 sign (entries>=09:45),iwm_o945<=0,TRAIN,118,378,-0.33,-39.0,-0.1031,38.1
F6,iwm_o945 sign (entries>=09:45),iwm_o945>0,TRAIN,118,350,-0.209,-24.7,-0.0705,38.1
F6,iwm_o945 sign (entries>=09:45),iwm_o945<=0,VAL,52,161,-0.62,-32.2,-0.2002,40.4
F6,iwm_o945 sign (entries>=09:45),iwm_o945>0,VAL,43,126,-0.18,-7.7,-0.0614,32.6
F6,iwm_o945 sign (entries>=09:45),iwm_o945<=0,TEST,31,89,-0.425,-13.2,-0.1479,45.2
F6,iwm_o945 sign (entries>=09:45),iwm_o945>0,TEST,28,71,-0.195,-5.5,-0.0769,42.9
