day,next_day,symbol,close,pb,ab,sp_1555,sp_0930,sp_0931,rt_pct,open_cross_pct,err
2025-10-09,2025-10-10,NAZ,12.0,5-20,<1M,0.019999999999999574,2.680666666666667,0.19000000000000128,0.8750000000000036,22.338888888888896,
2026-01-08,2026-01-09,NSRX,7.099999904632568,5-20,<1M,0.40000000000000036,1.863333333333334,1.8000000000000007,15.492957954580797,26.244131807911103,
2025-09-16,2025-09-17,CEW,19.010499954223633,5-20,<1M,0.030000000000001137,0.04200000000000017,0.030000000000001137,0.15780752779905677,0.220930538918672,
2025-11-28,2025-12-01,EXOZ,15.869999885559082,5-20,<1M,,0.9019999999999989,,,5.683679940166694,
2025-10-17,2025-10-20,RVSB,5.059999942779541,5-20,<1M,0.032500000000000195,0.205,,,4.051383445024114,
2025-10-02,2025-10-03,FIRY,7.929999828338623,5-20,<1M,0.05066666666666712,0.07250000000000023,0.04999999999999982,0.634720484525894,0.9142497045323312,
2025-01-07,2025-01-08,LSAK,5.269999980926514,5-20,<1M,,0.43666666666666654,0.20999999999999996,,8.28589503315134,
2025-12-15,2025-12-16,CVKD,12.289999961853027,5-20,<1M,0.08999999999999986,0.2681818181818179,0.5700000000000003,2.6851098537370888,2.182114068464023,
2025-04-21,2025-04-22,VTVT,19.670000076293945,5-20,<1M,0.6766666666666659,4.649999999999999,3.6099999999999994,10.896458185155032,23.64006091491644,
2025-03-31,2025-04-01,ECF,9.079999923706055,5-20,<1M,0.009999999999999787,0.24761904761904732,0.07000000000000028,0.4405286380627391,2.727082045150284,
2025-08-05,2025-08-06,MRNO,6.949999809265137,5-20,<1M,0.39000000000000057,0.6900000000000004,,,9.92805782642112,
2025-06-05,2025-06-06,EHI,6.369999885559082,5-20,<1M,0.020000000000000462,0.11400000000000006,0.04999999999999982,0.5494505593217647,1.789638964648027,
2025-07-23,2025-07-24,BSL,14.279999732971191,5-20,<1M,0.03428571428571355,0.20888888888888937,0.120000000000001,0.5402160965363437,1.462807372514051,
2025-12-05,2025-12-08,GEMG,6.479899883270264,5-20,<1M,0.06749999999999998,0.194,0.1839999999999998,1.940616402495043,2.993873416175258,
