symbol,date,split,entry_price_book,pnl,pnl_pct,range_high,range_low,R,entry_bid,entry_ask,mid0,spread0,passive,new_entry,cost_new,terr,qerr
KWM,2025-07-11,TRAIN,4.945792999999999,-1510.09828896378,-3.020376505561671,4.931,4.7,0.23099999999999987,4.81,4.95,4.88,0.1400000000000005,True,4.88,0.0,,
LIMN,2025-07-24,TRAIN,7.823399999999999,1099.2302706000053,2.198489147940804,7.8,7.44,0.35999999999999943,7.77,7.81,7.789999999999999,0.04,True,7.789999999999999,0.0,,
NCNA,2025-08-21,TRAIN,3.37008,2368.706766719999,4.7375550082026745,3.36,3.2512,0.10880000000000001,3.35,3.37,3.3600000000000003,0.02,True,3.3600000000000003,0.0,,
ASST,2025-08-26,TRAIN,5.26575,-1427.3444374553558,-2.8547861517488324,5.25,4.92,0.33000000000000007,5.24,5.26,5.25,0.0199999999999995,True,5.25,0.0,,
CRWU,2025-09-09,TRAIN,14.575896899999998,-172.9985669999977,-0.3460294782957702,14.5323,13.74,0.7922999999999991,14.52,14.62,14.57,0.0999999999999996,True,14.57,0.0,,
CRWG,2025-09-09,TRAIN,7.897421399999999,-349.29076649998973,-0.6986014447702941,7.8738,7.4,0.4737999999999998,7.87,7.88,7.875,0.0099999999999997,True,7.875,0.0,,
CWVX,2025-09-09,TRAIN,11.955759999999998,-199.39775999999145,-0.398803589232286,11.92,11.2,0.7200000000000006,11.89,11.93,11.91,0.0399999999999991,True,11.91,0.0,,
OPAD,2025-09-11,TRAIN,4.20257,960.2357797100126,1.9205493305287256,4.19,4.02,0.17000000000000082,4.18,4.2,4.1899999999999995,0.0200000000000004,True,4.1899999999999995,0.0,,
ZONE,2025-09-12,TRAIN,4.55362,-418.7772000000031,-0.8375753795881142,4.54,4.41,0.1299999999999999,4.5,4.55,4.525,0.0499999999999998,True,4.525,0.0,,
CCUP,2025-09-15,TRAIN,15.546499999999998,-396.3356591999941,-0.7927102563277789,15.5,14.88,0.6199999999999992,15.46,15.51,15.485,0.0499999999999989,True,15.485,0.0,,
CRCG,2025-09-15,TRAIN,9.317869999999996,-467.4322599999763,-0.934870308342954,9.29,8.9,0.3899999999999988,9.28,9.3,9.29,0.0200000000000013,True,9.29,0.0,,
CRCA,2025-09-15,TRAIN,14.794249999999998,-604.4355199999923,-1.2091184074893808,14.75,14.115,0.6349999999999998,14.74,14.76,14.75,0.0199999999999995,True,14.75,0.0,,
CCUP,2025-09-18,TRAIN,16.7211133,-232.54216700000143,-0.4651203457846343,16.6711,16.14,0.5310999999999986,16.67,16.71,16.69,0.0399999999999991,True,16.69,0.0,,
CRCG,2025-09-18,TRAIN,10.03,-249.20014999999657,-0.498404785643064,10.0,9.6475,0.35249999999999915,10.0,10.01,10.004999999999999,0.0099999999999997,True,10.004999999999999,0.0,,
ANGX,2025-09-22,TRAIN,6.7201,-1871.7180000000055,-3.743619886608841,6.7,6.475,0.22500000000000053,6.63,6.71,6.67,0.08,True,6.67,0.0,,
CRCA,2025-09-24,TRAIN,15.325839999999998,-1568.0433999999962,-3.136532809947115,15.28,14.86,0.41999999999999993,15.27,15.3,15.285,0.0300000000000011,True,15.285,0.0,,
CRCG,2025-09-24,TRAIN,9.71907,-1688.621908800002,-3.377588596439787,9.69,9.4002,0.2897999999999996,9.67,9.7,9.684999999999999,0.0299999999999993,True,9.684999999999999,0.0,,
ZURA,2025-09-30,TRAIN,3.3699797,13020.799611260198,26.04315200420629,3.3599,3.13,0.22990000000000022,3.34,3.36,3.3499999999999996,0.02,False,3.4,0.020000000000000018,,
RZLV,2025-10-02,TRAIN,5.58671,-88.52708760000021,-0.1770702255889427,5.57,5.37,0.20000000000000018,5.57,5.58,5.575,0.0099999999999997,True,5.575,0.0,,
CCUP,2025-10-02,TRAIN,15.976185199999998,8336.055471514808,16.675618328901052,15.9284,15.47,0.45839999999999925,15.85,15.92,15.885,0.0700000000000002,True,15.885,0.0,,
CRCG,2025-10-02,TRAIN,9.59871,8416.11826707,16.832344129850146,9.57,9.27,0.3000000000000007,9.57,9.58,9.575,0.0099999999999997,True,9.575,0.0,,
CRCA,2025-10-02,TRAIN,15.1453,8388.850672100001,16.77950168405369,15.1,14.66,0.4399999999999995,15.09,15.11,15.1,0.0199999999999995,True,15.1,0.0,,
BTQ,2025-10-03,TRAIN,6.97085,-218.01015280000013,-0.4360644684651085,6.95,6.75,0.20000000000000018,6.95,6.99,6.970000000000001,0.04,True,6.970000000000001,0.0,,
RGTZ,2025-10-16,TRAIN,9.59871,8196.353351970005,16.39281149006962,9.57,9.0901,0.47990000000000066,9.53,9.57,9.55,0.0400000000000009,True,9.55,0.0,,
BTQ,2025-10-16,TRAIN,12.076119999999998,1583.6695631999953,3.167647224439629,12.04,11.25,0.7899999999999991,12.02,12.05,12.035,0.0300000000000011,True,12.035,0.0,,
NEUP,2025-10-28,TRAIN,4.87458,503.3255549400066,1.0066799601196543,4.86,4.752,0.10800000000000054,4.85,4.94,4.895,0.0900000000000007,True,4.895,0.0,,
BW,2025-11-06,TRAIN,5.185509999999999,-1124.0754069771372,-2.248209833059528,5.17,4.83,0.33999999999999986,5.14,5.18,5.16,0.04,True,5.16,0.0,,
CRWU,2025-11-12,TRAIN,10.14033,-2071.3883069999997,-4.143453911263242,10.11,9.7299,0.38009999999999877,10.09,10.12,10.105,0.0299999999999993,True,10.105,0.0,,
CRWG,2025-11-12,TRAIN,5.466349999999999,-473.4884199999948,-0.947067055713583,5.45,5.24,0.20999999999999996,5.45,5.46,5.455,0.0099999999999997,True,5.455,0.0,,
CWVX,2025-11-12,TRAIN,8.344959999999999,-618.3311099999935,-1.236794424419038,8.32,8.0,0.3200000000000003,8.31,8.33,8.32,0.0199999999999995,True,8.32,0.0,,
DGNX,2025-11-17,TRAIN,12.035999999999998,4865.184354000009,9.730846687189294,12.0,11.64,0.35999999999999943,11.88,12.1,11.99,0.2199999999999988,True,11.99,0.0,,
NKLR,2025-11-20,TRAIN,5.195539999999999,2257.13387857999,4.514567396221375,5.18,5.02,0.16000000000000014,5.15,5.19,5.17,0.04,True,5.17,0.0,,
IRE,2025-11-20,TRAIN,12.577619999999998,-3296.785499999995,-6.59409331813172,12.54,11.76,0.7799999999999994,12.54,12.55,12.545,0.0100000000000015,False,12.66,0.01499999999999968,,
BMNG,2025-11-26,TRAIN,4.563649999999999,-1842.2503043999948,-3.684548552145751,4.55,4.3999,0.15010000000000012,4.56,4.58,4.57,0.0200000000000004,True,4.57,0.0,,
BMNU,2025-11-26,TRAIN,6.950789999999999,-2067.699779999989,-4.135645013012888,6.93,6.67,0.2599999999999998,6.91,6.94,6.925000000000001,0.0300000000000002,True,6.925000000000001,0.0,,
CRWU,2025-11-26,TRAIN,6.7201,-2429.1600000000017,-4.858558652401009,6.7,6.4,0.2999999999999998,6.69,6.73,6.710000000000001,0.04,True,6.710000000000001,0.0,,
BMNG,2025-11-28,TRAIN,5.63686,880.4197018000068,1.7608764453969188,5.62,5.41,0.20999999999999996,5.63,5.64,5.635,0.0099999999999997,True,5.635,0.0,,
CCUP,2025-11-28,TRAIN,4.232659999999999,5878.535274159997,11.75796887595487,4.22,4.07,0.14999999999999947,4.22,4.23,4.225,0.0100000000000006,True,4.225,0.0,,
RIOX,2025-11-28,TRAIN,19.0769597,793.9925465859995,1.5885685930342446,19.0199,18.375,0.6448999999999998,18.96,19.02,18.990000000000002,0.0599999999999987,True,18.990000000000002,0.0,,
BMNU,2025-12-02,TRAIN,7.003347199999999,-1714.1966908000018,-3.4286062527358387,6.9824,6.77,0.2124000000000006,6.98,6.99,6.985,0.0099999999999997,True,6.985,0.0,,
CCUP,2025-12-02,TRAIN,4.55362,-1405.989,-2.81204843618923,4.54,4.39,0.15000000000000036,4.54,4.55,4.545,0.0099999999999997,True,4.545,0.0,,
CRCA,2025-12-02,TRAIN,4.26275,-1312.5337449999913,-2.62518327370827,4.25,4.1,0.15000000000000036,4.25,4.26,4.255,0.0099999999999997,True,4.255,0.0,,
CMCT,2025-12-03,TRAIN,4.00197,2009.2320987900064,4.018736570666079,3.99,3.88,0.11000000000000032,3.97,4.0,3.9850000000000003,0.0299999999999998,True,3.9850000000000003,0.0,,
LGHL,2025-12-05,TRAIN,4.9147,-2231.9561999999937,-4.46415854477383,4.9,4.7,0.20000000000000018,4.83,4.93,4.88,0.0999999999999996,False,4.93,0.054999999999999716,,
CAPR,2025-12-05,TRAIN,28.084,-1619.9037485714343,-3.24048670315585,28.0,26.24,1.7600000000000016,27.95,28.0,27.975,0.0500000000000007,True,27.975,0.0,,
CCUP,2025-12-16,TRAIN,4.4323573,4009.4771280000064,8.019436970931936,4.4191,4.24,0.17910000000000004,4.41,4.42,4.415,0.0099999999999997,False,4.47,0.004999999999999893,,
CRCA,2025-12-16,TRAIN,4.132359999999999,4248.58804800001,8.497613954253765,4.12,3.955,0.16500000000000004,4.12,4.13,4.125,0.0099999999999997,True,4.125,0.0,,
BMNU,2025-12-19,TRAIN,6.017999999999999,2415.0109800000137,4.830259222333029,6.0,5.77,0.23000000000000043,6.0,6.01,6.005,0.0099999999999997,False,6.08,0.004999999999999893,,
FJET,2025-12-24,TRAIN,14.543499999999998,-3083.538919999992,-6.168803933028486,14.5,13.66,0.8399999999999999,14.45,14.52,14.485,0.0700000000000002,False,14.99,0.025000000000000355,,
FLYE,2025-12-30,TRAIN,6.810369999999999,-639.4010999999899,-1.2789319816691112,6.79,6.54,0.25,6.7,6.85,6.775,0.1499999999999994,True,6.775,0.0,,
AXTI,2025-12-30,TRAIN,16.3489,-1054.7653600000058,-2.109744386472496,16.3,15.2,1.1000000000000014,16.29,16.3,16.295,0.0100000000000015,False,16.66,0.08999999999999986,,
DFLI,2026-01-06,VAL,4.37308,578.1887613599936,1.156437110686277,4.36,4.25,0.11000000000000032,4.35,4.39,4.369999999999999,0.04,True,4.369999999999999,0.0,,
MLTX,2026-01-09,VAL,16.32884,-638.6609368000057,-1.2773497688752042,16.28,15.0,1.2800000000000011,16.24,16.25,16.244999999999997,0.0100000000000015,True,16.244999999999997,0.0,,
NBIG,2026-01-15,VAL,9.879549999999998,-1318.7353296071417,-2.6379706601732127,9.85,9.56,0.28999999999999915,9.78,9.97,9.875,0.1900000000000012,True,9.875,0.0,,
RGTU,2026-01-22,VAL,18.1764663,-493.5735749999975,-0.9874378057741569,18.1221,17.51,0.6120999999999981,18.11,18.16,18.134999999999998,0.0500000000000007,True,18.134999999999998,0.0,,
RGTX,2026-01-22,VAL,14.563559999999995,-1982.7634799999817,-3.9657885846592102,14.52,14.0,0.5199999999999996,14.51,14.53,14.52,0.0199999999999995,True,14.52,0.0,,
BNAI,2026-01-23,VAL,10.89258,18820.30414752,37.6429103848675,10.86,10.4043,0.4557000000000002,10.82,10.87,10.844999999999999,0.0499999999999989,True,10.844999999999999,0.0,,
NBIG,2026-01-26,VAL,8.804033099999998,-1968.4214691945456,-3.9369922311108656,8.7777,8.3,0.4776999999999987,8.77,8.81,8.79,0.0400000000000009,True,8.79,0.0,,
NBIL,2026-01-26,VAL,12.41714,-1975.7915599007133,-3.95226246312988,12.38,11.61,0.7700000000000014,12.38,12.4,12.39,0.0199999999999995,True,12.39,0.0,,
CRWU,2026-01-27,VAL,10.130299999999998,-889.583099999985,-1.7794142325498454,10.1,9.71,0.3899999999999988,10.1,10.12,10.11,0.0199999999999995,True,10.11,0.0,,
CRWG,2026-01-27,VAL,5.466349999999999,-1021.6996599999876,-2.043593988676149,5.45,5.23,0.21999999999999975,5.45,5.46,5.455,0.0099999999999997,True,5.455,0.0,,
NBIG,2026-01-27,VAL,8.124299999999998,2136.791880000012,4.273845131272872,8.1,7.72,0.3799999999999999,8.09,8.11,8.1,0.0199999999999995,False,8.17,0.019999999999999574,,
ANL,2026-02-04,VAL,10.42117,-271.2463649999993,-0.5425974242815332,10.39,10.0,0.39000000000000057,10.34,10.41,10.375,0.0700000000000002,True,10.375,0.0,,
CWVX,2026-02-06,VAL,24.19236,10078.133930640004,20.163762425284297,24.12,23.11,1.0100000000000016,24.11,24.15,24.13,0.0399999999999991,True,24.13,0.0,,
MSTU,2026-02-13,VAL,4.97488,-1768.636184999997,-3.537446129353869,4.96,4.8037,0.15629999999999988,4.96,4.97,4.965,0.0099999999999997,True,4.965,0.0,,
MST,2026-02-13,VAL,3.45032,-1502.2819700000025,-3.004648844165183,3.44,3.35,0.08999999999999986,3.44,3.45,3.4450000000000003,0.0100000000000002,False,3.47,0.010000000000000009,,
EVMN,2026-02-13,VAL,31.338735,-1515.0614271375048,-3.031015044161811,31.245,29.1,2.1449999999999996,30.91,31.25,31.08,0.3399999999999998,True,31.08,0.0,,
RGTU,2026-02-13,VAL,6.369049999999999,-278.5957149999928,-0.5572243898226437,6.35,6.01,0.33999999999999986,6.36,6.4,6.380000000000001,0.04,True,6.380000000000001,0.0,,
SPAI,2026-02-23,VAL,4.0931427,-179.86831799999993,-0.3597529106424752,4.0809,3.89,0.19089999999999963,4.04,4.1,4.07,0.0599999999999996,True,4.07,0.0,,
BNAI,2026-02-24,VAL,21.47423,11150.10737187001,22.303780029742317,21.41,20.72,0.6900000000000013,21.21,21.5,21.355,0.2899999999999991,True,21.355,0.0,,
MST,2026-02-25,VAL,3.5104999999999995,2720.087602000008,5.440551581358414,3.5,3.42,0.08000000000000007,3.49,3.51,3.5,0.0199999999999995,False,3.51,0.009999999999999787,,
ANTX,2026-03-09,VAL,3.09927,24238.755909959997,48.48000985908399,3.09,2.97,0.11999999999999966,3.08,3.1,3.09,0.02,True,3.09,0.0,,
IRE,2026-03-11,VAL,4.803166399999999,4180.500052400007,8.361642436539379,4.7888,4.575,0.2138,4.78,4.79,4.785,0.0099999999999997,True,4.785,0.0,,
