day,symbol,entry_m
2025-02-20,GDXU,578
2025-02-20,GNK,593
2025-02-20,HAS,579
2025-02-20,JNUG,581
2025-02-20,NBIS,577
2025-02-20,PLTD,600
2025-02-20,QMCO,698
2025-02-20,SMCL,581
2025-02-20,TPC,578
2025-02-20,U,631
2025-02-20,YINN,592
2025-02-21,AIFF,579
2025-02-21,BILI,608
2025-02-21,DOYU,580
2025-02-21,EH,581
2025-02-21,ENVX,581
2025-02-21,FUFU,579
2025-02-21,GRRR,584
2025-02-21,INOD,578
2025-02-21,LTBR,587
2025-02-21,MRNA,772
2025-02-21,OLED,600
2025-02-21,REBN,580
2025-02-21,RGTI,587
2025-02-21,SEI,581
2025-02-21,U,594
2025-02-21,UNH,578
2025-02-21,UNIT,585
2025-02-21,VKTX,746
2025-02-24,OSCR,689
2025-02-24,PLTU,577
2025-02-24,PTIR,577
2025-02-24,RIGL,583
2025-02-24,RILYZ,688
2025-02-24,SEDG,614
2025-02-24,SMCX,586
2025-02-24,YANG,604
2025-02-25,AS,577
2025-02-25,DFH,598
2025-02-25,DOMH,719
2025-02-25,GSHD,580
2025-02-25,HIMS,579
2025-02-25,IART,577
2025-02-25,MYGN,586
2025-02-25,NAIL,580
2025-02-25,PLOW,579
2025-02-25,ROBN,577
2025-02-25,SARK,595
2025-02-25,STN,586
2025-02-25,TEM,577
2025-02-25,TSDD,585
2025-02-25,TSLQ,585
2025-02-26,AAOI,579
2025-02-26,AS,599
2025-02-26,ASTE,579
2025-02-26,BSY,579
2025-02-26,COCO,683
2025-02-26,GRRR,578
2025-02-26,HIMS,577
2025-02-26,HOOD,595
2025-02-26,HURN,577
2025-02-26,INOD,580
2025-02-26,LMND,593
2025-02-26,LNTH,577
2025-02-26,MGPI,577
2025-02-26,MP,579
2025-02-26,MSTX,580
2025-02-26,NRG,594
2025-02-26,NVDG,673
2025-02-26,OPCH,579
2025-02-26,PLAB,579
2025-02-26,PRCT,579
2025-02-26,ROBN,582
2025-02-26,SRE,617
2025-02-26,VRSK,577
2025-02-26,XPEL,588
2025-02-27,ALT,577
2025-02-27,CADL,577
2025-02-27,CPRX,577
2025-02-27,CYD,577
2025-02-27,DORM,593
2025-02-27,DQ,577
2025-02-27,EE,578
2025-02-27,GLNG,577
2025-02-27,GRRR,578
2025-02-27,HEI,581
2025-02-27,HEI.A,577
2025-02-27,LTBR,577
2025-02-27,NVD,578
2025-02-27,NVDS,581
2025-02-27,PRVA,586
2025-02-27,ROOT,668
2025-02-27,SG,622
2025-02-27,SJM,578
2025-02-27,SRPT,585
2025-02-27,TSDD,599
2025-02-27,TSLQ,599
2025-02-27,VSEC,626
2025-02-27,VTOL,649
2025-02-28,ALKT,592
2025-02-28,CARS,577
2025-02-28,CHH,588
2025-02-28,GRRR,578
2025-02-28,HIMS,577
2025-02-28,LUNR,577
2025-02-28,NTAP,585
2025-02-28,NVDX,615
2025-02-28,PAR,580
2025-02-28,PLTU,587
2025-02-28,PLTY,630
2025-02-28,RDNT,657
2025-02-28,RIOX,589
2025-02-28,RXRX,577
2025-02-28,SIG,584
2025-02-28,SMCX,578
2025-03-03,ALDX,578
2025-03-03,APGE,577
2025-03-03,BERZ,598
2025-03-03,BITI,600
2025-03-03,DAVE,579
2025-03-03,FTRE,581
2025-03-03,KGEI,595
2025-03-03,KINS,699
