day,symbol,m,px,pb,cb,sp_mean,n_q
2025-01-13,SMST,583,6.22,a,mid,0.011414141414141498,2475
2025-03-24,WVE,581,9.6475,a,mid,0.0635714285714281,28
2025-02-03,IREN,577,9.535179285714284,a,mid,0.012339449541284627,1308
2025-12-31,PRCH,577,9.06117857142857,a,mid,0.05654545454545415,55
2026-01-13,BDSX,576,8.01222142857143,a,mid,0.14151515151515145,33
2026-04-15,PD,588,6.072696428571429,a,mid,0.017663551401868993,214
2025-07-23,LILAK,759,6.993571428571429,a,mid,0.010074626865671434,268
2025-06-12,PEB,577,9.382173571428572,a,mid,0.021578947368420996,114
2025-07-23,BMBL,576,7.995572857142856,a,mid,0.022975206611570008,363
2025-05-23,FIP,582,5.382072857142857,a,mid,0.029545454545454684,88
2025-02-07,WULF,577,5.451285714285714,a,mid,0.010032894736841979,912
2025-04-10,VYX,710,7.992249999999999,a,mid,0.010149253731343066,335
2025-01-15,COGT,581,7.933620714285714,a,mid,0.05025477707006358,157
2025-06-04,TRVI,596,6.251385714285714,a,mid,0.021268656716417866,134
2025-05-16,JBI,755,8.817107142857143,a,mid,0.009999999999999787,39
2026-05-29,PD,578,8.869457142857144,a,mid,0.0390376569037657,239
2026-02-26,AI,722,8.161482142857142,a,mid,0.009999999999999787,472
2026-01-12,EOLS,581,5.591092857142857,a,mid,0.015285714285714454,70
2026-01-07,ELAB,583,5.317922142857143,a,mid,0.16391304347826097,23
2025-01-02,HMY,576,8.471428571428572,a,mid,0.01176724137931071,928
2025-01-08,MSTU,576,9.97666,a,mid,0.01638401559454189,2052
2025-01-28,SBIT,581,9.47135642857143,a,mid,0.010132176786451967,2421
2025-01-14,RGTI,646,6.815575714285714,a,mid,0.01023710265763416,3838
2026-02-26,HCTI,576,8.252652857142857,a,mid,0.0909546539379473,419
2025-06-25,BMBL,578,6.551714285714287,a,mid,0.010455136540962279,1538
2025-07-17,ARHS,594,8.29207,a,mid,0.014558823529412682,68
2025-01-10,JOBY,576,8.947964285714287,a,mid,0.018341880341880338,1170
2025-02-11,COGT,579,8.506231428571429,a,mid,0.1327619047619048,105
2025-09-26,STLA,602,9.190774285714284,a,mid,0.009999999999999787,523
2025-02-26,PHAT,635,5.953106428571428,a,mid,0.03445783132530124,166
2025-11-12,SHO,577,9.67,a,mid,0.02216867469879471,83
2025-11-07,FIGS,578,8.61573357142857,a,mid,0.07240853658536556,328
2025-11-20,OLOX,578,7.007347142857143,a,mid,0.031013189448441232,1668
2025-04-10,SNDX,619,9.759285714285712,a,mid,0.04016666666666714,60
