day,symbol,rvol,rk,side,prev_close,atr14,adv20,status,entry,R,stop,exit,exit_m,reason,gross_r,range_pct
2026-01-06,XRPT,6.546756822236416,16,short,7.74,0.5805142857142859,2159293.25,ok,8.23,0.02999999999999936,8.26,8.22,579.0,lock,0.3333333333333333,
2025-05-12,XRT,11.192173722135024,8,long,70.38,1.5177642857142806,6310581.35,ok,75.1,1.1599999999999966,73.94,73.94,625.0,stop,-1.0,
2025-07-22,XRT,13.048289415254958,3,long,80.39,1.3685642857142821,4668236.3,ok,82.25,0.4549999999999983,81.795,81.795,587.0,stop,-1.0,
2025-08-28,XRT,7.38654959090002,18,long,86.09,1.438214285714287,5474293.1,ok,86.76,0.2400000000000091,86.52,86.52,580.0,stop,-1.0,
2025-10-13,XRT,7.800144020522925,9,long,80.93,1.4078571428571434,4702003.65,ok,82.62,0.8200000000000074,81.8,83.67,955.0,time,1.2804878048780337,
2026-04-01,XRT,7.147098240659686,15,long,80.47,1.7199999999999978,6414059.55,ok,80.92,0.4200000000000017,80.5,80.5,620.0,stop,-1.0,
2026-04-17,XRT,7.803501331852836,15,long,84.5,1.6575,5325354.55,ok,86.57,1.0999999999999943,85.47,86.9664,955.0,time,0.3603636363636381,
2025-02-25,XRX,5.907544550025877,20,short,7.77,0.3069642857142857,2817059.0,ok,7.61,0.1761999999999997,7.7862,7.51,955.0,time,0.5675368898978473,
2025-12-10,XXI,8.195530401762863,11,short,11.42,2.3292500000000005,1064882.05,ok,11.975,0.5350000000000001,12.51,11.8919,955.0,time,0.15532710280373818,
2025-12-23,XXI,4.254780904676903,13,short,10.48,1.8504999999999998,1977917.1,ok,10.1,0.4800000000000004,10.58,9.6,955.0,time,1.0416666666666659,
2025-01-14,XXII,6.4103171437119775,2,short,6.0,1.6241714285714284,4766762.1,ok,5.9499,0.3500999999999994,6.3,6.3,582.0,stop,-1.0,
2025-01-15,XXII,33.705272833625806,2,long,6.35,1.8584571428571428,4920223.1,ok,8.13,0.6300000000000008,7.5,7.5,582.0,stop,-1.0,
2025-01-16,XXII,1.693137042326183,9,short,7.72,2.0360214285714284,3203754.7,ok,7.3338,0.48609999999999953,7.8199,6.11,955.0,time,2.5175889734622525,
2026-04-17,XYL,9.10550532939222,10,long,125.21,3.1620285714285705,2160931.95,ok,122.5,1.9500000000000028,120.55,121.115,955.0,time,-0.7102564102564118,
2025-02-21,XYZ,9.763839628502193,12,short,83.04,2.904514285714286,5569012.5,ok,74.9546,1.5454000000000008,76.5,68.235,955.0,time,4.348129933997668,
2025-05-02,XYZ,30.069559710554252,1,short,58.48,2.2332357142857147,8137289.6,regsho,44.285,,,,,,,
2025-07-14,XYZ,4.958438413354782,15,long,65.14,2.055200000000004,6658301.05,ok,68.55,2.1499000000000024,66.4001,68.605,955.0,time,0.025582585236525773,
2025-07-21,XYZ,14.71516479782699,5,short,72.82,2.521714285714289,7262519.75,ok,77.9914,1.1085999999999956,79.1,79.1,589.0,stop,-1.0,
2026-02-27,XYZ,10.095103516214754,12,long,54.53,2.6550642857142854,9651654.15,ok,65.6,3.6099999999999923,61.99,61.99,679.0,stop,-1.0,
2025-05-20,YALA,8.890819114387341,10,long,7.82,0.42691428571428597,1750805.3,ok,6.428,0.548,5.88,7.445,955.0,time,1.8558394160583946,
2025-06-13,YALA,6.343943312243492,17,short,6.73,0.3098357142857144,1024269.65,ok,6.35,0.13000000000000078,6.48,6.21,955.0,time,1.076923076923068,
2026-05-26,YANG,6.844586070476415,11,short,29.79,1.3539285714285714,1135598.95,ok,29.38,0.20630000000000237,29.5863,29.5863,592.0,stop,-1.0,
2025-12-01,YELP,4.4385879520400096,20,short,28.91,0.7730857142857145,1110186.95,ok,28.575,0.18500000000000227,28.76,28.76,777.0,stop,-1.0,
2026-02-17,YELP,9.791260320474095,7,short,20.98,1.1239285714285703,1509444.85,ok,19.99,0.8000000000000007,20.79,20.79,882.0,stop,-1.0,
2025-02-13,YETI,14.37852725666476,6,short,37.91,1.3296357142857127,1623405.0,ok,37.455,3.135000000000005,40.59,37.58,955.0,time,-0.03987240829346086,
