day,symbol,hour,entry_m,entry,gate5,is_sig,sig_day,rr_bare,why_bare,exitm_bare
2025-01-08,BETR,12,781,9.21,False,True,True,-1.048999999999999,stop,785
2025-01-08,BETR,13,841,9.2,False,True,True,-0.14945652173913024,eod,955
2025-01-08,BETR,14,901,9.25,False,True,True,-1.1840000000000046,stop,903
2025-01-08,BNED,9,600,10.0761,False,False,True,-1.0489999999999988,stop,890
2025-01-08,BNED,10,660,10.03,False,False,True,-1.0958125623130555,stop,891
2025-01-08,BNED,11,722,10.1,False,False,True,-1.0489999999999988,stop,885
2025-01-08,BNED,12,780,10.09,False,False,True,-1.0490000000000033,stop,890
2025-01-08,BNED,13,840,10.065,False,False,True,-1.049000000000002,stop,890
2025-01-08,BNED,14,900,9.67,False,True,True,0.956566701137539,eod,955
2025-01-08,CDRO,10,665,6.2854,False,False,True,-0.04295669328920859,eod,959
2025-01-08,CDRO,11,720,6.3,False,False,True,-1.080714285714282,stop,852
2025-01-08,CDRO,14,904,6.33,False,False,True,-1.0758293838862547,stop,943
2025-01-08,CEPU,9,600,15.1482,False,False,True,-1.0489999999999975,stop,940
2025-01-08,CEPU,10,660,15.6361,False,True,True,-1.048999999999999,stop,912
2025-01-08,CEPU,11,723,15.65,False,False,True,-1.049000000000002,stop,912
2025-01-08,CEPU,12,780,15.63,False,True,True,-1.0490000000000024,stop,912
2025-01-08,CEPU,13,842,15.679,False,False,True,-1.0490000000000006,stop,908
2025-01-08,CEPU,14,900,15.7499,False,False,True,-1.0490000000000026,stop,908
2025-01-08,COYA,11,721,6.091,False,False,True,0.07387949433590064,eod,956
2025-01-08,COYA,12,781,6.27,False,True,True,-1.0489999999999986,stop,875
2025-01-08,CRWL,11,724,26.06,False,False,True,-1.4873562931696056,stop,745
2025-01-08,CRWL,13,842,25.74,False,False,True,0.24281274281274232,eod,958
2025-01-08,CSTL,9,600,31.4,False,False,False,-1.0489999999999982,stop,627
2025-01-08,CSTL,10,662,31.46,False,False,False,1.8515575333757113,eod,955
2025-01-08,CSTL,11,720,31.39,False,False,False,1.9671870022300069,eod,955
2025-01-08,CSTL,12,780,31.57,False,False,False,1.6708900855242332,eod,955
2025-01-08,CSTL,13,841,31.64,False,False,False,1.556573957016435,eod,955
2025-01-08,CSTL,14,900,32.15,False,False,False,0.7387247278382596,eod,955
2025-01-08,DMAC,9,603,5.37,False,False,True,1.024208566108009,eod,955
