key,exit,window,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,note
"F8 {""N"": 30}",2r,>=10:00,VAL,463.0,21.0,0.015,0.0323,0.48,51.0,0.32,0.55,-6.2,463,21.0,-0.006,0.0324,-0.17,49.0,-0.12,0.45,-6.8,0.132,0.026,0.842,464.0,21.1,-0.007,0.0323,-0.21,48.9,-0.14,0.45,-6.8,
"F8 {""N"": 30}",2r,>=10:30,TRAIN,1114.0,21.0,0.025,0.0219,1.14,46.1,0.53,0.57,-7.1,1114,21.0,0.005,0.022,0.24,45.1,0.11,0.45,-7.6,0.134,0.044,0.822,1114.0,21.0,0.005,0.022,0.24,45.1,0.11,0.45,-7.6,
"F8 {""N"": 30}",2r,>=10:30,VAL,453.0,20.6,0.011,0.0322,0.35,47.0,0.23,0.59,-4.6,453,20.6,-0.01,0.0323,-0.31,46.1,-0.2,0.41,-5.0,0.119,0.022,0.859,452.0,20.5,-0.011,0.0323,-0.35,45.8,-0.23,0.45,-5.0,
"F8 {""N"": 30}",2r,09:30-10:00,TRAIN,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,under 40 candidates
"F8 {""N"": 30}",2r,09:30-10:00,VAL,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,under 40 candidates
"F8 {""N"": 5}",hold,ALL,TRAIN,1427.0,26.9,-0.002,0.0339,-0.07,41.1,-0.06,0.51,-17.3,1427,26.9,-0.034,0.0341,-1.0,40.4,-0.92,0.49,-18.6,0.362,0.0,0.638,1409.0,26.6,-0.024,0.0332,-0.72,41.3,-0.63,0.51,-16.4,
"F8 {""N"": 5}",hold,ALL,VAL,600.0,27.3,0.06,0.058,1.03,43.3,1.63,0.55,-10.5,600,27.3,0.025,0.0582,0.44,42.5,0.69,0.5,-11.7,0.363,0.0,0.637,587.0,26.7,0.026,0.0577,0.46,42.9,0.71,0.55,-14.8,
"F8 {""N"": 5}",hold,>=10:00,TRAIN,1366.0,25.8,0.006,0.0435,0.13,40.6,0.14,0.49,-12.3,1366,25.8,-0.028,0.0436,-0.64,39.8,-0.72,0.47,-13.5,0.35,0.0,0.65,1310.0,24.7,-0.01,0.04,-0.25,41.2,-0.25,0.45,-13.1,
"F8 {""N"": 5}",hold,>=10:00,VAL,533.0,24.2,0.125,0.0582,2.14,46.3,3.02,0.55,-6.5,533,24.2,0.091,0.0584,1.57,46.0,2.22,0.55,-7.7,0.304,0.0,0.696,515.0,23.4,0.108,0.0523,2.06,47.8,2.52,0.64,-4.4,
"F8 {""N"": 5}",hold,>=10:30,TRAIN,1280.0,24.2,-0.068,0.0349,-1.95,39.7,-1.64,0.42,-19.3,1280,24.2,-0.103,0.0352,-2.92,38.9,-2.48,0.38,-20.6,0.34,0.0,0.66,1229.0,23.2,-0.082,0.0314,-2.61,40.2,-1.9,0.42,-18.5,
"F8 {""N"": 5}",hold,>=10:30,VAL,506.0,23.0,0.047,0.053,0.89,44.9,1.09,0.55,-8.8,506,23.0,0.013,0.0534,0.24,44.7,0.3,0.45,-9.9,0.285,0.0,0.715,488.0,22.2,0.029,0.0497,0.59,46.1,0.65,0.5,-9.0,
