key,exit,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,s4_n,s4_tpw,s4_meanR,s4_se,s4_t,s4_WR,s4_wkR,s4_green,s4_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,corrp_n,corrp_tpw,corrp_meanR,corrp_se,corrp_t,corrp_WR,corrp_wkR,corrp_green,corrp_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,gatep_n,gatep_tpw,gatep_meanR,gatep_se,gatep_t,gatep_WR,gatep_wkR,gatep_green,gatep_worst
"F5 {""K"": 5, ""X"": 0.06}",2r,TRAIN,2339,44.1,-0.071,0.0265,-2.66,36.8,-3.11,0.32,-25.7,2339,44.1,-0.467,0.0291,-16.02,33.7,-20.61,0.02,-45.8,2339,44.1,-0.143,0.0266,-5.36,36.4,-6.29,0.21,-28.7,2339,44.1,-0.128,0.0271,-4.73,36.4,-5.66,0.21,-28.3,0.54,0.223,0.237,2055,38.8,-0.102,0.0271,-3.78,37.7,-3.97,0.36,-26.9,2055,38.8,-0.094,0.0274,-3.42,37.7,-3.63,0.36,-26.7
"F5 {""K"": 5, ""X"": 0.06}",2r,VAL,956,43.5,-0.01,0.0419,-0.23,40.4,-0.41,0.45,-13.7,956,43.5,-0.379,0.0458,-8.26,36.8,-16.46,0.14,-35.8,956,43.5,-0.083,0.0419,-1.98,40.1,-3.61,0.32,-17.7,956,43.5,-0.067,0.0427,-1.57,40.1,-2.92,0.32,-17.2,0.507,0.218,0.275,834,37.9,-0.045,0.0426,-1.05,41.7,-1.7,0.41,-14.8,834,37.9,-0.036,0.0431,-0.83,41.7,-1.36,0.41,-14.6
"F5 {""K"": 5, ""X"": 0.06}",2r,TEST,616,44.0,-0.064,0.0508,-1.26,38.8,-2.82,0.36,-24.2,616,44.0,-0.438,0.0555,-7.89,34.7,-19.27,0.0,-40.4,616,44.0,-0.139,0.0509,-2.72,38.5,-6.09,0.29,-27.7,616,44.0,-0.124,0.0519,-2.39,38.5,-5.46,0.29,-27.3,0.529,0.206,0.265,515,36.8,-0.089,0.0529,-1.68,39.8,-3.26,0.36,-11.4,515,36.8,-0.08,0.0536,-1.5,39.8,-2.96,0.36,-11.2
"F5 {""K"": 8, ""X"": 0.02}",hold,TRAIN,2291,43.2,-0.037,0.0458,-0.81,27.6,-1.6,0.43,-43.5,2291,43.2,-0.708,0.0477,-14.84,24.6,-30.6,0.04,-83.8,2291,43.2,-0.156,0.0462,-3.38,27.2,-6.76,0.38,-50.7,2291,43.2,-0.156,0.0462,-3.38,27.2,-6.76,0.38,-50.7,0.682,0.0,0.318,1452,27.4,-0.035,0.0549,-0.64,32.6,-0.96,0.36,-20.9,1452,27.4,-0.035,0.0549,-0.64,32.6,-0.96,0.36,-20.9
"F5 {""K"": 8, ""X"": 0.02}",hold,VAL,921,41.9,-0.072,0.0651,-1.11,28.8,-3.01,0.45,-33.8,921,41.9,-0.69,0.068,-10.14,25.4,-28.87,0.09,-63.0,921,41.9,-0.201,0.0657,-3.06,28.3,-8.43,0.36,-41.1,921,41.9,-0.201,0.0657,-3.06,28.3,-8.43,0.36,-41.1,0.672,0.0,0.328,717,32.6,-0.06,0.0653,-0.91,33.2,-1.94,0.45,-22.6,717,32.6,-0.06,0.0653,-0.91,33.2,-1.94,0.45,-22.6
"F5 {""K"": 8, ""X"": 0.02}",hold,TEST,616,44.0,-0.153,0.0723,-2.12,28.2,-6.74,0.36,-25.1,616,44.0,-0.776,0.0765,-10.14,25.2,-34.13,0.0,-55.2,616,44.0,-0.28,0.0732,-3.82,27.9,-12.3,0.14,-31.9,616,44.0,-0.28,0.0732,-3.82,27.9,-12.3,0.14,-31.9,0.679,0.0,0.321,475,33.9,-0.283,0.0742,-3.82,27.8,-9.62,0.21,-27.5,475,33.9,-0.283,0.0742,-3.82,27.8,-9.62,0.21,-27.5
"F5 {""K"": 8, ""X"": 0.02}",2r,TRAIN,2806,52.9,-0.109,0.0258,-4.24,34.2,-5.79,0.34,-29.6,2806,52.9,-0.729,0.0294,-24.82,31.7,-38.6,0.02,-63.7,2806,52.9,-0.237,0.0259,-9.15,33.8,-12.53,0.13,-36.7,2806,52.9,-0.209,0.0267,-7.84,33.8,-11.07,0.15,-35.8,0.626,0.262,0.112,1651,31.2,-0.112,0.0331,-3.38,37.7,-3.49,0.26,-19.4,1651,31.2,-0.098,0.0337,-2.9,37.7,-3.04,0.26,-19.1
"F5 {""K"": 8, ""X"": 0.02}",2r,VAL,1154,52.5,-0.051,0.0409,-1.25,36.6,-2.67,0.45,-25.0,1154,52.5,-0.613,0.046,-13.33,34.0,-32.13,0.05,-55.7,1154,52.5,-0.188,0.041,-4.59,36.4,-9.87,0.18,-31.9,1154,52.5,-0.157,0.0423,-3.7,36.4,-8.22,0.23,-31.0,0.604,0.278,0.118,855,38.9,-0.101,0.0465,-2.17,37.4,-3.93,0.32,-23.2,855,38.9,-0.086,0.0473,-1.83,37.4,-3.36,0.32,-22.7
"F5 {""K"": 8, ""X"": 0.02}",2r,TEST,774,55.3,-0.137,0.0492,-2.78,33.1,-7.57,0.29,-28.7,774,55.3,-0.717,0.0559,-12.84,31.1,-39.66,0.0,-68.4,774,55.3,-0.271,0.0494,-5.49,32.6,-15.01,0.14,-35.7,774,55.3,-0.243,0.051,-4.77,32.6,-13.44,0.14,-34.8,0.632,0.26,0.109,558,39.9,-0.216,0.0556,-3.89,34.2,-8.62,0.07,-28.4,558,39.9,-0.203,0.0565,-3.59,34.2,-8.1,0.07,-27.9
"F5 {""K"": 8, ""X"": 0.04}",hold,TRAIN,1862,35.1,0.084,0.0479,1.75,35.9,2.95,0.47,-15.6,1862,35.1,-0.342,0.0492,-6.94,31.4,-12.0,0.15,-36.0,1862,35.1,0.011,0.0482,0.22,35.3,0.38,0.42,-19.1,1862,35.1,0.011,0.0482,0.22,35.3,0.38,0.42,-19.1,0.557,0.0,0.443,1773,33.5,-0.004,0.0449,-0.1,35.3,-0.15,0.51,-25.6,1773,33.5,-0.004,0.0449,-0.1,35.3,-0.15,0.51,-25.6
"F5 {""K"": 8, ""X"": 0.04}",hold,VAL,739,33.6,-0.006,0.0603,-0.1,36.1,-0.2,0.5,-23.1,739,33.6,-0.397,0.0626,-6.34,31.5,-13.33,0.18,-44.6,739,33.6,-0.079,0.0608,-1.3,35.0,-2.65,0.45,-27.3,739,33.6,-0.079,0.0608,-1.3,35.0,-2.65,0.45,-27.3,0.536,0.0,0.464,723,32.9,-0.105,0.0533,-1.97,35.7,-3.45,0.27,-23.7,723,32.9,-0.105,0.0533,-1.97,35.7,-3.45,0.27,-23.7
"F5 {""K"": 8, ""X"": 0.04}",hold,TEST,469,33.5,0.009,0.0712,0.12,37.5,0.3,0.5,-22.5,469,33.5,-0.387,0.075,-5.16,33.3,-12.97,0.29,-40.5,469,33.5,-0.065,0.0719,-0.91,36.7,-2.18,0.5,-26.2,469,33.5,-0.065,0.0719,-0.91,36.7,-2.18,0.5,-26.2,0.516,0.0,0.484,460,32.9,-0.006,0.0691,-0.09,39.8,-0.21,0.36,-21.3,460,32.9,-0.006,0.0691,-0.09,39.8,-0.21,0.36,-21.3
"F5 {""K"": 8, ""X"": 0.04}",2r,TRAIN,2350,44.3,-0.037,0.0265,-1.38,38.7,-1.62,0.42,-22.4,2350,44.3,-0.465,0.0293,-15.85,35.0,-20.6,0.02,-47.6,2350,44.3,-0.117,0.0266,-4.39,38.2,-5.18,0.23,-26.7,2350,44.3,-0.101,0.0271,-3.73,38.2,-4.49,0.23,-26.3,0.533,0.223,0.243,2194,41.4,-0.086,0.0271,-3.19,38.2,-3.57,0.3,-27.7,2194,41.4,-0.076,0.0274,-2.76,38.2,-3.13,0.32,-27.3
"F5 {""K"": 8, ""X"": 0.04}",2r,VAL,936,42.5,0.011,0.0416,0.27,41.0,0.49,0.64,-29.0,936,42.5,-0.379,0.0454,-8.34,36.8,-16.12,0.0,-50.9,936,42.5,-0.069,0.0417,-1.65,40.2,-2.94,0.55,-34.1,936,42.5,-0.053,0.0426,-1.24,40.2,-2.24,0.59,-33.9,0.501,0.221,0.278,879,40.0,-0.089,0.0424,-2.11,38.7,-3.57,0.36,-26.0,879,40.0,-0.079,0.0429,-1.84,38.7,-3.15,0.36,-25.6
"F5 {""K"": 8, ""X"": 0.04}",2r,TEST,619,44.2,0.013,0.0517,0.26,41.0,0.58,0.5,-21.6,619,44.2,-0.378,0.0567,-6.66,36.8,-16.7,0.21,-38.8,619,44.2,-0.07,0.0518,-1.34,40.4,-3.07,0.36,-25.2,619,44.2,-0.052,0.0528,-0.99,40.4,-2.31,0.36,-25.0,0.493,0.231,0.276,557,39.8,-0.042,0.053,-0.8,41.1,-1.69,0.43,-19.3,557,39.8,-0.032,0.0537,-0.6,41.1,-1.29,0.43,-19.2
"F5 {""K"": 8, ""X"": 0.06}",hold,TRAIN,1602,30.2,0.082,0.0492,1.68,39.1,2.49,0.55,-18.7,1602,30.2,-0.257,0.0504,-5.1,34.5,-7.76,0.25,-37.4,1602,30.2,0.028,0.0494,0.57,38.5,0.85,0.49,-21.0,1602,30.2,0.028,0.0494,0.57,38.5,0.85,0.49,-21.0,0.466,0.0,0.534,1500,28.3,0.109,0.0598,1.82,40.4,3.09,0.55,-21.3,1500,28.3,0.109,0.0598,1.82,40.4,3.09,0.55,-21.3
"F5 {""K"": 8, ""X"": 0.06}",hold,VAL,662,30.1,0.041,0.0671,0.61,38.8,1.23,0.5,-15.7,662,30.1,-0.275,0.0689,-3.99,33.7,-8.27,0.23,-33.0,662,30.1,-0.017,0.0674,-0.25,37.8,-0.51,0.5,-18.1,662,30.1,-0.017,0.0674,-0.25,37.8,-0.51,0.5,-18.1,0.468,0.0,0.532,639,29.0,-0.012,0.061,-0.2,39.9,-0.36,0.45,-16.5,639,29.0,-0.012,0.061,-0.2,39.9,-0.36,0.45,-16.5
"F5 {""K"": 8, ""X"": 0.06}",hold,TEST,425,30.4,0.015,0.0647,0.24,41.4,0.47,0.57,-15.1,425,30.4,-0.296,0.0677,-4.37,37.4,-8.99,0.21,-29.3,425,30.4,-0.038,0.0654,-0.58,40.0,-1.15,0.5,-17.4,425,30.4,-0.038,0.0654,-0.58,40.0,-1.15,0.5,-17.4,0.435,0.0,0.565,415,29.6,-0.017,0.0655,-0.25,41.4,-0.49,0.57,-23.1,415,29.6,-0.017,0.0655,-0.25,41.4,-0.49,0.57,-23.1
"F5 {""K"": 8, ""X"": 0.06}",2r,TRAIN,1941,36.6,0.0,0.0274,0.02,41.3,0.02,0.55,-18.6,1941,36.6,-0.347,0.03,-11.56,37.2,-12.7,0.06,-38.4,1941,36.6,-0.06,0.0275,-2.2,40.7,-2.21,0.4,-20.7,1941,36.6,-0.05,0.0279,-1.78,40.7,-1.82,0.4,-20.6,0.457,0.181,0.362,1769,33.4,-0.042,0.0277,-1.5,41.5,-1.39,0.45,-21.2,1769,33.4,-0.034,0.028,-1.23,41.5,-1.15,0.45,-21.0
