cell,split,weeks,picks,picks_per_wk,fills,green_wk_pct,flat_wk_pct,red_wk_pct,red_streak,worst_wk,green_mo_pct,worst_mo,mdd,pnl,totR,R_pick,R_pick_ex1,R_pick_ex5,wr_fills,t,top1_share,top5_share,top10_share,mde80_green_pp,label,dump
L_thr05,TRAIN,53,105,1.9811320754716981,84,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,91.66666666666666,-25.331767305424883,-527.5301845790186,6661.704093012963,49.289746849346045,0.46942616046996233,0.36930629843655216,0.21339731860745717,44.047619047619044,3.1950664823166197,13.030499333162998,47.36571642439596,84.27678001000281,26.36520743137772,composite threshold -> -0.5,asis
L_thr05,VAL,22,53,2.409090909090909,40,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,159.12033712478714,-489.1654050560701,6386.422373921438,44.47279888637708,0.8391094129505109,0.6206153154841201,0.2919267510223043,37.5,2.231507754624626,29.485183259451254,96.59349272809652,122.06310895709476,39.32182422339339,composite threshold -> -0.5,asis
L_thrall,TRAIN,53,105,1.9811320754716981,84,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,91.66666666666666,-25.331767305424883,-527.5301845790186,6661.704093012963,49.289746849346045,0.46942616046996233,0.36930629843655216,0.21339731860745717,44.047619047619044,3.1950664823166197,13.030499333162998,47.36571642439596,84.27678001000281,26.36520743137772,composite threshold OFF (all candidates rank),asis
L_thrall,VAL,22,53,2.409090909090909,40,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,159.12033712478714,-489.1654050560701,6386.422373921438,44.47279888637708,0.8391094129505109,0.6206153154841201,0.2919267510223043,37.5,2.231507754624626,29.485183259451254,96.59349272809652,122.06310895709476,39.32182422339339,composite threshold OFF (all candidates rank),asis
F0,TRAIN,53,105,1.9811320754716981,84,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,91.66666666666666,-25.331767305424883,-527.5301845790186,6661.704093012963,49.289746849346045,0.46942616046996233,0.36930629843655216,0.21339731860745717,44.047619047619044,3.1950664823166197,13.030499333162998,47.36571642439596,84.27678001000281,26.36520743137772,F0 = shipped B+,asis
F0,VAL,22,53,2.409090909090909,40,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,159.12033712478714,-489.1654050560701,6386.422373921438,44.47279888637708,0.8391094129505109,0.6206153154841201,0.2919267510223043,37.5,2.231507754624626,29.485183259451254,96.59349272809652,122.06310895709476,39.32182422339339,F0 = shipped B+,asis
F1,TRAIN,53,108,2.0377358490566038,86,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,83.33333333333334,-25.331767305424883,-600.9610949619787,6556.2274043133375,47.69909720974194,0.4416583074976106,0.3438481047109504,0.19152632257386418,43.02325581395349,3.0699791233415277,13.240134209595212,48.12773680871697,85.63262616077446,26.36520743137772,F1 = F0 - range-size,asis
F1,VAL,22,54,2.4545454545454546,41,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,93.65945867812061,-554.6262835027364,6320.96149547477,43.22386193487129,0.8004418876828017,0.5853407444088387,0.26171373724724356,36.58536585365854,2.157413148842992,29.79053648754898,97.59383023857491,123.3272138474636,39.32182422339339,F1 = F0 - range-size,asis
F2,TRAIN,53,120,2.2641509433962264,95,37.735849056603776,28.30188679245283,33.9622641509434,3,-496.4063701737846,75.0,-162.31517927959675,-691.8814661199967,5688.317642285648,40.83497926710166,0.34029149389251384,0.25071000980271585,0.11115409613941996,40.0,2.5574627926442703,15.260281897136638,55.470950607129396,98.6982453590618,26.36520743137772,"F2 = F0 - range-size, PDR 8.0",asis
F2,VAL,22,62,2.8181818181818183,47,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,33.35683762895404,-653.9761165170221,6023.838615963819,41.09636514921426,0.6628445991808751,0.4736977486559249,0.07529565880364276,34.04255319148936,2.029707461885828,31.259940060197707,102.40759795574816,129.41026806530274,39.32182422339339,"F2 = F0 - range-size, PDR 8.0",asis
F3,TRAIN,53,140,2.641509433962264,107,41.509433962264154,20.754716981132077,37.735849056603776,5,-418.3564857054276,83.33333333333334,-377.8042159065909,-672.2936654553114,5631.623414332178,41.267723248178385,0.29476945177270275,0.2175110517231681,0.07365716063059104,37.38317757009346,2.5581893388125927,15.413908984187355,56.029383315984305,99.69185242567666,26.801025508915895,F3 = F0 - range-size - G1,asis
F3,VAL,22,79,3.590909090909091,64,31.818181818181817,9.090909090909092,59.09090909090909,4,-288.3718352730147,80.0,-88.2207530584632,-740.642207969403,5978.065421486521,42.704911517926824,0.5405685002269218,0.3910783209836408,0.07967592772431796,32.8125,2.033522183872903,31.499292963660636,103.19171833026488,130.77612086640542,39.32182422339339,F3 = F0 - range-size - G1,asis
F4,TRAIN,53,491,9.264150943396226,353,41.509433962264154,1.8867924528301887,56.60377358490566,4,-542.5917957106652,50.0,-777.7046565281423,-1438.7845385319738,3615.7406129254805,25.360905527092385,0.05165153875171565,-0.0009913297285974179,-0.12908265156687973,24.07932011331445,1.1603455498205673,24.007621130626625,95.75522598820857,168.38931329334739,26.801025508915895,F4 = F0 - range-size - G1 - PDR,asis
F4,VAL,22,246,11.181818181818182,180,31.818181818181817,4.545454545454546,63.63636363636363,3,-496.36041209490406,80.0,-322.00356118122477,-884.770004804237,6296.215319302215,45.70602921087433,0.18579686671087126,0.0651422546321501,-0.09637056511838331,28.333333333333332,1.9466736597048944,29.90762299536516,97.97740576672345,127.42195194126766,39.32182422339339,F4 = F0 - range-size - G1 - PDR,asis
F5,TRAIN,53,1487,28.056603773584907,1048,41.509433962264154,0.0,58.490566037735846,8,-1011.170879498143,41.66666666666667,-2358.635765283419,-5237.095593598221,-2801.882595079,-83.01214219737008,-0.05582524693837934,-0.10967100649002229,-0.22217561035284417,24.52290076335878,-2.2525379480725354,,,,26.801025508915895,F5 = F4 - catalyst,asis
F5,VAL,22,697,31.681818181818183,519,54.54545454545455,0.0,45.45454545454545,3,-771.1596933505623,80.0,-529.8812970014569,-1700.2859513342391,5220.822660597683,37.422527643395924,0.05369085745107019,-0.024846412970191398,-0.16594214209047115,27.74566473988439,1.151059380185906,36.06803875728199,118.15893456593902,160.99767437265166,42.03679830482468,F5 = F4 - catalyst,asis
F6,TRAIN,53,1971,37.18867924528302,1293,35.84905660377358,0.0,64.15094339622641,8,-1273.5630736059998,41.66666666666667,-3000.2038484022746,-7842.30014061814,-3447.6109946986026,-91.19940496142544,-0.04627062656591854,-0.0977883640387799,-0.20451321865064034,23.665893271461716,-2.282357051823598,,,,26.084077612571903,F6 = CEILING (every gate off),asis
F6,VAL,22,816,37.09090909090909,595,59.09090909090909,0.0,40.90909090909091,3,-1035.048377460328,80.0,-894.909856734047,-1380.8694414831389,10833.863329255033,73.25722346184916,0.08977600914442299,-0.023719002760158533,-0.15710263197706834,27.39495798319328,1.5717631828606449,38.10504885226266,89.37511817319631,117.87423864963714,41.508012496715594,F6 = CEILING (every gate off),asis
