symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month
NNE,2024-10-16,17.25,0.0,0.0,no_fill,0,0,5.923753665689159,282689.0,2.1348965641535678,61.63249840226889,2.0,0.4207920792079208,-2.2580645161290414,1.0,-0.1281197466421083,9.575835475578408,17.673521850899743,0.1454545454545456,3985085.35,15.902686908663648,-16.86981960019503,9.672699624666253,0.9091772651745088,0.1328089965159166,-0.056918141363953,0.0,0.8785660500705778,2.0,16.0,3333.33375,0.0,0.17711778716277096,Q2,3,0.0,2024-10
SMCX,2024-10-17,11.05,0.0,0.0,no_fill,0,0,4.189435336976328,222348.0,2.0986973539988885,31.27056862804114,3.0,0.5,-1.457194899817852,1.0,-0.3863636374787503,6.913339824732239,12.07400194741967,0.4677419354838709,1880622.3,15.487065873551856,0.4574565416285518,10.331908627171284,1.943246658300287,0.2645457493471616,-0.1979826253178761,0.6199553494762174,0.8458942716705427,3.0,17.0,3333.33375,0.0,0.11945356952675956,Q2,3,0.0,2024-10
CMTL,2024-10-18,3.85152,3953.799235260003,7.90813921009966,scale_eod,1,1,3.3854166666666643,54700.0,1.2969880812445629,56.48461101408056,2.0,0.4553846153846168,-1.8437499999999936,1.0,0.1310541361256388,8.474576271186436,25.49435028248586,0.0775623268698059,592797.85,9.8377144271895,-25.581395348837216,7.804481658587015,2.401260395934297,0.2782200763607101,-0.248257914291103,0.2953550270455958,0.8135715756396567,4.0,18.0,3333.33375,263.5866486323272,0.4145154276111869,Q4,0,263.5866486323272,2024-10
ALAR,2024-10-18,20.5615,-952.5756855410694,-1.9057228401902266,stop,0,1,4.880429477794046,62569.0,1.8448121780079183,92.2909357958382,2.0,0.6799999999999997,-1.512933138116148,1.0,1.6213955380249416,13.017098731384444,20.46332046332045,0.0997304582210236,329631.4,9.277743189513302,-4.564508616674432,10.465604141609424,4.892692261720212,0.2782200763607101,-0.248257914291103,0.2953550270455958,0.8135715756396567,4.0,18.0,3333.33375,-63.505053640868674,0.3830163334447307,Q4,0,-63.505053640868674,2024-10
NNE,2024-10-21,22.467199999999995,1316.9059662499917,2.6343640952143406,lock,1,1,5.633989922125503,484719.0,2.955221696685981,36.98842798398922,3.0,0.9125132124562988,2.1181859825927734,0.0,2.000125847119163,7.114818449460252,18.105986261040243,0.3306233062330619,4915643.5,16.35574051208457,-4.463894967177256,12.151810269831184,1.7518741951079244,0.0616575607583903,0.0068508400842591,-0.1265844437982191,0.6084293579789454,0.0,21.0,3333.33375,87.79374205754915,0.21990174240903104,Q3,2,87.79374205754915,2024-10
ALAR,2024-10-24,17.1513,-1582.0179572410648,-3.1642865576203585,stop,0,1,4.18181818181819,22669.0,1.001251428914815,54.71368010264064,3.0,0.8004347826086926,2.801818181818176,1.0,1.694448470990685,5.229591836734696,22.831632653061227,0.1033519553072623,431863.5,10.878188644335314,-23.25581395348837,10.640237278331009,1.173722715626581,0.1931101072450586,-0.1500051725921591,0.3442966141282736,0.8987920515377609,3.0,24.0,3333.33375,-105.46787699955397,0.5548201284074706,Q5,1,-105.46787699955397,2024-10
PHUN,2024-10-25,9.9297,-2348.5014208124944,-4.697374920692457,stop,1,1,8.161044613710555,1402570.0,2.208067724703023,43.877288003053984,4.0,0.6289333333333337,4.697497279651808,0.0,0.8668860379023915,8.37264150943395,53.30188679245283,0.0221238938053096,11393233.05,16.476051522877633,-37.05479452054794,15.981160698330246,3.093741859339917,0.1943216797647496,0.1031796529724377,0.3918928250811376,0.8569019470042204,4.0,25.0,3333.33375,-156.5667809583448,0.1758599350295112,Q2,3,-156.5667809583448,2024-10
IBRX,2024-10-28,6.088209999999999,-1064.7317080128603,-2.1296175781903592,stop,1,1,7.093425605536334,1418955.0,3.1308404336237654,47.524010251848296,4.0,0.9756097560975592,4.844290657439435,1.0,3.4489618841639618,8.646616541353383,52.25563909774437,0.2230215827338129,5863707.4,8.977534323227912,-22.72727272727273,8.548747631755356,11.05708958124343,0.1766917293233142,-0.0566484704912842,0.6113567283780184,0.9887425636303854,0.0,28.0,3333.33375,-70.98212274028825,0.17676462264812942,Q2,3,-70.98212274028825,2024-10
ASPI,2024-10-31,7.522499999999999,-1406.2959973071434,-2.8128994445235733,stop,0,1,6.060606060606066,480161.0,3.173249168538235,35.88878371554301,3.0,0.7499999999999994,1.7906336088154258,1.0,1.2482354931107074,5.217391304347817,34.6768115942029,0.0262047059806914,4761506.5,12.78057410218699,-21.343445287107265,8.080166683594934,10.766695792602617,0.2328167350059128,-0.1216206824657606,-0.7672281512387796,0.613803449994231,3.0,31.0,3333.33375,-93.75307820627619,0.26751268648385906,Q3,2,-93.75307820627619,2024-10
ILLR,2024-11-01,4.132359999999999,814.2159978600088,1.6285159085849426,lock,1,1,3.4708737864077728,63514.0,1.3249632962349085,98.18863847897812,1.0,0.8601398601398571,-0.4854368932038947,0.0,0.2928634515087087,6.459948320413436,20.15503875968992,0.602564102564103,1265094.0833333333,27.397427046163592,-31.103678929765888,17.23523643401881,1.086527095580309,0.2888048729258718,0.1470279353076941,0.4712999437253911,0.9095946937474272,4.0,1.0,3333.33375,54.2810733091339,0.34615528781372423,Q4,0,54.2810733091339,2024-11
