day,symbol,split,leg,leg_m,price,rpct,sp_mean,sp_med,n_q,err
2025-10-03,ARDT,TRAIN,entry,660,13.975,0.02,0.05105263157894684,0.05499999999999883,38,
2025-10-03,ARDT,TRAIN,exit,955,13.975,0.02,0.013214285714285432,0.009999999999999787,84,
2025-07-21,CVRX,TRAIN,entry,605,8.37,0.02,0.0974999999999997,0.08999999999999986,12,
2025-07-21,CVRX,TRAIN,exit,955,8.37,0.02,0.023999999999999487,0.019999999999999574,50,
2025-09-12,USAU,TRAIN,entry,600,16.1,0.0199999999999999,0.1633333333333328,0.16000000000000014,3,
2025-09-12,USAU,TRAIN,exit,955,16.1,0.0199999999999999,0.04024999999999954,0.02999999999999936,40,
2025-09-11,DAVA,TRAIN,entry,780,9.9192,0.02,0.022976190476190324,0.019999999999999574,84,
2025-09-11,DAVA,TRAIN,exit,804,9.9192,0.02,0.02232558139534886,0.019999999999999574,43,
2025-02-06,SAIA,TRAIN,entry,600,532.32,0.0199999999999999,4.268999999999977,4.330000000000041,40,
2025-02-06,SAIA,TRAIN,exit,955,532.32,0.0199999999999999,1.803990384615388,1.8500000000000227,208,
2025-07-08,CSIQ,TRAIN,entry,600,13.92,0.0199999999999999,0.04926470588235315,0.05000000000000071,136,
2025-07-08,CSIQ,TRAIN,exit,669,13.92,0.0199999999999999,0.015739130434782506,0.010000000000001563,115,
2025-11-05,SKY,TRAIN,entry,600,73.55,0.02,0.8917241379310316,1.039999999999992,29,
2025-11-05,SKY,TRAIN,exit,747,73.55,0.02,0.2588888888888879,0.23499999999999943,36,
2025-12-22,ASYS,TRAIN,entry,600,13.13,0.02,0.08068965517241415,0.0600000000000005,29,
2025-12-22,ASYS,TRAIN,exit,955,13.13,0.02,0.015903614457831457,0.009999999999999787,83,
2025-04-03,ONON,TRAIN,entry,720,38.98,0.02,0.030790378006872635,0.030000000000001137,291,
2025-04-03,ONON,TRAIN,exit,955,38.98,0.02,0.01826484018264849,0.01999999999999602,876,
2025-10-08,JOBY,TRAIN,entry,780,17.4962,0.02,0.010778097982709841,0.010000000000001563,347,
2025-10-08,JOBY,TRAIN,exit,955,17.4962,0.02,0.010000000000000517,0.010000000000001563,533,
2025-10-28,WHR,TRAIN,entry,780,78.985,0.02,0.21304347826086611,0.269999999999996,23,
2025-10-28,WHR,TRAIN,exit,955,78.985,0.02,0.05601694915254182,0.04999999999999716,236,
2025-09-08,WAY,TRAIN,entry,600,39.99,0.0199999999999999,0.024666666666666746,0.020000000000003126,285,
2025-09-08,WAY,TRAIN,exit,943,39.99,0.0199999999999999,0.017987804878047714,0.01999999999999602,164,
2025-05-30,LOCO,TRAIN,entry,721,10.365,0.02,0.024799999999999472,0.02999999999999936,25,
2025-05-30,LOCO,TRAIN,exit,938,10.365,0.02,0.0168055555555552,0.01499999999999968,72,
2025-11-05,IMMR,TRAIN,entry,780,6.87,0.02,0.009999999999999787,0.009999999999999787,8,
2025-11-05,IMMR,TRAIN,exit,955,6.87,0.02,0.010000000000000063,0.009999999999999787,58,
2025-09-09,SIFY,TRAIN,entry,660,11.97,0.0199999999999999,0.04487179487179533,0.040000000000000924,39,
2025-09-09,SIFY,TRAIN,exit,955,11.97,0.0199999999999999,0.18314285714285689,0.14999999999999858,35,
2025-11-06,ACIW,TRAIN,entry,600,51.38,0.0199999999999999,0.3997297297297301,0.4299999999999997,37,
2025-11-06,ACIW,TRAIN,exit,955,51.38,0.0199999999999999,0.12220973782771534,0.10000000000000142,267,
2025-10-27,SEPN,TRAIN,entry,660,22.36,0.0199999999999999,0.13928571428571498,0.13000000000000256,14,
2025-10-27,SEPN,TRAIN,exit,887,22.36,0.0199999999999999,0.12769230769230794,0.120000000000001,117,
2025-04-09,KHC,TRAIN,entry,840,28.98,0.0199999999999999,0.016081694402420424,0.019999999999999574,1322,
2025-04-09,KHC,TRAIN,exit,955,28.98,0.0199999999999999,0.01019037729318108,0.010000000000001563,2889,
2025-11-04,ARX,TRAIN,entry,660,11.73,0.02,0.04444444444444527,0.040000000000000924,9,
2025-11-04,ARX,TRAIN,exit,942,11.73,0.02,0.019687499999999886,0.019999999999999574,64,
2025-04-02,JELD,TRAIN,entry,660,6.015,0.02,0.010114942528736081,0.010000000000000675,87,
2025-04-02,JELD,TRAIN,exit,797,6.015,0.02,0.009999999999999787,0.009999999999999787,123,
2025-08-15,TATT,TRAIN,entry,660,38.04,0.02,0.23749999999999946,0.240000000000002,40,
2025-08-15,TATT,TRAIN,exit,955,38.04,0.02,0.37209302325581345,0.4399999999999977,43,
2025-10-28,WHR,TRAIN,entry,720,77.39,0.0199999999999999,0.14733333333333576,0.13000000000000966,30,
2025-10-28,WHR,TRAIN,exit,774,77.39,0.0199999999999999,0.09711538461538265,0.10999999999999943,52,
2025-04-09,ACN,TRAIN,entry,840,297.66,0.0199999999999999,0.9918534482758641,1.0,232,
2025-04-09,ACN,TRAIN,exit,955,297.66,0.0199999999999999,0.3374213836478029,0.35000000000002274,318,
2025-05-06,XMTR,TRAIN,entry,600,30.595,0.02,0.30249999999999844,0.29999999999999893,8,
2025-05-06,XMTR,TRAIN,exit,955,30.595,0.02,0.04062500000000084,0.030000000000001137,160,
2025-05-07,SIBN,TRAIN,entry,780,17.585,0.02,0.041538461538463384,0.0400000000000027,13,
2025-05-07,SIBN,TRAIN,exit,955,17.585,0.02,0.018173913043478755,0.019999999999999574,115,
2025-02-19,ADPT,TRAIN,entry,660,8.53,0.02,0.013764705882353359,0.009999999999999787,85,
2025-02-19,ADPT,TRAIN,exit,955,8.53,0.02,0.010142857142856926,0.009999999999999787,70,
2025-08-22,CGEM,TRAIN,entry,660,8.13,0.0199999999999999,0.028823529411764404,0.019999999999999574,17,
2025-08-22,CGEM,TRAIN,exit,674,8.13,0.0199999999999999,0.045238095238095175,0.03999999999999915,126,
2025-07-22,IVZ,TRAIN,entry,600,20.985,0.0199999999999999,0.013856466876971825,0.010000000000001563,1268,
2025-07-22,IVZ,TRAIN,exit,955,20.985,0.0199999999999999,0.010063694267515992,0.010000000000001563,628,
2025-11-18,NET,TRAIN,entry,600,195.65,0.02,0.3404184100418384,0.28999999999999204,239,
2025-11-18,NET,TRAIN,exit,778,195.65,0.02,0.27093220338983076,0.2600000000000193,118,
2025-08-22,MTW,TRAIN,entry,660,10.005,0.02,0.023414634146340964,0.019999999999999574,41,
2025-08-22,MTW,TRAIN,exit,955,10.005,0.02,0.01754716981132038,0.019999999999999574,53,
2025-10-08,AVBP,TRAIN,entry,900,20.58,0.02,0.0400000000000027,0.0400000000000027,3,
2025-10-08,AVBP,TRAIN,exit,955,20.58,0.02,0.07000000000000028,0.07000000000000028,8,
2025-09-24,SPCB,TRAIN,entry,600,13.2213,0.02,0.24444444444444396,0.2699999999999996,9,
2025-09-24,SPCB,TRAIN,exit,703,13.2213,0.02,0.1381250000000004,0.10499999999999954,16,
2025-08-07,RVMD,TRAIN,entry,600,35.03,0.02,0.09425531914893465,0.07000000000000028,47,
2025-08-07,RVMD,TRAIN,exit,717,35.03,0.02,0.04284482758620713,0.03999999999999915,116,
2025-09-04,SKWD,TRAIN,entry,600,51.38,0.0199999999999999,0.23538461538461464,0.240000000000002,39,
2025-09-04,SKWD,TRAIN,exit,955,51.38,0.0199999999999999,0.049718309859155145,0.04999999999999716,71,
2025-05-05,IRTC,TRAIN,entry,660,136.39,0.02,0.4058823529411818,0.37000000000000455,51,
2025-05-05,IRTC,TRAIN,exit,955,136.39,0.02,0.28781818181818797,0.27000000000001023,110,
2025-11-05,DBD,TRAIN,entry,600,62.955,0.02,1.050227272727273,1.0799999999999983,44,
2025-11-05,DBD,TRAIN,exit,955,62.955,0.02,0.08428571428571519,0.0799999999999983,70,
2025-01-16,HIMX,TRAIN,entry,600,8.83,0.02,0.02204419889502803,0.02000000000000135,181,
2025-01-16,HIMX,TRAIN,exit,955,8.83,0.02,0.010547945205480235,0.010000000000001563,365,
2025-11-20,BV,TRAIN,entry,600,11.4,0.0199999999999999,0.06507142857142874,0.07000000000000028,140,
2025-11-20,BV,TRAIN,exit,739,11.4,0.0199999999999999,0.02111111111111148,0.019999999999999574,117,
2025-08-01,BIO,TRAIN,entry,600,283.37,0.0199999999999999,6.019999999999982,6.019999999999982,3,
2025-08-01,BIO,TRAIN,exit,615,283.37,0.0199999999999999,2.4767021276595647,2.7199999999999704,94,
2025-05-21,APG,TRAIN,entry,600,47.98,0.02,0.09567901234567927,0.09000000000000341,81,
2025-05-21,APG,TRAIN,exit,955,47.98,0.02,0.02259036144578339,0.020000000000003126,166,
2025-09-23,LBRT,TRAIN,entry,600,12.51,0.0199999999999999,0.015814977973568158,0.019999999999999574,454,
2025-09-23,LBRT,TRAIN,exit,668,12.51,0.0199999999999999,0.010388349514562885,0.009999999999999787,103,
2025-03-05,SSYS,TRAIN,entry,600,10.24,0.02,0.053248407643312304,0.05000000000000071,157,
2025-03-05,SSYS,TRAIN,exit,608,10.24,0.02,0.026307692307692657,0.030000000000001137,195,
2025-11-19,DMAC,TRAIN,entry,660,7.205,0.0199999999999999,0.021428571428571224,0.009999999999999787,14,
2025-11-19,DMAC,TRAIN,exit,675,7.205,0.0199999999999999,0.02499999999999981,0.019999999999999574,44,
2025-04-09,ABBV,TRAIN,entry,840,177.74,0.02,0.29604316546762205,0.28999999999999204,278,
2025-04-09,ABBV,TRAIN,exit,955,177.74,0.02,0.10449152542372644,0.10999999999998522,472,
2025-07-01,WLDN,TRAIN,entry,780,66.23,0.02,0.3050000000000068,0.3050000000000068,2,
2025-07-01,WLDN,TRAIN,exit,955,66.23,0.02,0.26444444444444076,0.28000000000000114,27,
2025-02-27,ZIP,TRAIN,entry,600,5.59,0.0199999999999999,0.04258620689655168,0.040000000000000036,116,
2025-02-27,ZIP,TRAIN,exit,605,5.59,0.0199999999999999,0.018773584905660445,0.019999999999999574,106,
2025-05-29,BA,TRAIN,entry,660,208.464,0.02,0.13549857549857477,0.12999999999999545,351,
2025-05-29,BA,TRAIN,exit,955,208.464,0.02,0.06541160593792027,0.06999999999999318,741,
2025-04-09,FCFS,TRAIN,entry,841,120.43,0.02,0.8624999999999954,0.8999999999999915,16,
2025-04-09,FCFS,TRAIN,exit,955,120.43,0.02,0.28400000000000103,0.3200000000000003,60,
2025-05-23,DJT,TRAIN,entry,900,25.69,0.0199999999999999,0.030032537960954217,0.029999999999997584,922,
2025-05-23,DJT,TRAIN,exit,955,25.69,0.0199999999999999,0.023315217391304602,0.019999999999999574,368,
2025-05-16,CXDO,TRAIN,entry,900,5.86,0.02,0.027058823529411764,0.02999999999999936,17,
2025-05-16,CXDO,TRAIN,exit,955,5.86,0.02,0.04999999999999982,0.04999999999999982,3,
2025-07-03,ORN,TRAIN,entry,780,9.6,0.02,0.1889473684210532,0.10000000000000142,19,
2025-07-03,ORN,TRAIN,exit,950,9.6,0.02,0.6699999999999999,0.6699999999999999,1,
2025-12-18,PHAT,TRAIN,entry,600,16.53,0.02,,,0,
