day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-01-29,MCY,11,721,49.33,49.285,49.65,49.7595,49.33,False,False,False,False,True,True,True,47.31,47.31,50.3166,0.020000000000000056,-0.30407459963511396,eod,955,-0.30407459963511396,eod,955,49.823299999999996,0.009999999999999957,-1.1009999999999858,stop,794,-1.1009999999999858,stop,794
2025-01-29,NAIL,13,840,95.3677,96.1945,97.42,96.45,95.3677,False,False,False,False,True,False,False,94.8,91.17,97.275054,0.01999999999999998,1.5821394455355473,eod,955,2.0,target,876,96.45,0.011348706113285773,2.7882287720594983,eod,955,2.0,target,845
2025-01-29,RKT,12,780,12.84,12.835,13.0,12.8392,12.84,False,False,False,False,True,True,True,12.722,12.27,13.0968,0.02000000000000001,1.460280373831775,eod,955,2.0,target,868,12.9684,0.010000000000000075,2.92056074766353,eod,955,2.0,target,842
2025-01-29,SYNA,9,600,86.6,86.7718,82.5,87.3,86.6,True,False,False,False,True,True,False,82.26,82.26,88.332,0.019999999999999993,-1.052733833718237,stop,828,-1.052733833718237,stop,828,87.466,0.009999999999999997,-1.2269919168591175,stop,601,-1.2269919168591175,stop,601
2025-01-29,TUYA,13,840,2.47,2.475,2.4,2.49,2.47,True,False,False,False,True,True,False,2.4,2.4,2.5194,0.019999999999999952,0.9109311740890784,eod,955,0.9109311740890784,eod,955,2.4947000000000004,0.010000000000000066,1.8218623481781404,eod,955,1.8218623481781404,eod,955
2025-01-30,ASAN,9,600,22.27,22.26,21.7,22.74,22.27,False,True,True,False,False,True,True,21.54,21.1,22.7154,0.019999999999999973,2.177817691962282,eod,955,2.0,target,655,22.74,0.02110462505612927,2.063829787234045,eod,955,2.0,target,674
2025-01-30,ATRO,12,780,17.28,17.2994,17.18,17.2994,17.28,False,False,False,True,False,True,False,16.99,16.99,17.625600000000002,0.020000000000000056,-1.0509999999999964,stop,816,-1.0509999999999964,stop,816,17.4528,0.009999999999999926,-1.2585648148148145,stop,804,-1.2585648148148145,stop,804
2025-01-30,CLB,9,600,18.065,18.065,17.36,18.67,18.065,True,True,True,False,False,True,False,17.06,17.06,18.4263,0.019999999999999997,-1.0509999999999944,stop,601,-1.0509999999999944,stop,601,18.67,0.03349017437032939,0.5371900826446324,eod,955,0.5371900826446324,eod,955
2025-01-30,CLB,10,660,17.92,17.93,17.36,18.45,17.92,True,False,False,True,False,True,False,17.06,17.06,18.2784,0.019999999999999976,0.5022321428571526,eod,955,2.0,target,725,18.45,0.02957589285714272,0.33962264150944166,eod,955,0.33962264150944166,eod,955
2025-01-30,CLFD,14,900,36.3239,36.16,37.82,37.755,36.3239,False,True,False,False,False,True,True,36.0,34.2,37.050378,0.020000000000000004,2.3178953801766893,eod,955,2.0,target,920,37.755,0.03939830249505148,1.1766473342184336,eod,955,1.1766473342184336,eod,955
2025-01-30,CLS,9,600,112.57,112.63,117.1,117.67,112.57,False,True,False,False,False,True,False,111.0,111.0,114.8214,0.020000000000000035,-1.0509999999999922,stop,606,-1.0509999999999922,stop,606,117.67,0.04530514346628772,-0.32352941176470645,eod,955,-0.32352941176470645,eod,955
2025-01-30,CMPS,13,840,4.29,4.3,4.12,4.36,4.29,True,False,False,True,False,True,False,4.03,4.03,4.3758,0.019999999999999973,1.6317016317016304,eod,955,1.6317016317016304,eod,955,4.36,0.016317016317016382,1.9999999999999873,eod,955,2.0,target,885
