bar_date,n
2023-06-14,1497
2023-06-15,1516
2023-06-16,1520
2023-06-20,1588
2023-06-21,1596
2023-06-22,1559
2023-06-23,1548
2023-06-26,1602
2023-06-27,1596
2023-06-28,1571
2023-06-29,1555
2023-06-30,1549
2023-07-03,37
2023-07-05,1396
2023-07-06,1561
2023-07-07,1557
2023-07-10,1540
2023-07-11,1526
2023-07-12,1487
2023-07-13,1468
2023-07-14,1470
2023-07-17,1464
2023-07-18,1383
2023-07-19,1377
2023-07-20,1376
2023-07-21,1386
2023-07-24,1392
2023-07-25,1399
2023-07-26,1387
2023-07-27,1380
2023-07-28,1399
2023-07-31,1408
2023-08-01,1420
2023-08-02,1423
2023-08-03,1440
2023-08-04,1460
2023-08-07,1486
2023-08-08,1485
2023-08-09,1512
2023-08-10,1535
2023-08-11,1531
2023-08-14,1537
2023-08-15,1515
2023-08-16,1489
2023-08-17,1467
2023-08-18,1453
2023-08-21,1449
2023-08-22,1429
2023-08-23,1400
2023-08-24,1373
2023-08-25,1338
2023-08-28,1321
2023-08-29,1289
2023-08-30,1272
2023-08-31,1247
2023-09-01,1239
2023-09-05,1248
2023-09-06,1262
2023-09-07,1257
2023-09-08,1243
2023-09-11,1232
2023-09-12,1233
2023-09-13,1236
2023-09-14,1246
2023-09-15,1246
2023-09-18,1317
2023-09-19,1328
2023-09-20,1318
2023-09-21,1339
2023-09-22,1352
2023-09-25,1344
2023-09-26,1311
2023-09-27,1333
2023-09-28,1333
2023-09-29,1349
2023-10-02,775
2023-10-03,1263
2023-10-04,1349
2023-10-05,1360
2023-10-06,1370
2023-10-09,1367
2023-10-10,1362
2023-10-11,1370
2023-10-12,1354
2023-10-13,1371
2023-10-16,1382
2023-10-17,1383
2023-10-18,1386
2023-10-19,1385
2023-10-20,1391
2023-10-23,1385
2023-10-24,1364
2023-10-25,1358
2023-10-26,1370
2023-10-27,1372
2023-10-30,1391
2023-10-31,1408
2023-11-01,1407
2023-11-02,1420
2023-11-03,1453
2023-11-06,1495
2023-11-07,1491
2023-11-08,1509
2023-11-09,1504
2023-11-10,1527
2023-11-13,1535
2023-11-14,1524
2023-11-15,1553
2023-11-16,1557
2023-11-17,1551
2023-11-20,1536
2023-11-21,1515
2023-11-22,1475
2023-11-24,1428
2023-11-27,1340
2023-11-28,783
2023-11-29,1317
2023-11-30,1328
2023-12-01,1332
2023-12-04,1352
2023-12-05,1371
2023-12-06,1337
2023-12-07,1316
2023-12-08,1296
2023-12-11,1299
2023-12-12,1291
2023-12-13,1290
2023-12-14,1355
2023-12-15,1451
2023-12-18,1572
2023-12-19,1589
2023-12-20,1578
2023-12-21,1593
2023-12-22,1568
2023-12-26,1553
2023-12-27,1531
2023-12-28,1496
2023-12-29,1473
