symbol,tradable,shortable,easy_to_borrow,exchange
FSBW,True,True,True,AssetExchange.NASDAQ
BLCR,True,False,False,AssetExchange.NASDAQ
FSI,True,True,True,AssetExchange.AMEX
SGRT,True,False,False,AssetExchange.ARCA
BKYI,True,False,False,AssetExchange.NASDAQ
BKUI,True,False,False,AssetExchange.ARCA
BKSE,True,False,False,AssetExchange.ARCA
FSK,True,True,True,AssetExchange.NYSE
FSTA,True,True,True,AssetExchange.ARCA
FSTR,True,True,True,AssetExchange.NASDAQ
BIYA,True,False,False,AssetExchange.NASDAQ
BIXI,True,False,False,AssetExchange.NASDAQ
FSUN,True,True,True,AssetExchange.NASDAQ
FSV,True,True,True,AssetExchange.NASDAQ
BIVI,True,False,False,AssetExchange.NASDAQ
BITY,True,False,False,AssetExchange.BATS
FTCI,True,True,True,AssetExchange.NASDAQ
FTCS,True,True,True,AssetExchange.NASDAQ
FTDR,True,True,True,AssetExchange.NASDAQ
FTGC,True,True,True,AssetExchange.NASDAQ
FTHY,True,True,True,AssetExchange.NYSE
FTNT,True,True,True,AssetExchange.NASDAQ
FTQI,True,True,True,AssetExchange.NASDAQ
FTRE,True,True,True,AssetExchange.NASDAQ
BIOX,True,False,False,AssetExchange.NASDAQ
FTSM,True,True,True,AssetExchange.NASDAQ
BIOT,True,False,False,AssetExchange.NASDAQ
FTXL,True,True,True,AssetExchange.NASDAQ
FTXN,True,True,True,AssetExchange.NASDAQ
FTXR,True,True,True,AssetExchange.NASDAQ
BILT,True,False,False,AssetExchange.BATS
FULT,True,True,True,AssetExchange.NASDAQ
FUN,True,True,True,AssetExchange.NYSE
FUTU,True,True,True,AssetExchange.NASDAQ
FUTY,True,True,True,AssetExchange.ARCA
BIII.WS,True,False,False,AssetExchange.NYSE
BIII.U,True,False,False,AssetExchange.NYSE
FV,True,True,True,AssetExchange.NASDAQ
AGM.PRH,True,False,False,AssetExchange.NYSE
BIII,True,False,False,AssetExchange.NYSE
FVD,True,True,True,AssetExchange.ARCA
BIGY,True,False,False,AssetExchange.ARCA
FXI,True,True,True,AssetExchange.ARCA
FYLD,True,True,True,AssetExchange.BATS
GANX,True,True,True,AssetExchange.NASDAQ
GBAB,True,True,True,AssetExchange.NYSE
GBFH,True,True,True,AssetExchange.NASDAQ
BIDWU,True,False,False,AssetExchange.NASDAQ
GBIL,True,True,True,AssetExchange.ARCA
GBTG,True,True,True,AssetExchange.NYSE
GBX,True,True,True,AssetExchange.NYSE
