period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2023-03-31,7,-219.29,-24.96,-32.54,-276.8
2023-04-06,6,-21.87,-21.4,-32.54,-75.81
2023-04-14,8,-20.2,-28.53,-32.54,-81.27
2023-04-21,7,-19.69,-24.96,-32.54,-77.2
2023-04-28,7,139.54,-24.96,-32.54,82.04
2023-05-05,7,142.02,-24.96,-32.54,84.51
2023-05-12,7,-60.34,-24.96,-32.54,-117.85
2023-05-19,7,2.73,-24.96,-32.54,-54.77
2023-05-26,7,34.72,-24.96,-32.54,-22.78
2023-06-02,7,-22.35,-24.96,-32.54,-79.86
2023-06-09,7,-53.59,-24.96,-32.54,-111.09
2023-06-16,7,-73.32,-24.96,-32.54,-130.82
2023-06-23,7,-64.2,-24.96,-32.54,-121.7
2023-06-30,7,-95.75,-24.96,-32.54,-153.25
2023-07-07,7,-52.11,-24.96,-32.54,-109.62
2023-07-14,7,-120.42,-24.96,-32.54,-177.93
2023-07-21,7,-53.97,-24.96,-32.54,-111.48
2023-07-28,7,-46.11,-24.96,-32.54,-103.61
2023-08-04,7,-119.84,-24.96,-32.54,-177.34
2023-08-11,7,-10.91,-24.96,-32.54,-68.42
2023-08-18,7,-114.33,-24.96,-32.54,-171.83
2023-08-25,7,51.55,-24.96,-32.54,-5.95
2023-09-01,7,-119.15,-24.96,-32.54,-176.66
2023-09-08,7,-81.9,-24.96,-32.54,-139.4
2023-09-15,7,31.6,-24.96,-32.54,-25.91
2023-09-22,7,-235.84,-24.96,-32.54,-293.35
2023-09-29,7,-17.7,-24.96,-32.54,-75.21
2023-10-06,7,70.05,-24.96,-32.54,12.55
2023-10-13,7,4.8,-24.96,-32.54,-52.71
2023-10-20,7,-49.48,-24.96,-32.54,-106.98
2023-10-27,7,-108.52,-24.96,-32.54,-166.02
2023-11-03,7,-803.62,-24.96,-32.54,-861.12
2023-11-10,7,45.89,-24.96,-32.54,-11.62
2023-11-17,7,-152.99,-24.96,-32.54,-210.49
2023-11-24,7,-29.64,-24.96,-32.54,-87.15
2023-12-01,7,-45.33,-24.96,-32.54,-102.83
2023-12-08,7,-20.37,-24.96,-32.54,-77.87
2023-12-15,7,-119.39,-24.96,-32.54,-176.9
2023-12-22,7,61.06,-24.96,-32.54,3.55
2023-12-29,7,-72.66,-24.96,-32.54,-130.17
2024-01-05,7,-78.57,-24.96,-32.54,-136.07
2024-01-12,7,-88.89,-24.96,-32.54,-146.39
2024-01-19,7,10.28,-24.96,-32.54,-47.23
2024-01-26,7,-79.81,-24.96,-32.54,-137.32
2024-02-02,7,124.06,-24.96,-32.54,66.56
2024-02-09,7,-83.87,-24.96,-32.54,-141.37
2024-02-16,7,56.52,-24.96,-32.54,-0.98
2024-02-23,7,11.65,-24.96,-32.54,-45.85
2024-03-01,7,-47.53,-24.96,-32.54,-105.04
2024-03-08,7,23.35,-24.96,-32.54,-34.15
2024-03-15,7,10.04,-24.96,-32.54,-47.46
2024-03-22,7,-118.57,-24.96,-32.54,-176.07
2024-03-28,6,-45.59,-21.4,-32.54,-99.53
2024-04-05,8,27.22,-28.53,-32.54,-33.85
2024-04-12,7,-31.18,-24.96,-32.54,-88.69
2024-04-19,7,-279.13,-24.96,-32.54,-336.63
2024-04-26,7,-132.99,-24.96,-32.54,-190.5
2024-05-03,7,50.0,-24.96,-32.54,-7.51
2024-05-10,7,-87.37,-24.96,-32.54,-144.87
2024-05-17,7,-29.34,-24.96,-32.54,-86.84
2024-05-24,7,-65.96,-24.96,-32.54,-123.47
2024-05-31,7,11.05,-24.96,-32.54,-46.46
2024-06-07,7,-23.82,-24.96,-32.54,-81.32
2024-06-14,7,-87.59,-24.96,-32.54,-145.09
2024-06-21,7,-40.53,-24.96,-32.54,-98.04
2024-06-28,7,-75.41,-24.96,-32.54,-132.92
2024-07-05,7,-116.18,-24.96,-32.54,-173.68
2024-07-12,7,-4.38,-24.96,-32.54,-61.88
2024-07-19,7,-128.8,-24.96,-32.54,-186.31
2024-07-26,7,186.62,-24.96,-32.54,129.12
2024-08-02,7,56.23,-24.96,-32.54,-1.27
2024-08-09,7,512.69,-24.96,-32.54,455.19
2024-08-16,7,-357.05,-24.96,-32.54,-414.56
2024-08-23,7,-14.59,-24.96,-32.54,-72.1
2024-08-30,7,-29.21,-24.96,-32.54,-86.72
2024-09-06,7,-328.04,-24.96,-32.54,-385.54
2024-09-13,7,-339.01,-24.96,-32.54,-396.52
2024-09-20,7,-52.2,-24.96,-32.54,-109.71
2024-09-27,7,-53.89,-24.96,-32.54,-111.39
2024-10-04,7,-15.43,-24.96,-32.54,-72.94
2024-10-11,7,88.78,-24.96,-32.54,31.28
2024-10-18,7,-116.43,-24.96,-32.54,-173.94
2024-10-25,7,-41.81,-24.96,-32.54,-99.31
2024-11-01,7,47.99,-24.96,-32.54,-9.52
2024-11-08,7,-420.18,-24.96,-32.54,-477.68
2024-11-15,7,-112.15,-24.96,-32.54,-169.65
2024-11-22,7,-69.35,-24.96,-32.54,-126.85
2024-11-29,7,-60.03,-24.96,-32.54,-117.53
2024-12-06,7,-71.57,-24.96,-32.54,-129.07
2024-12-13,7,-28.55,-24.96,-32.54,-86.05
2024-12-20,7,173.37,-24.96,-32.54,115.86
2024-12-27,7,-25.4,-24.96,-32.54,-82.91
2025-01-03,7,102.19,-24.96,-32.54,44.69
2025-01-10,7,11.54,-24.96,-32.54,-45.97
2025-01-17,7,-178.3,-24.96,-32.54,-235.8
2025-01-24,7,-44.56,-24.96,-32.54,-102.07
2025-01-31,7,17.4,-24.96,-32.54,-40.11
2025-02-07,7,-11.03,-24.96,-32.54,-68.53
2025-02-14,7,20.41,-24.96,-32.54,-37.09
2025-02-21,7,-125.81,-24.96,-32.54,-183.31
2025-02-28,7,98.86,-24.96,-32.54,41.35
2025-03-07,7,-8.48,-24.96,-32.54,-65.98
2025-03-14,7,186.38,-24.96,-32.54,128.88
2025-03-21,7,67.09,-24.96,-32.54,9.58
2025-03-28,7,102.91,-24.96,-32.54,45.4
2025-04-04,7,-781.56,-24.96,-32.54,-839.07
2025-04-11,7,2229.09,-24.96,-32.54,2171.58
2025-04-17,6,-64.78,-21.4,-32.54,-118.72
