period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2021-10-08,7,222.29,-24.96,-32.54,164.78
2021-10-15,7,73.0,-24.96,-32.54,15.5
2021-10-22,7,43.91,-24.96,-32.54,-13.6
2021-10-29,7,-195.33,-24.96,-32.54,-252.84
2021-11-05,7,-265.84,-24.96,-32.54,-323.35
2021-11-12,7,187.83,-24.96,-32.54,130.32
2021-11-19,7,-85.58,-24.96,-32.54,-143.08
2021-11-26,7,-151.78,-24.96,-32.54,-209.29
2021-12-03,7,356.76,-24.96,-32.54,299.26
2021-12-10,7,3.56,-24.96,-32.54,-53.95
2021-12-17,7,160.44,-24.96,-32.54,102.94
2021-12-23,6,-109.92,-21.4,-32.54,-163.86
2021-12-31,8,52.13,-28.53,-32.54,-8.94
2022-01-07,7,-30.49,-24.96,-32.54,-88.0
2022-01-14,7,269.47,-24.96,-32.54,211.97
2022-01-21,7,-1169.42,-24.96,-32.54,-1226.92
2022-01-28,7,534.84,-24.96,-32.54,477.34
2022-02-04,7,834.19,-24.96,-32.54,776.68
2022-02-11,7,415.54,-24.96,-32.54,358.04
2022-02-18,7,427.98,-24.96,-32.54,370.47
2022-02-25,7,644.32,-24.96,-32.54,586.81
2022-03-04,7,74.78,-24.96,-32.54,17.27
2022-03-11,7,616.16,-24.96,-32.54,558.66
2022-03-18,7,-913.07,-24.96,-32.54,-970.58
2022-03-25,7,174.75,-24.96,-32.54,117.25
2022-04-01,7,240.03,-24.96,-32.54,182.53
2022-04-08,7,130.65,-24.96,-32.54,73.14
2022-04-14,6,114.67,-21.4,-32.54,60.74
2022-04-22,8,107.79,-28.53,-32.54,46.72
2022-04-29,7,1102.71,-24.96,-32.54,1045.2
2022-05-06,7,1187.11,-24.96,-32.54,1129.61
2022-05-13,7,1089.19,-24.96,-32.54,1031.69
2022-05-20,7,510.42,-24.96,-32.54,452.91
2022-05-27,7,-589.95,-24.96,-32.54,-647.46
2022-06-03,7,472.84,-24.96,-32.54,415.34
2022-06-10,7,-398.6,-24.96,-32.54,-456.1
2022-06-17,7,722.83,-24.96,-32.54,665.32
2022-06-24,7,-1048.74,-24.96,-32.54,-1106.24
2022-07-01,7,-35.91,-24.96,-32.54,-93.41
