period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2022-08-19,7,235.62,-24.96,-32.54,178.11
2022-08-26,7,1077.74,-24.96,-32.54,1020.23
2022-09-02,7,-1290.17,-24.96,-32.54,-1347.68
2022-09-09,7,-68.02,-24.96,-32.54,-125.52
2022-09-16,7,285.3,-24.96,-32.54,227.79
2022-09-23,7,-840.31,-24.96,-32.54,-897.81
2022-09-30,7,-193.95,-24.96,-32.54,-251.46
2022-10-07,7,2174.43,-24.96,-32.54,2116.93
2022-10-14,7,-615.71,-24.96,-32.54,-673.22
2022-10-21,7,-1020.85,-24.96,-32.54,-1078.35
2022-10-28,7,453.57,-24.96,-32.54,396.07
2022-11-04,7,1158.22,-24.96,-32.54,1100.71
2022-11-11,7,-2172.62,-24.96,-32.54,-2230.13
2022-11-18,7,756.8,-24.96,-32.54,699.29
2022-11-25,7,284.34,-24.96,-32.54,226.83
2022-12-02,7,1338.94,-24.96,-32.54,1281.44
2022-12-09,7,319.58,-24.96,-32.54,262.08
2022-12-16,7,489.57,-24.96,-32.54,432.06
2022-12-23,7,424.43,-24.96,-32.54,366.93
2022-12-30,7,456.87,-24.96,-32.54,399.36
2023-01-06,7,423.9,-24.96,-32.54,366.4
2023-01-13,7,-830.61,-24.96,-32.54,-888.11
2023-01-20,7,580.01,-24.96,-32.54,522.51
2023-01-27,7,-204.44,-24.96,-32.54,-261.94
2023-02-03,7,717.14,-24.96,-32.54,659.64
2023-02-10,7,442.0,-24.96,-32.54,384.49
2023-02-17,7,425.66,-24.96,-32.54,368.15
2023-02-24,7,639.66,-24.96,-32.54,582.15
2023-03-03,7,-273.34,-24.96,-32.54,-330.85
2023-03-10,7,116.23,-24.96,-32.54,58.72
2023-03-17,7,76.31,-24.96,-32.54,18.8
2023-03-24,7,331.94,-24.96,-32.54,274.43
2023-03-31,7,44.47,-24.96,-32.54,-13.04
2023-04-06,6,-631.87,-21.4,-32.54,-685.81
2023-04-14,8,238.43,-28.53,-32.54,177.36
2023-04-21,7,-35.54,-24.96,-32.54,-93.04
2023-04-28,7,345.3,-24.96,-32.54,287.8
2023-05-05,7,164.28,-24.96,-32.54,106.77
2023-05-12,7,98.39,-24.96,-32.54,40.88
2023-05-19,7,-1024.69,-24.96,-32.54,-1082.2
2023-05-26,7,-467.78,-24.96,-32.54,-525.28
2023-06-02,7,158.94,-24.96,-32.54,101.44
2023-06-09,7,108.18,-24.96,-32.54,50.68
2023-06-16,7,-211.53,-24.96,-32.54,-269.03
2023-06-23,7,-307.47,-24.96,-32.54,-364.97
2023-06-30,7,-37.62,-24.96,-32.54,-95.12
2023-07-07,7,-80.72,-24.96,-32.54,-138.23
2023-07-14,7,-203.78,-24.96,-32.54,-261.28
2023-07-21,7,462.98,-24.96,-32.54,405.48
2023-07-28,7,-221.49,-24.96,-32.54,-278.99
2023-08-04,7,3.09,-24.96,-32.54,-54.42
2023-08-11,7,-425.98,-24.96,-32.54,-483.48
2023-08-18,7,456.93,-24.96,-32.54,399.42
2023-08-25,7,554.75,-24.96,-32.54,497.24
2023-09-01,7,-485.54,-24.96,-32.54,-543.05
2023-09-08,7,-326.74,-24.96,-32.54,-384.25
2023-09-15,7,37.43,-24.96,-32.54,-20.08
2023-09-22,7,-66.35,-24.96,-32.54,-123.86
2023-09-29,7,39.31,-24.96,-32.54,-18.19
2023-10-06,7,330.0,-24.96,-32.54,272.49
2023-10-13,7,179.64,-24.96,-32.54,122.13
2023-10-20,7,-240.43,-24.96,-32.54,-297.93
2023-10-27,7,374.69,-24.96,-32.54,317.18
2023-11-03,7,-854.4,-24.96,-32.54,-911.91
2023-11-10,7,-48.33,-24.96,-32.54,-105.84
2023-11-17,7,-42.39,-24.96,-32.54,-99.89
2023-11-24,7,96.14,-24.96,-32.54,38.64
2023-12-01,7,106.53,-24.96,-32.54,49.02
2023-12-08,7,163.53,-24.96,-32.54,106.03
2023-12-15,7,-1675.13,-24.96,-32.54,-1732.64
2023-12-22,7,552.66,-24.96,-32.54,495.16
2023-12-29,7,-82.6,-24.96,-32.54,-140.1
2024-01-05,7,-477.79,-24.96,-32.54,-535.3
2024-01-12,7,-0.27,-24.96,-32.54,-57.78
2024-01-19,7,-852.02,-24.96,-32.54,-909.52
2024-01-26,7,273.48,-24.96,-32.54,215.97
2024-02-02,7,147.14,-24.96,-32.54,89.63
2024-02-09,7,-492.51,-24.96,-32.54,-550.01
2024-02-16,7,219.6,-24.96,-32.54,162.09
2024-02-23,7,654.5,-24.96,-32.54,597.0
2024-03-01,7,-478.97,-24.96,-32.54,-536.47
2024-03-08,7,955.12,-24.96,-32.54,897.62
2024-03-15,7,-70.52,-24.96,-32.54,-128.03
2024-03-22,7,176.49,-24.96,-32.54,118.99
2024-03-28,6,29.91,-21.4,-32.54,-24.03
2024-04-05,8,211.79,-28.53,-32.54,150.72
2024-04-12,7,326.55,-24.96,-32.54,269.04
2024-04-19,7,-1696.72,-24.96,-32.54,-1754.23
2024-04-26,7,-1743.46,-24.96,-32.54,-1800.96
2024-05-03,7,653.55,-24.96,-32.54,596.04
2024-05-10,7,96.24,-24.96,-32.54,38.73
2024-05-17,7,-54.84,-24.96,-32.54,-112.35
2024-05-24,7,-290.59,-24.96,-32.54,-348.09
2024-05-31,7,-123.91,-24.96,-32.54,-181.41
2024-06-07,7,570.2,-24.96,-32.54,512.7
2024-06-14,7,-539.64,-24.96,-32.54,-597.14
2024-06-21,7,259.78,-24.96,-32.54,202.27
2024-06-28,7,308.72,-24.96,-32.54,251.22
2024-07-05,7,-135.5,-24.96,-32.54,-193.0
2024-07-12,7,544.9,-24.96,-32.54,487.4
2024-07-19,7,-832.28,-24.96,-32.54,-889.79
2024-07-26,7,1435.31,-24.96,-32.54,1377.81
2024-08-02,7,1144.94,-24.96,-32.54,1087.44
2024-08-09,7,1555.38,-24.96,-32.54,1497.87
2024-08-16,7,-1115.04,-24.96,-32.54,-1172.54
2024-08-23,7,745.47,-24.96,-32.54,687.97
2024-08-30,7,464.15,-24.96,-32.54,406.64
2024-09-06,7,-2154.14,-24.96,-32.54,-2211.64
2024-09-13,7,-1400.56,-24.96,-32.54,-1458.07
2024-09-20,7,706.15,-24.96,-32.54,648.64
2024-09-27,7,-39.64,-24.96,-32.54,-97.15
2024-10-04,7,318.04,-24.96,-32.54,260.54
2024-10-11,7,-42.49,-24.96,-32.54,-100.0
2024-10-18,7,693.68,-24.96,-32.54,636.18
2024-10-25,7,55.09,-24.96,-32.54,-2.42
2024-11-01,7,480.14,-24.96,-32.54,422.63
2024-11-08,7,-256.12,-24.96,-32.54,-313.62
2024-11-15,7,-1848.67,-24.96,-32.54,-1906.18
2024-11-22,7,-29.97,-24.96,-32.54,-87.47
2024-11-29,7,176.5,-24.96,-32.54,119.0
2024-12-06,7,273.71,-24.96,-32.54,216.21
2024-12-13,7,620.3,-24.96,-32.54,562.8
2024-12-20,7,174.06,-24.96,-32.54,116.56
2024-12-27,7,100.9,-24.96,-32.54,43.4
