day,symbol,fill_min,split,flag_1445,flag_1446,flag_1447,flag_1448,flag_1449,flag_1450,flag_1451,flag_1452,flag_1453,flag_1454,flag_1455,net_R_corr,net_R_corr_flat30
2025-07-09,ARQQ,816.2364698692,TRAIN-H2,0,0,1,0,1,1,0,1,1,0,0,-0.45835919816754916,-0.5874303682519915
2025-07-09,CRNX,654.52922267775,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,-1.3453368421052596,-1.4859157894736832
2025-07-09,CRSP,593.9077734433,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.326684981684982,-1.289505494505495
2025-07-09,CYTK,635.5964354371333,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,1.8315400000000026,1.8315400000000026
2025-07-09,DNTH,797.6762828764834,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,1,1.7741409090909086,1.7741409090909086
2025-07-09,ELVN,763.4524924698,TRAIN-H2,0,0,0,0,1,1,0,0,0,0,1,-1.4266114285714306,-1.4114971428571441
2025-07-09,FUTU,620.1152444424666,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,0,1.9132930817610052,1.9132930817610052
2025-07-09,IONL,590.39961262545,TRAIN-H2,0,0,0,0,1,0,0,1,1,0,0,-1.4639049044349002,-1.3763334758634707
2025-07-09,KYMR,658.07498824475,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.3757102040816451,-1.4909551020408192
2025-07-09,LABU,656.9864786973,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,1.0438439848931544,0.806140595062646
2025-07-09,LGND,633.9031712605333,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,-1.5526553268765129,-1.5763720338983056
2025-07-09,MTSR,606.2150043136334,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.8274731693525474,-1.8539331636980438
2025-07-09,NEGG,709.3353891539833,TRAIN-H2,0,0,0,0,1,1,1,0,0,0,1,1.7161714285714278,1.7161714285714278
2025-07-09,OUST,604.1794704446834,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.2780412201999485,-1.2522114329659058
2025-07-09,PRAX,742.5024000991167,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,0,1.7527183098591563,1.7527183098591563
2025-07-09,PSIX,682.2892554286667,TRAIN-H2,0,0,0,0,1,0,0,1,1,0,0,1.7744025999037085,1.7744025999037085
2025-07-09,QBTX,588.09016796125,TRAIN-H2,0,0,1,0,1,0,0,1,1,0,0,-1.245165687654248,-1.2319166819637384
2025-07-09,RARE,655.45558451445,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.1415067982456224,-1.4431109649122829
2025-07-09,RNA,739.2335254531166,TRAIN-H2,0,0,0,0,1,1,0,1,1,0,0,-0.1695242966751916,-0.27462233589087925
2025-07-09,TDS,759.3422295368833,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,0,1.8777693693693716,1.8777693693693716
2025-07-09,TIL,653.3243328545667,TRAIN-H2,0,0,1,0,1,1,0,0,1,0,1,-0.10906088888888589,-0.11164088888888685
2025-07-09,TNXP,606.2000350641833,TRAIN-H2,0,0,0,0,1,1,0,0,1,0,0,0.5474425855513269,0.433986311787066
2025-07-09,USM,792.1853581221833,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,0.5396193103448431,0.39252965517242044
2025-07-10,AMR,579.1200699069167,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-0.6262749300261152,-0.6057061213973692
2025-07-10,CEP,752.9844680764334,TRAIN-H2,0,0,0,0,0,1,0,0,1,0,0,1.8863599999999985,1.8863599999999985
2025-07-10,CONL,752.6403648369167,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,-1.3958599367270628,-1.3484915156744313
2025-07-10,DFDV,682.1215931850667,TRAIN-H2,0,0,1,0,1,1,0,1,1,0,1,1.774875131196821,1.774875131196821
2025-07-10,DK,636.0058504463167,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,1,0.8713713541666785,0.912754166666679
2025-07-10,HCC,590.0187641584666,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.5640122471100122,-1.436932232012818
2025-07-10,HOV,814.9185135434333,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,-1.2257858156028396,-1.3800502532928076
2025-07-10,INSP,638.0693101618167,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,-1.2472152466367623,-1.372035874439458
2025-07-10,LEU,729.6631686849,TRAIN-H2,0,0,0,0,0,1,0,0,0,1,0,-1.1019641791044772,-1.2452328358208955
