symbol,bar_date,p_open,p_high,p_low,p_close,p_vol,a_open,a_high,a_low,a_close,a_vol,d_open,d_high,d_low,d_close,d_vol
VUZI,2024-11-29,2.12,2.49,2.1,2.31,2196101.0,2.12,2.49,2.1,2.31,2196101.0,0.0,0.0,0.0,0.0,0.0
ENVX,2024-12-03,10.0,10.28,9.536,9.89,4939021.0,10.0,10.28,9.536,9.89,4939021.0,0.0,0.0,0.0,0.0,0.0
XHLF,2024-12-30,50.17,50.17,50.16,50.16,288577.0,50.17,50.17,50.16,50.16,288577.0,0.0,0.0,0.0,0.0,0.0
BLDP,2024-12-31,1.67,1.74,1.64,1.66,10780272.0,1.67,1.74,1.64,1.66,10780272.0,0.0,0.0,0.0,0.0,0.0
ATCH,2024-12-10,0.2192,0.2353,0.2158,0.2344,901124.0,0.2192,0.2353,0.2158,0.2344,901124.0,0.0,0.0,0.0,0.0,0.0
HAFN,2024-11-12,5.21,5.23,5.125,5.17,2829365.0,5.21,5.23,5.125,5.17,2829365.0,0.0,0.0,0.0,0.0,0.0
JELD,2024-11-05,10.54,10.85,8.9,9.92,5594921.0,10.54,10.85,8.9,9.92,5594921.0,0.0,0.0,0.0,0.0,0.0
MSM,2024-12-31,73.26,75.26,73.185,74.69,673971.0,73.26,75.26,73.185,74.69,673971.0,0.0,0.0,0.0,0.0,0.0
QCRH,2024-12-31,81.27,81.39,80.32,80.64,52684.0,81.27,81.39,80.32,80.64,52684.0,0.0,0.0,0.0,0.0,0.0
AXIL,2024-12-31,3.8,3.8731,3.75,3.86,3869.0,3.8,3.8731,3.75,3.86,3869.0,0.0,0.0,0.0,0.0,0.0
DYAI,2024-12-30,2.0,2.0288,1.73,1.78,310742.0,2.0,2.0288,1.73,1.78,310742.0,0.0,0.0,0.0,0.0,0.0
MARZ,2024-12-31,31.435,31.435,31.3541,31.3541,529.0,31.435,31.435,31.3541,31.3541,529.0,0.0,0.0,0.0,0.0,0.0
INCR,2024-12-30,1.58,1.58,1.5359,1.57,29814.0,1.58,1.58,1.5359,1.57,29814.0,0.0,0.0,0.0,0.0,0.0
PICK,2024-12-31,34.86,35.17,34.85,34.99,211214.0,34.86,35.17,34.85,34.99,211214.0,0.0,0.0,0.0,0.0,0.0
ENVX,2024-12-11,9.5,9.61,9.065,9.38,3741482.0,9.5,9.61,9.065,9.38,3741482.0,0.0,0.0,0.0,0.0,0.0
QQEW,2024-12-31,125.9,125.9,124.48,124.96,42963.0,125.9,125.9,124.48,124.96,42963.0,0.0,0.0,0.0,0.0,0.0
