symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day
BCTX,2025-04-17,09:42:00,4.27,4.20,4.43,10000,09:46:00,4.43,target,1654.00,3.87,6,0.0700,0.1750,2.50,700.00,4.40,27.89,2,2445,1658,0.1793,4.20,4.26,4.27,4.27,4.27,4.27,5054,4.03,4.63,3.93,4.29,502873,17.81,360613,1.39,,6410373,12,1
TVRD,2025-04-17,10:41:00,19.01,18.80,18.33,9523,10:43:00,18.33,target,-6523.25,-3.60,3,0.2100,0.5250,2.50,1999.83,7.69,-8.00,3,529,185,1.2500,17.60,17.80,19.01,19.01,19.01,19.01,362,17.96,19.80,15.13,17.04,38248,30.86,47909,0.80,,6461494,71,2
WTF,2025-04-21,10:16:00,7.65,7.58,7.54,10000,10:17:00,7.58,stop,-700.00,-0.92,3,0.0700,0.1750,2.50,700.00,7.24,10.07,2,14401,5568,0.4965,7.30,7.36,7.65,7.65,7.50,7.58,9716,6.80,7.79,6.60,7.04,323597,17.99,75620,4.28,,6348051,46,1
UPC,2025-04-22,11:17:00,3.92,3.82,4.13,10000,11:42:00,3.82,stop,-1000.00,-2.55,12,0.1000,0.2500,2.50,1000.00,5.52,15.00,2,1036,222,0.2000,3.79,3.88,3.92,3.92,3.92,3.92,365,3.57,4.08,3.57,3.61,203752,14.29,1369,148.83,,559873,107,2
WTF,2025-04-22,09:56:00,7.58,7.44,7.93,10000,10:24:00,7.44,stop,-1388.00,-1.83,28,0.1388,0.3470,2.50,1388.00,4.79,36.16,3,2989,514,0.3465,7.45,7.58,7.55,7.60,7.48,7.60,8662,7.25,8.27,7.10,7.55,457339,16.42,75620,6.05,,6348051,26,2
MIND,2025-04-23,09:55:00,7.00,6.97,7.07,10000,09:56:00,7.07,target,650.00,0.93,3,0.0400,0.1000,2.50,400.00,3.53,41.67,2,10797,6788,0.2400,6.94,6.97,7.00,7.00,6.95,6.97,6685,6.60,7.45,6.50,6.88,1449386,14.62,173548,8.35,,8869883,25,1
MSGM,2025-04-23,10:03:00,2.35,2.33,2.34,10000,10:04:00,2.34,target,-75.00,-0.32,3,0.0250,0.0625,2.50,250.00,3.15,-8.70,2,712,291,0.0690,2.27,2.28,2.35,2.47,2.35,2.43,10776,2.21,2.47,2.10,2.27,288879,17.62,48474,5.96,,2566496,33,1
SCLX,2025-04-23,10:24:00,4.58,4.55,4.64,10000,10:37:00,4.64,target,647.50,1.41,10,0.0299,0.0748,2.50,299.00,3.16,35.44,2,2755,239,0.1408,4.55,4.57,4.58,4.58,4.58,4.58,704,3.80,4.94,3.80,4.06,288738,30.00,32050,9.01,,3692723,54,1
SNOA,2025-04-23,15:00:00,3.99,3.91,4.19,10000,15:14:00,3.91,stop,-800.00,-2.01,16,0.0800,0.2000,2.50,800.00,5.23,49.97,2,66597,63421,0.1999,3.92,3.99,3.95,4.02,3.95,3.99,71868,4.10,4.20,3.52,3.95,58903247,19.32,2484,23713.06,,1709673,330,3
ECOR,2025-04-24,10:26:00,7.13,7.04,7.31,10000,10:39:00,7.04,stop,-900.00,-1.26,13,0.0900,0.2250,2.50,900.00,3.82,19.23,3,1613,1556,0.2600,7.01,7.09,7.13,7.15,7.10,7.10,712,6.69,7.69,6.59,7.55,116967,16.69,24477,4.78,,5036060,56,1
ELAB,2025-04-25,11:13:00,2.68,2.55,3.01,10000,11:20:00,2.55,stop,-1339.95,-5.00,12,0.1340,0.3350,2.50,1339.95,15.81,45.95,2,32406,30166,0.3700,2.54,2.68,2.58,2.70,2.58,2.62,22408,2.26,2.71,2.21,2.26,816920,22.62,58943,13.86,,30843,103,1
ULY,2025-04-25,14:43:00,5.63,5.60,5.65,10000,14:44:00,5.65,target,150.00,0.27,3,0.0300,0.0750,2.50,300.00,12.45,35.94,5,3430,2774,0.6400,5.55,5.57,5.63,5.63,5.63,5.63,271,4.74,7.73,4.62,7.64,223778,67.32,907784,0.25,,2110450,313,2
WTO,2025-04-25,11:23:00,2.09,2.06,2.13,10000,11:24:00,2.06,stop,-299.00,-1.43,3,0.0299,0.0748,2.50,299.00,4.61,-0.11,2,1659,1009,0.0899,2.04,2.06,2.09,2.15,2.07,2.13,17732,1.66,2.30,1.66,2.05,1184107,38.55,1491976,0.79,,41969,113,2
UPC,2025-04-28,14:32:00,6.49,6.27,7.00,9090,14:34:00,6.27,stop,-1999.80,-3.39,4,0.2200,0.5500,2.50,1999.80,12.82,48.00,2,76971,42424,0.7500,6.24,6.45,6.49,6.50,6.32,6.40,40916,4.68,6.93,4.30,5.95,6983438,61.16,1369,5101.12,,559873,302,1
COEP,2025-04-29,11:04:00,11.15,11.04,11.30,10000,11:05:00,11.04,stop,-1100.00,-0.99,4,0.1100,0.2750,2.50,1100.00,8.18,28.88,2,2229,1428,0.8453,10.93,11.03,11.15,11.15,11.15,11.15,260,8.68,11.17,7.41,9.92,287436,50.80,68479,4.20,,4428073,94,1
AEYE,2025-04-30,09:43:00,11.22,10.74,12.42,4166,14:48:00,10.74,stop,-1999.68,-4.28,91,0.4800,1.2000,2.50,1999.68,8.95,-47.07,2,6289,3022,0.8498,10.75,11.22,10.99,11.69,10.82,10.82,15330,9.51,12.40,9.50,10.85,280298,30.53,338830,0.83,,8448282,13,1
DFSC,2025-04-30,10:34:00,4.39,4.32,4.58,10000,14:01:00,4.32,stop,-743.00,-1.69,67,0.0743,0.1858,2.50,743.00,4.53,28.95,2,3838,2094,0.1900,4.33,4.39,4.39,4.42,4.39,4.42,1509,4.40,4.54,4.05,4.42,125177,12.10,30365,4.12,,1618864,64,1
RAY,2025-04-30,11:17:00,2.29,2.23,2.44,10000,11:57:00,2.44,target,1477.50,6.45,19,0.0591,0.1477,2.50,591.00,4.11,44.44,2,9868,3828,0.0900,2.24,2.29,2.28,2.33,2.28,2.31,2392,2.35,2.44,1.99,2.31,1151065,22.61,23673,48.62,,1631740,107,2
