symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
HBIO,2026-03-16,09:48:00,4.90,4.79,5.04,5224,10:19:00,5.11,trail_stop,1098.14,4.29,29,0.1194,0.1395,2.50,623.75,3.75,34.55,2,2427,670,0.1757,4.79,4.84,4.88,4.92,4.84,4.92,4403,4.45,5.25,4.45,5.01,185877,17.96,362067,0.51,,3499044,18,2,2.74,839.81,False,-0.01,2,3.75,3.12,1.80,1.80,0.00,0.30,0.30,0.00,0.00,1.800,1.176,0.20,0.00,930.62,6.572,1.176
OKLS,2026-03-17,09:57:00,15.08,14.59,15.86,1161,12:18:00,16.06,trail_stop,1129.88,6.45,130,0.4940,0.7750,2.50,573.59,6.22,29.89,5,14099,5212,0.8700,14.60,14.90,15.01,15.01,14.97,14.97,12591,13.50,16.60,13.03,15.93,1224407,27.40,578308,2.12,,3970040,27,2,4.65,-17.83,False,0.04,3,6.22,5.75,2.00,2.00,0.30,0.00,0.30,0.00,0.20,2.000,1.090,0.20,0.00,15.20,2.416,1.090
LONA,2026-03-18,13:21:00,9.22,9.05,9.52,3126,13:32:00,9.02,stop,-605.52,-2.10,10,0.1666,0.3017,2.50,520.65,5.23,41.30,2,2546,462,0.4600,9.06,9.17,9.13,9.26,9.13,9.26,1350,11.28,14.21,8.62,9.78,464125,64.85,57921,8.01,,5616852,231,9,-26.13,-0.18,False,-0.05,2,5.23,-25.67,2.90,1.80,0.30,0.30,0.30,0.00,0.00,2.900,1.036,0.00,0.00,61.66,2.925,1.036
SLNG,2026-03-20,10:12:00,4.38,4.26,4.53,2877,10:16:00,4.55,trail_stop,480.68,3.81,6,0.1246,0.1500,2.50,358.51,7.50,-6.75,3,2238,1167,0.2964,4.27,4.32,4.36,4.42,4.30,4.40,4495,3.83,4.75,3.83,4.44,455615,24.02,47995,9.49,,3305678,42,2,5.43,1.59,False,-0.11,3,7.50,6.52,2.30,2.00,0.30,0.30,0.30,0.00,0.20,2.300,1.063,0.20,0.00,15.78,3.853,1.063
CIFG,2026-03-23,10:02:00,7.37,7.14,7.62,3600,10:50:00,7.12,stop,-893.05,-3.37,25,0.2266,0.2500,2.50,815.94,4.26,-20.69,2,1992,724,0.2900,7.15,7.24,7.33,7.33,7.33,7.33,575,6.51,7.50,6.51,7.02,119660,15.19,112486,1.06,,160910,32,2,5.85,4.57,False,,3,4.26,7.38,2.00,2.00,0.00,0.00,0.30,0.30,0.20,2.000,1.446,0.20,0.00,16.20,0.794,1.446
RDGT,2026-03-23,13:12:00,3.29,3.17,3.49,1984,13:13:00,3.16,stop,-249.71,-3.83,3,0.1163,0.2030,2.50,230.84,8.34,35.77,2,3893,1407,0.2516,3.18,3.25,3.27,3.27,3.27,3.27,761,3.13,4.68,1.36,3.58,1746943,244.12,66150,26.41,,34283,222,9,13.28,3.30,False,,2,8.34,14.49,2.40,1.00,0.30,0.30,0.30,0.30,0.00,2.400,1.446,0.20,0.00,244.12,0.541,1.446
CVV,2026-03-24,11:23:00,5.10,4.90,5.55,1624,15:45:00,5.15,force_close,73.74,0.89,244,0.2046,0.4480,2.50,332.26,7.59,36.58,3,68096,45785,0.3554,4.91,5.08,5.00,5.08,4.97,5.07,23078,4.06,5.35,3.94,5.13,10015258,35.79,56570,177.04,,5294428,113,2,7.59,8.85,False,,3,7.59,8.10,1.80,1.80,0.30,0.00,0.00,0.30,0.00,1.800,1.458,0.20,0.00,35.65,0.504,1.458
MRLN,2026-03-24,11:04:00,11.88,11.54,12.58,675,11:15:00,12.56,trail_stop,461.03,5.75,16,0.3391,0.7000,2.50,228.89,7.91,36.77,5,43156,20318,0.8699,11.55,11.82,11.66,12.39,11.66,12.30,25785,10.20,12.94,10.03,12.32,3177387,29.00,521448,6.09,,28637721,94,3,8.65,4.51,False,,3,7.91,8.86,2.10,1.00,0.30,0.00,0.30,0.30,0.00,2.100,1.458,0.20,0.00,21.52,1.269,1.458
EDHL,2026-03-25,12:31:00,3.64,3.48,4.00,3355,15:14:00,3.46,stop,-581.51,-4.76,26,0.1629,0.3620,2.50,546.53,7.36,25.00,2,3653,1808,0.2400,3.44,3.62,3.62,3.62,3.62,3.62,414,3.00,3.85,2.90,3.32,155909,32.66,357096,0.44,,541273,181,2,11.87,-2.60,False,,2,7.36,12.30,3.00,1.80,0.30,-0.30,0.30,0.30,0.20,3.000,1.428,0.20,0.00,25.17,0.229,1.428
FLYT,2026-03-25,09:52:00,13.57,12.80,14.90,607,10:38:00,14.71,trail_stop,690.49,8.38,46,0.7707,1.3330,2.50,467.81,5.67,22.79,9,3155,714,0.6800,12.53,13.33,13.50,14.00,13.50,13.80,7150,11.65,15.67,11.65,15.02,305760,34.51,111643,2.74,,400010,22,5,2.06,5.91,False,,3,5.67,3.36,2.00,1.80,0.30,-0.30,0.30,0.30,0.20,2.000,1.428,0.20,0.00,21.18,10.009,1.428
MKDW,2026-03-25,09:59:00,3.66,3.52,3.96,3000,10:29:00,3.95,trail_stop,875.75,7.98,33,0.1381,0.2997,2.50,414.30,9.06,26.67,2,7849,1487,0.3000,3.53,3.64,3.59,3.75,3.59,3.69,5478,3.27,5.53,3.25,5.23,2291741,70.15,259956,8.82,,635682,29,2,7.41,6.51,False,,2,9.06,6.54,2.00,2.00,0.00,0.00,0.30,0.30,0.20,2.000,1.428,0.20,0.00,17.26,3.684,1.428
QNTM,2026-03-25,10:22:00,4.87,4.74,5.02,5130,10:28:00,4.73,stop,-758.04,-3.03,7,0.1335,0.1500,2.50,685.09,5.69,30.77,2,6544,5309,0.2600,4.75,4.80,4.85,4.85,4.81,4.81,1970,4.77,5.65,4.21,4.35,1172667,34.20,487866,2.40,,5961427,52,3,-4.03,0.63,False,,3,5.69,-2.55,1.90,1.80,0.30,0.30,0.00,0.30,0.00,1.900,1.428,0.00,0.00,34.20,0.371,1.428
SBDS,2026-03-25,12:18:00,3.77,3.62,4.09,3183,12:19:00,3.61,stop,-508.04,-4.24,3,0.1487,0.3250,2.50,473.47,7.19,-20.82,2,4392,1961,0.2401,3.63,3.75,3.71,3.92,3.68,3.92,2805,3.17,3.92,3.04,3.62,123227,28.95,64089,1.92,Consumer Cyclical,1308767,168,4,11.88,-1.25,False,,2,7.19,11.62,2.30,2.00,0.30,0.00,0.30,0.30,0.20,2.300,1.428,0.20,0.00,18.67,1.430,1.428
SBDS,2026-03-25,12:21:00,3.80,3.62,4.12,2863,14:29:00,3.61,stop,-543.28,-5.00,32,0.1789,0.3250,2.50,512.19,7.19,-20.82,3,4392,1412,0.2401,3.63,3.75,3.78,3.78,3.78,3.78,365,3.17,3.92,3.04,3.62,123227,28.95,64089,1.92,Consumer Cyclical,1308767,171,4,10.62,-1.25,False,,2,7.19,11.99,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,1.428,0.20,0.00,24.05,0.258,1.428
MKDW,2026-03-26,09:51:00,6.13,5.86,6.73,1354,10:11:00,6.66,trail_stop,720.02,8.68,25,0.2691,0.5965,2.50,364.35,17.99,24.72,3,12404,4771,0.9299,5.87,6.10,6.06,6.15,6.06,6.13,2806,5.25,7.80,5.00,7.80,1090072,56.00,370929,2.94,,635682,21,4,5.43,0.38,False,,2,17.99,5.67,2.00,1.80,0.00,0.30,0.30,0.00,0.20,2.000,1.148,0.20,0.00,34.17,0.588,1.148
QNTM,2026-03-27,11:35:00,4.05,3.83,4.45,2028,14:01:00,4.29,trail_stop,491.15,5.98,71,0.2197,0.3990,2.50,445.65,6.57,49.98,7,4325,791,0.2399,3.77,3.99,4.03,4.03,4.03,4.03,1920,3.71,4.98,3.51,4.77,463498,41.88,557806,0.83,,5961427,125,1,7.21,-3.13,False,,2,6.57,8.60,1.80,2.00,0.30,-0.30,0.30,0.30,0.00,1.800,1.224,0.20,0.00,15.10,2.427,1.224
FGI,2026-03-30,12:49:00,3.61,3.54,3.71,691,12:52:00,3.52,stop,-57.74,-2.32,3,0.0729,0.1048,2.50,50.41,7.59,27.48,5,1510,274,0.2551,3.54,3.58,3.59,3.59,3.57,3.59,1653,4.08,4.33,3.34,3.63,3775488,29.64,23098,163.46,,534383,199,5,-2.57,6.81,False,,2,7.59,-1.72,2.40,1.00,0.30,0.30,0.30,0.30,0.20,2.400,1.360,0.00,0.00,23.46,6.024,1.360
VATE,2026-03-30,09:46:00,5.31,5.16,5.60,969,15:51:00,5.42,force_close,114.92,2.24,87,0.1464,0.2967,2.50,141.86,7.06,45.95,2,10658,1002,0.3515,5.17,5.28,5.28,5.28,5.28,5.28,219,4.82,5.58,4.82,5.50,140000,15.77,16195,8.64,,4333612,16,1,3.38,5.01,False,,2,7.06,3.87,2.10,2.00,0.30,0.00,0.30,0.30,0.00,2.100,1.360,0.20,0.00,15.47,0.219,1.360
PLYX,2026-03-31,12:32:00,8.02,7.90,8.22,2586,12:52:00,7.88,stop,-371.35,-1.79,16,0.1199,0.2000,2.50,310.06,3.91,23.33,6,3181,1867,0.3000,7.91,7.98,7.98,8.00,7.95,7.96,1433,6.57,8.10,6.57,7.56,418117,23.29,2353467,0.18,,4275100,182,6,7.61,-0.61,False,,2,3.91,8.08,2.30,1.00,0.00,0.30,0.30,0.30,0.20,2.300,1.609,0.20,0.00,21.46,0.768,1.609
