day,symbol,m
2026-05-15,NVDG,578
2026-05-15,NVDX,578
2026-05-15,NVTS,576
2026-05-15,PPTA,582
2026-05-15,QBTX,585
2026-05-15,QUBX,576
2026-05-15,RUM,584
2026-05-15,SMCX,581
2026-05-15,SPRY,595
2026-05-15,XNDU,599
2026-05-18,BRUN,578
2026-05-18,HIMZ,579
2026-05-19,AIIO,582
2026-05-19,ARMG,619
2026-05-19,IRE,582
2026-05-19,NBIG,585
2026-05-19,QCML,601
2026-05-19,TE,579
2026-05-20,SNDQ,585
2026-05-21,POET,590
2026-05-26,CRBP,604
2026-05-26,SNDQ,577
2026-05-28,MSTU,576
2026-05-29,INV,582
2026-05-29,ONDL,576
2026-05-29,PLTZ,577
2026-05-29,RCAX,577
2026-05-29,SNDQ,593
2025-01-03,PDYN,900
2025-01-06,MNSO,900
2025-01-06,NVD,945
2025-01-08,ALTS,639
2025-01-08,ARQQ,779
2025-01-08,ATOM,900
2025-01-08,OKLO,945
2025-01-08,RCAT,900
2025-01-08,SOUN,900
2025-01-10,ACHR,900
2025-01-10,XXII,900
2025-01-13,BTDR,591
2025-01-13,IONQ,945
2025-01-13,QMCO,900
2025-01-13,QUBT,900
2025-01-15,MSTZ,900
2025-01-16,RGTI,589
2025-01-17,RGTI,945
2025-01-21,IREN,668
2025-01-21,SMX,900
2025-01-23,RGTIW,944
2025-01-27,CLSK,588
2025-01-27,MXL,945
2025-01-27,NTRB,598
2025-01-27,NXE,945
2025-01-27,SERV,945
2025-01-27,SMR,945
2025-01-28,JBLU,945
2025-01-28,XIFR,945
2025-02-03,BKKT,609
2025-02-03,LUNR,621
2025-02-03,NSSC,945
2025-02-03,QBTS,579
2025-02-03,QUBT,634
2025-02-03,TSSI,577
2025-02-06,LSPD,945
2025-02-07,GMEX,945
2025-02-07,SBIT,600
2025-02-13,KC,659
2025-02-18,AUR,901
2025-02-19,KOLD,622
2025-02-20,ARDX,698
2025-02-21,DBX,945
2025-02-21,GCL,945
2025-02-24,HSAI,945
2025-02-25,AIFF,629
