day,symbol,m
2026-01-09,PCRX,576
2026-01-09,SMX,576
2026-01-12,NBY,576
2026-01-12,SDEV,576
2026-01-14,LABX,577
2026-01-15,ADUR,593
2026-01-20,APPX,578
2026-01-20,BTQ,588
2026-01-20,FLNC,587
2026-01-20,MSTU,588
2026-01-20,SMCX,576
2026-01-20,XRPT,610
2026-01-20,XXRP,610
2026-01-21,KOLD,604
2026-01-21,UVIX,588
2026-01-22,KOLD,606
2026-01-23,NUAI,601
2026-01-26,ROLR,579
2026-01-27,QBTZ,576
2026-01-29,CRML,598
2026-01-29,LC,630
2026-01-29,SMU,583
2026-01-29,USAR,600
2026-01-29,XXRP,577
2026-01-30,CLSX,600
2026-01-30,IE,595
2026-01-30,KOLD,610
2026-01-30,RKT,576
2026-01-30,UUUG,628
2026-01-30,UWMC,576
2026-02-02,ROLR,590
2026-02-02,SOC,590
2026-02-03,GMEU,580
2026-02-03,GPK,589
2026-02-04,ETHT,599
2026-02-04,ETHU,599
2026-02-04,XXRP,598
2026-02-05,BITU,596
2026-02-05,BITX,596
2026-02-05,CLSK,601
2026-02-05,CLSX,601
2026-02-05,CONL,593
2026-02-05,CONY,595
2026-02-05,ELIL,586
2026-02-05,HOOW,600
2026-02-05,IMSR,614
2026-02-05,IONL,602
2026-02-05,IONX,601
2026-02-05,IRE,606
2026-02-05,IREX,606
2026-02-05,LLYX,586
2026-02-05,MARA,600
2026-02-05,MSTW,592
2026-02-05,MSTY,592
2026-02-05,NBIG,601
2026-02-05,NBIL,601
2026-02-05,NEBX,602
2026-02-05,NVOX,592
2026-02-05,ONDG,601
2026-02-05,OSS,613
2026-02-05,ROBN,599
2026-02-05,UMAC,598
2026-02-06,BTCZ,577
2026-02-06,CORD,577
2026-02-06,GDXD,578
2026-02-06,NVD,579
2026-02-06,NVDQ,579
2026-02-09,ARMG,576
2026-02-09,ASST,576
2026-02-09,CLF,579
2026-02-09,RGTX,576
2026-02-10,ETHT,578
2026-02-11,FRSH,584
2026-02-11,ROBN,576
2026-02-11,U,577
2026-02-12,SMX,584
2026-02-12,UTZ,578
2026-02-13,MSTZ,576
2026-02-17,HLMN,577
2026-02-17,IREX,586
2026-02-18,VECO,576
2026-02-19,BTDR,576
2026-02-20,CC,580
2026-02-20,CRWU,588
2026-02-23,APPX,577
2026-02-23,CONL,576
2026-02-23,SMU,580
2026-02-24,APLS,576
2026-02-24,FULC,615
2026-02-25,CWH,577
2026-02-25,DRVN,576
2026-02-25,LUNR,628
2026-02-25,ODD,578
2026-02-25,VRRM,580
2026-02-26,ACAD,582
2026-02-26,ARRY,585
2026-02-26,IONZ,587
2026-02-26,QURE,576
2026-02-27,DNA,576
2026-02-27,ETHT,585
2026-02-27,FIP,594
2026-02-27,IONL,619
2026-02-27,IREX,590
2026-02-27,QBTX,604
2026-02-27,ROBN,583
