trade_date,symbol,order_status,entry_price,fill_price,shares,pnl,exit_reason,entry_quote_bid,entry_quote_ask,entry_fill_quote_bid,entry_fill_quote_ask,reject_reason,range_high,range_low,elected,window_high,window_low,cap,overshoot_bps
2026-06-25,AIBZ,closed,8.98,8.978849,1538,-163.25716200000042,force_close,8.62,8.75,8.89,9.15,,8.95,8.65,1.0,9.15,8.56,8.98,189.30957683741534
2026-06-25,BTX,time_stop_canceled,9.25,,1493,,,,,,,,9.22,8.87,0.0,9.1,8.92,9.25,-162.16216216216273
2026-06-25,EHGO,closed,4.66,4.659997,2962,-1291.719313999998,stop_loss_market_fallback,4.54,4.59,4.67,4.69,,4.65,4.33,1.0,4.75,4.19,4.66,193.13304721030102
2026-06-25,ETHU,time_stop_canceled,12.32,,1121,,,,,,,,12.28,12.06,0.0,12.121,10.76,12.32,-161.52597402597334
2026-06-26,MUD,time_stop_canceled,10.04,,1375,,,,,,,,10.01,9.782,0.0,9.99,9.45,10.04,-49.80079681274785
2026-06-26,SOLT,closed,28.61,28.59,482,756.7400000000001,tag_bb,28.28,28.37,28.6,28.68,,28.52,28.15,1.0,30.81,28.4,28.61,768.9619014330651
2026-06-26,SSG,time_stop_canceled,12.93,,870,,,,,,,,12.8899,12.6,0.0,12.86,12.3808,12.93,-54.13766434648082
2026-06-26,TECS,time_stop_canceled,7.38,,1871,,,,,,,,7.3599,7.19,0.0,7.32,6.99,7.38,-81.30081300812941
2026-06-29,BKSY,closed,27.23,27.14643,507,-489.92930999999965,stop_loss,26.77,27.12,26.9,27.37,,27.15,26.12,1.0,27.37,26.105,27.23,51.413881748072484
2026-06-29,IRE,closed,19.4,19.367306,712,-667.3618719999997,stop_loss_market_fallback,19.17,19.23,19.12,19.19,,19.34,18.635,1.0,19.3685,15.5,19.4,-16.237113402061134
2026-06-29,KOLD,closed,23.2,23.13,595,184.45000000000135,tag_bb,23.05,23.06,23.12,23.13,,23.13,23.0,1.0,23.465,22.97,23.2,114.22413793103381
2026-06-29,RCAT,closed,9.98,9.98,1384,-345.8616000000003,stop_loss_market_fallback,9.94,9.95,9.85,9.86,,9.95,9.71,1.0,9.99,9.56,9.98,10.020040080160886
2026-06-30,CAST,closed,6.33,6.33,2182,157.8284240000006,lock_stop,6.15,6.2,6.4,6.44,,6.31,6.1006,1.0,6.83,6.0,6.33,789.8894154818325
2026-06-30,GMAB,time_stop_canceled,28.26,,398,,,,,,,,28.18,27.87,0.0,27.99,27.34,28.26,-95.54140127388644
2026-06-30,MSTZ,closed,16.23,16.19,851,-610.8478000000003,stop_loss,16.09,16.11,16.16,16.18,,16.18,15.47,1.0,16.46,15.155,16.23,141.71287738755422
2026-06-30,REPL,time_stop_canceled,12.54,,1101,,,,,,,,12.5,11.705,0.0,12.44,10.97,12.54,-79.7448165869219
2026-07-01,PLTU,closed,27.87,27.8,495,470.24999999999966,tag_bb,27.57,27.61,27.86,27.88,,27.79,26.4,1.0,29.1286,27.55,27.87,451.5966989594533
2026-07-01,SSG,closed,12.32,12.3,913,-247.24040000000116,stop_loss,12.27,12.28,12.3,12.31,,12.28,12.0408,1.0,12.335,11.9901,12.32,12.175324675325339
2026-07-01,TALO,closed,13.89,13.888701,809,-200.79460899999992,stop_loss,13.77,13.85,13.88,13.93,,13.8499,13.65,1.0,14.17,13.5269,13.89,201.5838732901365
2026-07-01,TECS,closed,6.62,6.61,1699,-254.8500000000006,stop_loss,6.58,6.59,6.61,6.62,,6.6,6.4623,1.0,6.62,6.4001,6.62,0.0
2026-07-02,CMBT,closed,14.88,14.85,755,-86.82500000000016,stop_loss,14.8,14.82,14.85,14.86,,14.84,14.73,1.0,14.98,14.77,14.88,67.20430107526765
2026-07-02,ETHT,closed,8.74,8.74,1581,-154.30559999999986,force_close,8.7,8.71,8.73,8.75,,8.71,8.4201,1.0,8.86,8.615,8.74,137.29977116704762
2026-07-02,SHNY,closed,8.64,8.64,1302,-195.16980000000078,stop_loss,8.6,8.61,8.63,8.64,,8.61,8.5,1.0,8.698,8.53,8.64,67.12962962962976
