symbol,ts,open,high,low,close,volume,trade_count,vwap
ATEX,2026-09-15 17:19:00+00:00,77.35,77.35,77.28,77.28,648.0,17.0,77.326271
ACMR,2026-09-15 17:15:00+00:00,63.67,63.7,63.67,63.7,676.0,26.0,63.685748
ACMR,2026-09-15 17:16:00+00:00,63.7,63.7,63.64,63.7,2501.0,53.0,63.683051
ACMR,2026-09-15 17:17:00+00:00,63.705,63.705,63.705,63.705,1457.0,43.0,63.705
ACMR,2026-09-15 17:19:00+00:00,63.745,63.745,63.745,63.745,690.0,30.0,63.745
ACMR,2026-09-15 17:20:00+00:00,63.84,63.84,63.74,63.74,749.0,32.0,63.773333
ACM,2026-09-15 17:15:00+00:00,64.965,64.965,64.965,64.965,287.0,22.0,64.965
ACM,2026-09-15 17:16:00+00:00,64.975,65.02,64.975,65.0,2521.0,42.0,65.016653
ACM,2026-09-15 17:17:00+00:00,65.03,65.03,64.98,65.02,1667.0,74.0,65.018462
ACM,2026-09-15 17:18:00+00:00,65.02,65.02,65.02,65.02,638.0,24.0,65.02
ACM,2026-09-15 17:19:00+00:00,65.02,65.02,65.02,65.02,544.0,38.0,65.02
ACM,2026-09-15 17:20:00+00:00,65.025,65.025,65.02,65.02,633.0,35.0,65.02125
ADIG,2026-09-15 17:15:00+00:00,20.555,20.555,20.555,20.555,321.0,6.0,20.555
ADIG,2026-09-15 17:17:00+00:00,20.555,20.555,20.44,20.44,1327.0,42.0,20.504143
AD,2026-09-15 17:15:00+00:00,38.095,38.095,38.095,38.095,206.0,8.0,38.095
AD,2026-09-15 17:16:00+00:00,38.12,38.12,38.11,38.11,910.0,36.0,38.116667
AD,2026-09-15 17:18:00+00:00,38.15,38.17,38.15,38.17,515.0,22.0,38.163333
AD,2026-09-15 17:20:00+00:00,38.15,38.15,38.15,38.15,275.0,8.0,38.15
AKTS,2026-09-15 17:15:00+00:00,22.51,22.51,22.47,22.47,956.0,33.0,22.4925
AKTS,2026-09-15 17:16:00+00:00,22.51,22.51,22.51,22.51,431.0,8.0,22.51
AKTS,2026-09-15 17:17:00+00:00,22.5,22.5,22.5,22.5,106.0,4.0,22.5
ALK,2026-09-15 17:15:00+00:00,39.99,40.045,39.99,40.03,3404.0,81.0,40.009024
ALK,2026-09-15 17:16:00+00:00,40.04,40.05,39.99,40.02,13432.0,135.0,40.022167
ALK,2026-09-15 17:17:00+00:00,40.02,40.02,39.99,40.0,3457.0,75.0,40.007857
ALK,2026-09-15 17:18:00+00:00,40.01,40.03,40.01,40.03,3577.0,87.0,40.021112
ALK,2026-09-15 17:19:00+00:00,40.02,40.05,40.02,40.05,5363.0,78.0,40.02325
ALK,2026-09-15 17:20:00+00:00,40.06,40.07,40.02,40.02,10563.0,128.0,40.049563
ANRO,2026-09-15 17:18:00+00:00,30.16,30.16,30.16,30.16,310.0,23.0,30.16
ANRO,2026-09-15 17:19:00+00:00,30.16,30.16,30.16,30.16,155.0,12.0,30.16
ATTO,2026-09-15 17:16:00+00:00,24.9,24.9,24.9,24.9,202.0,4.0,24.9
ATTO,2026-09-15 17:17:00+00:00,24.76,24.76,24.76,24.76,117.0,4.0,24.76
ATTO,2026-09-15 17:19:00+00:00,24.925,24.99,24.925,24.99,302.0,5.0,24.965
ATTO,2026-09-15 17:20:00+00:00,24.925,24.925,24.925,24.925,326.0,6.0,24.925
ACN,2026-09-15 17:15:00+00:00,197.23,197.24,197.18,197.18,3169.0,83.0,197.221358
ACN,2026-09-15 17:16:00+00:00,197.24,197.27,197.205,197.27,3472.0,95.0,197.241794
ACN,2026-09-15 17:17:00+00:00,197.28,197.4,197.27,197.38,6677.0,217.0,197.310669
ACN,2026-09-15 17:18:00+00:00,197.4,197.4,197.37,197.38,2465.0,89.0,197.385904
ACN,2026-09-15 17:19:00+00:00,197.38,197.38,197.27,197.27,3892.0,115.0,197.324776
ACN,2026-09-15 17:20:00+00:00,197.26,197.3,197.26,197.29,2443.0,92.0,197.278333
ALGN,2026-09-15 17:15:00+00:00,148.04,148.04,148.04,148.04,490.0,43.0,148.04
ALGN,2026-09-15 17:16:00+00:00,147.84,147.84,147.84,147.84,481.0,29.0,147.84
ALGN,2026-09-15 17:17:00+00:00,147.84,147.84,147.665,147.83,2559.0,100.0,147.724792
ALGN,2026-09-15 17:18:00+00:00,147.72,147.72,147.72,147.72,672.0,19.0,147.72
ALGN,2026-09-15 17:19:00+00:00,147.72,147.725,147.72,147.72,834.0,25.0,147.722475
ALGN,2026-09-15 17:20:00+00:00,147.73,147.73,147.73,147.73,403.0,24.0,147.73
ANET,2026-09-15 17:15:00+00:00,191.1,191.1,191.03,191.03,1749.0,73.0,191.053333
ANET,2026-09-15 17:16:00+00:00,191.15,191.27,191.11,191.27,2248.0,106.0,191.174418
ANET,2026-09-15 17:17:00+00:00,191.18,191.18,191.1278,191.15,1214.0,56.0,191.149491
ANET,2026-09-15 17:18:00+00:00,191.11,191.11,191.1,191.1,1307.0,78.0,191.105
ANET,2026-09-15 17:19:00+00:00,191.07,191.16,191.07,191.11,2301.0,98.0,191.123718
