symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
AIDX,2026-02-24,10:07:00,8.11,7.79,8.62,15562,10:24:00,7.77,stop,-8015.28,-4.23,False,,0,0.0,27.24,432316,-2.19,-16.26,False,-0.02,2,5.14,-0.87,2.5,1.8,0.3,-0.3,0.3,0.0,0.2,2.5,1.106,0.0,0.0,21.54,0.327,1.106,
LAW,2026-02-25,10:02:00,3.1,2.96,3.4,17816,11:06:00,2.95,stop,-3978.67,-4.8,False,,0,0.0,30.2,494942,13.01,-12.27,False,0.11,3,10.81,12.1,2.4,1.8,0.0,-0.3,0.0,0.3,0.2,2.4,1.288,0.2,0.0,25.71,1.998,1.288,
ANPA,2026-02-27,10:14:00,11.04,10.55,12.14,12000,10:16:00,10.52,stop,-7824.75,-4.73,False,,0,0.0,36.84,539950,3.6,-1.48,False,0.05,2,15.2,4.1,2.5,1.8,0.0,0.0,0.3,0.0,0.0,2.5,1.018,0.2,0.0,36.84,0.441,1.018,
QCLS,2026-03-06,10:20:00,3.97,3.79,4.36,6560,10:48:00,4.36,partial+target,2804.4,7.18,True,4.15,3280,590.4,45.76,328015,4.82,-2.59,False,-0.08,2,7.5,5.24,2.5,1.0,0.3,-0.3,0.0,0.3,0.0,2.5,1.5,0.2,0.0,20.87,0.859,1.5,
EDHL,2026-03-13,10:13:00,3.64,3.51,3.84,8420,10:44:00,3.63,partial+breakeven,752.0,1.64,True,3.77,4210,547.3,34.46,210545,3.31,8.67,False,0.12,2,8.78,4.68,2.0,2.0,0.3,0.3,0.0,0.0,0.2,2.0,1.048,0.2,0.0,18.15,0.216,1.048,
HBIO,2026-03-16,09:48:00,4.9,4.79,5.04,13033,09:59:00,5.04,partial+target,2443.71,2.55,True,5.01,6516,716.76,17.96,362067,2.74,839.81,False,-0.01,2,3.75,3.12,1.8,1.8,0.0,0.3,0.3,0.0,0.0,1.8,1.176,0.2,0.0,930.62,6.572,1.176,
QNTM,2026-03-25,10:22:00,4.87,4.74,5.02,17562,10:28:00,4.73,stop,-3799.18,-2.96,False,,0,0.0,34.2,487866,-4.03,0.63,False,,3,5.69,-2.55,1.9,1.8,0.3,0.3,0.0,0.3,0.0,1.9,1.428,0.0,0.0,34.2,0.371,1.428,
MKDW,2026-03-26,09:51:00,6.13,5.86,6.73,13352,10:00:00,6.11,partial+breakeven,2519.62,2.05,True,6.4,6676,1802.52,56.0,370929,5.43,0.38,False,,2,17.99,5.67,2.0,1.8,0.0,0.3,0.3,0.0,0.2,2.0,1.148,0.2,0.0,34.17,0.588,1.148,
GLND,2026-04-01,09:47:00,8.22,8.02,8.62,20000,10:32:00,8.0,stop,-6721.8,-2.73,False,,0,0.0,22.31,1453348,3.59,-0.57,False,,3,6.79,4.01,2.6,2.0,0.3,0.3,0.3,0.3,0.2,2.6,1.799,0.2,0.0,18.37,1.683,1.799,
SMX,2026-04-07,10:19:00,8.95,8.8,9.23,22346,10:26:00,8.77,stop,-5912.75,-1.97,False,,0,0.0,44.35,1548990,-7.11,-14.46,False,,2,5.15,-6.54,2.9,1.0,0.3,0.3,0.3,0.0,0.0,2.9,1.172,0.0,0.0,36.54,2.101,1.172,
