day,symbol,em,net,why,split,i,entry,stop,r_pct,hmax_before,hmax_incl,ei_l,ei_o,ei_h,nxt_o,crossed_before,fill_below_bar_low,target_already_exceeded,target_exceeded_before
2025-02-10,CLS,571,0.0034143121936537,eod,TRAIN,1,130.0891,124.019999881169,4.665341,127.68,130.8724,127.1801,127.28,130.8724,130.8724,0,0,0,0
2025-02-10,DWTX,571,-1.117715187023258,stop,TRAIN,1,10.77222,10.500000000473461,2.5270557,10.75,11.2071,11.2071,11.2071,11.2071,10.741,0,1,0,0
2025-02-10,LUNRW,571,2.0,target,TRAIN,1,6.9207,6.849999997389,1.021573,7.27,7.35,7.29,7.35,7.35,7.3913,1,1,1,1
2025-02-10,MAZE,571,-1.1331388693748277,stop,TRAIN,1,13.42014,13.12000000485498,2.2364893,14.175,14.175,13.6,13.63,13.94,13.89,1,1,1,1
2025-02-11,GFS,571,1.2948759838929795,eod,TRAIN,1,37.85322,36.2699999887272,4.182524,38.28,39.37,38.0336,38.2,39.37,39.07,1,1,0,0
2025-02-11,HSAI,571,2.0,target,TRAIN,1,17.14127,16.809999992921288,1.9325873,18.2,18.2,17.5601,18.1995,18.1995,17.81,1,1,1,1
2025-02-11,IRBT,571,1.1633187437960084,eod,TRAIN,1,9.17745,8.82999999352755,3.7859101,9.1,9.3199,9.0023,9.06,9.3199,9.2588,0,0,0,0
2025-02-11,LTBR,571,-1.0878965691648674,stop,TRAIN,1,11.70501,11.3099999740791,3.374709,11.505,11.9196,11.435,11.435,11.9196,11.8737,0,0,0,0
2025-02-12,BBAI,571,2.0,target,TRAIN,1,8.024,7.550000013279999,5.907278,7.9,8.05,7.72,7.7507,8.05,7.9652,0,0,0,0
2025-02-12,ESAB,571,-1.1885452016716311,stop,TRAIN,1,123.08816,121.1399999953832,1.5827355,127.5,127.5,124.11,125.93,126.73,123.04,1,1,1,1
2025-02-12,LTBR,571,2.0,target,TRAIN,1,10.87252,10.30999999568448,5.1737776,10.89,11.05,10.76,10.78,11.05,11.015,1,0,0,0
2025-02-12,TRDA,571,1.6448957170958105,eod,TRAIN,1,12.27672,12.009999983490719,2.1725674,13.0,13.0,12.58,12.58,12.58,12.25,1,1,1,1
2025-02-13,BDMD,571,2.0,target,TRAIN,1,5.92773,5.79000000554901,2.3234863,6.16,6.16,5.95,5.95,5.95,6.01,1,1,0,0
2025-02-13,MYNZ,571,-1.1587886118447537,stop,TRAIN,1,7.60274,7.4600000010206,1.877481,7.5301,7.8,7.3,7.46,7.8,7.6883,0,0,0,0
2025-02-13,RFAC,571,2.0,target,TRAIN,1,8.6258,8.049999988666,6.675323,8.05,8.9,8.6,8.6,8.9,9.0,0,0,0,0
2025-02-13,YOSH,571,2.0,target,TRAIN,1,13.49035,12.99999999267825,3.6348205,13.23,13.5,12.8,12.94,13.5,13.81,0,0,0,0
2025-02-14,ATOM,571,-1.0478104097154135,stop,TRAIN,1,6.66995,6.259999999011501,6.146223,6.415,6.68,6.39,6.39,6.68,6.69,0,0,0,0
2025-02-14,BDMD,571,2.0,target,TRAIN,1,6.26875,6.1199999972375,2.3728814,6.12,6.8,6.34,6.514,6.8,6.57,0,1,1,0
2025-02-14,DUOT,571,2.0,target,TRAIN,1,7.34196,7.1199999944484,3.023171,7.6,7.6,7.5241,7.5241,7.6,7.51,1,1,0,0
2025-02-14,DWTX,571,-1.2628215367581992,stop,TRAIN,1,6.73013,6.54000000478616,2.8250568,6.54,6.99,6.5464,6.99,6.99,6.51,0,0,0,0
2025-02-18,HBNC,571,-0.0689093814745576,eod,TRAIN,1,17.2516,16.509999950287998,4.298732,17.485,17.485,16.8517,17.22,17.28,17.0,1,0,0,0
2025-02-18,BDMD,573,-1.1070635828219837,stop,TRAIN,1,6.45932,6.28000000121648,2.7761436,6.28,6.62,6.61,6.61,6.62,6.5886,0,1,0,0
2025-02-18,UVSP,577,-0.2150210433514517,eod,TRAIN,4,31.50423,27.7499997632007,11.916591,31.27,31.5776,31.0,31.0,31.5776,30.97,0,0,0,0
2025-02-18,WYHG,578,2.0,target,TRAIN,5,8.6258,8.360000001248599,3.0814533,8.6,8.8,8.6,8.76,8.8,8.8,0,0,0,0
2025-02-19,AVBP,571,2.0,target,TRAIN,1,26.28863,25.9699999745165,1.212045,25.97,27.93,26.23,27.93,27.93,26.87,0,0,1,0
2025-02-19,JG,573,-1.0505954370765822,stop,TRAIN,2,11.78525,11.100000032901999,5.8144712,11.27,11.8941,11.25,11.25,11.8941,11.4247,0,0,0,0
2025-02-19,KRYS,574,2.0,target,TRAIN,4,157.16006,147.9999906177018,5.828497,153.8,157.54,154.98,155.0,157.54,158.39,0,0,0,0
2025-02-19,QUAD,574,1.2891522915388265,eod,TRAIN,4,7.04106,6.4399999835106,8.536499,6.9,7.0489,6.8985,6.905,7.0489,7.08,0,0,0,0
2025-02-20,EQX,571,0.762850140217095,eod,TRAIN,1,6.8204,6.3799999925224,6.4570994,6.86,6.96,6.765,6.765,6.96,6.84,1,0,0,0
2025-02-20,ESAB,571,-1.1551239346400934,stop,TRAIN,1,125.50539,121.74999989865462,2.9922142,125.505,127.98,123.32,125.505,127.98,125.0,0,0,0,0
2025-02-20,SKBL,571,-1.116821809924556,stop,TRAIN,1,8.45529,8.239999993986569,2.5462167,8.4,8.7,8.7,8.7,8.7,8.6999,0,1,0,0
2025-02-20,ETON,572,-0.8318833996657822,eod,TRAIN,2,14.89455,14.1800999922945,4.796721,14.84,15.4299,15.4299,15.4299,15.4299,15.085,0,1,0,0
2025-02-21,JTAI,571,-1.065604851055071,stop,TRAIN,1,7.37205,7.03999998902865,4.5041747,7.62,7.62,7.11,7.5999,7.5999,7.5,1,0,0,0
2025-02-21,CGAU,572,-1.0444821995581808,stop,TRAIN,2,6.66995,6.2299999912808,6.5960016,6.59,6.8061,6.54,6.55,6.8061,6.64,0,0,0,0
2025-02-21,SOUNW,573,-1.079276940257174,stop,TRAIN,2,5.23566,5.04000000356364,3.7370646,5.06,5.329,5.18,5.18,5.329,5.15,0,0,0,0
2025-02-21,CVS,579,-0.5839741410062939,eod,TRAIN,9,65.28527,62.02170009070848,4.9989376,65.28,65.29,64.97,65.135,65.29,64.91,0,0,0,0
2025-02-24,AVBP,571,-1.2694213426097254,stop,TRAIN,1,27.15121,26.850000015106836,1.1093796,27.0,27.85,25.92,26.96,27.85,26.9806,0,0,1,0
2025-02-24,BDMD,571,-1.1652950930184889,stop,TRAIN,1,5.3159,5.2199999945019995,1.804022,5.22,5.5317,5.3,5.31,5.5317,5.31,0,0,1,0
2025-02-24,CSAI,571,-1.1018140267941745,stop,TRAIN,1,10.69198,10.379999998617599,2.917888,10.9,10.9,10.765,10.765,10.765,10.6,1,1,0,0
2025-02-24,GRAL,571,-1.0648131288823173,stop,TRAIN,1,40.85219,38.990000111916,4.55836,41.41,41.41,40.4719,40.95,41.0,41.0,1,0,0,0
2025-02-25,AVR,571,2.0,target,TRAIN,1,7.29181,7.059000007044,3.19276,7.63,7.65,7.65,7.65,7.65,7.43,1,1,0,0
2025-02-25,AXGN,571,1.0356890954533262,eod,TRAIN,1,18.06403,16.219999986790597,10.208298,17.36,18.44,17.26,17.305,18.44,18.44,0,0,0,0
2025-02-25,BBAI,571,-1.0810560684947452,stop,TRAIN,1,5.95782,5.74000000364736,3.6560352,5.9,6.1,5.772,5.815,6.1,6.0891,0,0,0,0
2025-02-25,DXF,571,2.0,target,TRAIN,1,13.38002,13.11000001070328,2.0180836,13.11,13.99,13.99,13.99,13.99,13.9499,0,1,1,0
2025-02-26,ARHS,571,-1.0399225649774162,stop,TRAIN,1,11.94573,11.070000001600798,7.330904,11.225,11.995,11.41,11.41,11.995,12.12,0,0,0,0
2025-02-26,CWH,571,-0.2453364720025438,eod,TRAIN,1,20.8624,20.0100000552192,4.0858192,20.69,21.076,20.465,20.6564,21.076,20.99,0,0,0,0
2025-02-26,JTAI,571,0.3154753990661963,eod,TRAIN,1,6.76022,6.36000001563314,5.9202213,6.5999,6.9,6.42,6.49,6.9,6.74,0,0,0,0
2025-02-26,TIC,571,0.1110143269377015,eod,TRAIN,1,12.7381,12.4100000197268,2.5757372,13.64,13.64,12.535,12.99,13.0,12.79,1,0,1,1
2025-02-27,AARD,571,-1.3425108311004166,stop,TRAIN,1,13.14933,12.85999999283001,2.2003403,13.0,13.73,12.7291,12.7291,13.73,13.46,0,0,1,0
2025-02-27,CSAI,571,-1.143854932565216,stop,TRAIN,1,8.46532,8.2900000059784,2.071038,8.7,8.7,8.26,8.4204,8.5,8.35,1,0,0,0
2025-02-27,HAFC,571,0.0339144984718507,eod,TRAIN,1,23.56047,22.3099999395876,5.307492,23.49,23.78,23.34,23.38,23.78,23.49,0,0,0,0
2025-02-27,RVMD,571,-1.167904312023908,stop,TRAIN,1,40.6215,39.900000009105,1.776153,41.245,41.99,40.53,40.53,41.99,41.245,1,0,0,0
2025-02-28,ALGS,571,-1.068056804295668,stop,TRAIN,1,16.81028,16.08000001627008,4.3442464,16.1828,17.0,17.0,17.0,17.0,16.565,0,1,0,0
2025-02-28,IMNM,573,1.2967972617622916,eod,TRAIN,3,8.91667,8.54999998917715,4.1121855,8.9,9.0,8.9,8.92,9.0,8.9,0,0,0,0
2025-02-28,UMAC,574,0.5471512019929738,eod,TRAIN,4,6.89061,6.4600000016031,6.249229,6.87,6.92,6.84,6.86,6.92,6.9,0,0,0,0
2025-02-28,CNTA,575,-1.703979245223401,stop,TRAIN,2,15.10518,14.800000018620482,2.0203664,15.05,15.4699,14.62,14.81,15.4699,14.63,0,0,0,0
2025-03-03,CYD,571,-1.0839357333791608,stop,TRAIN,1,19.17736,18.49999999607424,3.5320816,19.42,19.45,18.8,19.42,19.45,18.96,1,0,0,0
2025-03-03,DAVE,571,-1.1186572519955107,stop,TRAIN,1,100.96198,96.2599998694558,4.657179,100.86,102.0,101.31,101.31,102.0,102.26,0,1,0,0
2025-03-03,SION,571,2.0,target,TRAIN,1,13.81131,13.559999997126331,1.8195957,15.66,16.12,15.51,16.12,16.12,15.5101,1,1,1,1
2025-03-03,IBIO,572,2.0,target,TRAIN,2,5.84749,5.60000000289642,4.2324142,5.8162,5.937,5.6889,5.8211,5.937,5.96,0,0,0,0
2025-03-04,DNTH,571,-1.0959624589635355,stop,TRAIN,1,19.67886,19.070000007372002,3.09398,20.23,20.23,19.39,19.87,20.15,19.39,1,0,0,0
2025-03-04,DOMH,571,-1.064773223463716,stop,TRAIN,1,6.56965,6.269999998880301,4.5611258,6.5465,6.5967,6.3886,6.3886,6.5967,6.4003,0,0,0,0
2025-03-04,LTBR,571,2.0,target,TRAIN,1,9.593695,9.330000003401706,2.7486281,9.69,9.9991,9.64,9.64,9.9991,9.9,1,1,0,0
2025-03-04,SION,571,-3.7684713991296346,stop,TRAIN,1,14.45323,14.24999999661909,1.4061217,14.25,15.2053,15.2053,15.2053,15.2053,13.73,0,1,1,0
2025-03-05,NUKK,571,2.0,target,TRAIN,1,17.43214,17.03000000190038,2.3068883,17.898,18.6999,17.89,17.89,18.6999,18.46,1,1,1,0
2025-03-05,JVA,573,2.0,target,TRAIN,3,6.62983,6.35999998308579,4.0699387,6.61,6.84,6.6077,6.6077,6.84,6.7247,0,0,0,0
