Index,day,symbol,entry_m,filled,exit_m,why,rr,r_pct,rv_profile,rv_clock,price,adv20,is_wrapper,dist_open_pct,split,wk
11633,2025-10-23,ABVE,581,1,601.0,stop,-1.069468515309074,4.469288167101291,3.893528552143797,1.7947077502140618,4.6477200000000005,6487111.3,0.0,11.659277108433708,TRAIN,2025-10-18/2025-10-24
11680,2025-10-23,MULL,587,1,955.0,eod,1.707176940305782,1.9956507290567402,1.3506636234218845,0.9803545485708686,51.4569,348570.95,1.0,6.350435323383064,TRAIN,2025-10-18/2025-10-24
11667,2025-10-23,HYPD,612,1,631.0,target,2.0,1.3822205109265293,3.050840377656172,1.6253297307474297,7.63554,683260.3,0.0,6.621428571428578,TRAIN,2025-10-18/2025-10-24
11660,2025-10-23,HKPD,634,1,636.0,target,2.0,3.8029885204899747,2.560797089060764,0.1132472586015971,1.24744,114823.9,0.0,8.149565217391297,TRAIN,2025-10-18/2025-10-24
11746,2025-10-24,LGN,576,1,955.0,eod,-0.20128939828080133,3.854649878506739,2.605281272211049,42.02448210922783,36.216,845851.6,0.0,5.363291508608103,TRAIN,2025-10-18/2025-10-24
11732,2025-10-24,FOFO,584,1,595.0,stop,-1.19671673719946,2.8480681533715826,4.605117525087884,2.421551589753064,15.100060000000001,224853.85,0.0,11.107232472324702,TRAIN,2025-10-18/2025-10-24
11721,2025-10-24,BALY,585,1,844.0,stop,-1.035093802467334,2.7705587431666348,1.9383480960338413,11.36840997025767,19.77796,218349.75,0.0,6.244504310344823,TRAIN,2025-10-18/2025-10-24
11745,2025-10-24,LESL,585,1,955.0,eod,0.4299589898553889,4.365277529137968,1.142058878140194,0.1685981727891191,4.2453199999999995,277171.75,0.0,5.028784119106677,TRAIN,2025-10-18/2025-10-24
11722,2025-10-24,CIFRW,596,1,674.0,target,2.0,3.0864910735985034,1.119318487031337,,10.039880000000002,303095.6,0.0,6.375557917109442,TRAIN,2025-10-18/2025-10-24
11752,2025-10-24,NUAI,697,1,711.0,stop,-1.0305470383275284,3.1698696708637093,1.6389146454550891,1.2877336665248356,5.4324,40695203.95,0.0,30.19711538461538,TRAIN,2025-10-18/2025-10-24
