n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,cost,h1,h2,vgross,half_ok,note
1176,22.18867924528302,-0.06702058221170513,-0.06702058221170513,0.006079901650774156,-2.106774459143395,41.509433962264154,1.8867924528301887,5,-1942.177613033339,891.3373421934975,-7881.620468096523,-9604.662885935877,-148.7098201527646,33.33333333333333,-0.17432465038916062,99.31972789115646,F1c fb/h10/t2,TRAIN,-1.8044664796173713,0.0731004838624793,0.051816214435971134,-0.03328806378458525,-0.09293994901814547,False,
574,24.956521739130434,-0.1665094036104578,-0.1665094036104578,-0.09293994901814547,-3.8608226995858073,21.73913043478261,4.3478260869565215,9,-1190.942144472295,881.9436718897853,-9557.639767240276,-9880.224600350255,-415.5495550974033,20.0,-0.27981113091921017,98.95470383275261,F1c fb/h10/t2,VAL,-3.415536541347505,0.07356945459231232,0.051816214435971134,-0.03328806378458525,-0.09293994901814547,False,
1378,26.0,-0.08078385636877088,-0.08078385636877088,-0.015164184045887265,-3.647482242913298,37.735849056603776,1.8867924528301887,9,-1175.7102713248426,799.9702929593266,-11132.015407616627,-11992.928412215142,-210.0380265588043,16.666666666666664,-0.14017703663864592,99.34687953555878,F1c fb/h10/tls,TRAIN,-3.049929726520253,0.0656196723228836,0.03974140377595927,-0.061273148985729005,-0.08224060077041061,False,
744,32.34782608695652,-0.14847782094845435,-0.14847782094845435,-0.08224060077041061,-4.787417504662104,17.391304347826086,4.3478260869565215,9,-1270.537210081494,282.45388179487,-11046.749878565006,-11054.253650194425,-480.29347298108723,0.0,-0.21440469459439823,99.19354838709677,F1c fb/h10/tls,VAL,-4.213571576456543,0.06623722017804375,0.03974140377595927,-0.061273148985729005,-0.08224060077041061,False,
200,3.7735849056603774,-0.06124823878502376,-0.06124823878502376,0.00394755439903383,-0.9960740902238707,41.509433962264154,13.20754716981132,4,-584.4327972145876,490.59468895632534,-1224.964775700475,-2345.491326801097,-23.112542937744813,50.0,-0.11573391431589249,99.0,F1d fb/mfe/t1 SPYdn,TRAIN,-0.9107518550659374,0.06519579318405758,0.13309240227268868,-0.08579717039452289,0.007521828337514665,False,
138,6.0,-0.056644317344466,-0.056644317344466,0.007521828337514665,-0.7569254555715892,34.78260869565217,17.391304347826086,2,-575.8353816352572,509.7286657907567,-781.691579353631,-1114.3496942682868,-33.98659040667961,40.0,-0.11182254193853317,100.0,F1d fb/mfe/t1 SPYdn,VAL,-0.6168079464254993,0.06416614568198069,0.13309240227268868,-0.08579717039452289,0.007521828337514665,False,
195,3.6792452830188678,0.03701854556155908,0.03701854556155908,0.10643560668198851,0.45664422401643123,43.39622641509434,13.20754716981132,4,-584.4327972145876,649.7630907625879,721.8616384504015,-1836.359405151807,13.62003091415852,50.0,-0.06706556453372318,98.97435897435898,F1d fb/mfe/t2 SPYdn,TRAIN,0.4203528036999686,0.06941706112042946,0.25744700921539826,0.005761338326382017,-0.03432003662268681,False,
133,5.782608695652174,-0.10490655319442631,-0.10490655319442631,-0.03432003662268681,-1.090956953487952,39.130434782608695,17.391304347826086,2,-575.8353816352572,574.793188286607,-1395.2571574858698,-1552.6112846825638,-60.663354673298684,40.0,-0.21949030093344604,100.0,F1d fb/mfe/t2 SPYdn,VAL,-0.9537059232496728,0.07058651657173949,0.25744700921539826,0.005761338326382017,-0.03432003662268681,False,
200,3.7735849056603774,-0.027819647359281427,-0.027819647359281427,0.0349076930965746,-0.46356533604561484,47.16981132075472,13.20754716981132,4,-518.1924338183895,592.8145817095402,-556.3929471856286,-2263.9829277443614,-10.497980135577897,58.333333333333336,-0.12393835135555019,99.0,F1d fb/mfe/tls SPYdn,TRAIN,-0.4189965639000558,0.06272734045585603,0.18697815145505495,-0.06647261247574562,0.009534596922365388,False,
139,6.043478260869565,-0.05304971242422527,-0.05304971242422527,0.009534596922365388,-0.6820965804526654,39.130434782608695,17.391304347826086,3,-567.6024772242193,636.8003197130288,-737.3910026967314,-914.1364563472067,-32.06047837811876,40.0,-0.15144278256028118,100.0,F1d fb/mfe/tls SPYdn,VAL,-0.5679137057118667,0.06258430934659066,0.18697815145505495,-0.06647261247574562,0.009534596922365388,False,
330,6.226415094339623,-0.16838300072303392,-0.16838300072303392,-0.08642742706962994,-3.0404536267208804,32.075471698113205,9.433962264150944,5,-958.4909377568015,407.9503551234821,-5556.639023860118,-5946.357115964834,-104.84224573320978,16.666666666666664,-0.23038908747000345,98.7878787878788,F1d fb/h05/t1 SPYdn,TRAIN,-2.7242049973763987,0.08195557365340396,-0.06196445004253006,-0.10253119586636403,0.02486816702799817,False,
253,11.0,-0.05467246043509452,-0.05467246043509452,0.02486816702799817,-0.8592859174815661,47.82608695652174,8.695652173913043,5,-1054.94207767411,300.8463827995457,-1383.2132490078911,-2609.0761410475407,-60.13970647860396,60.0,-0.11029700027780848,99.2094861660079,F1d fb/h05/t1 SPYdn,VAL,-0.7551357418741179,0.07954062746309269,-0.06196445004253006,-0.10253119586636403,0.02486816702799817,False,
323,6.09433962264151,-0.17140850007846006,-0.17140850007846006,-0.08245544616512805,-2.458600488869194,35.84905660377358,9.433962264150944,5,-1101.1044650388637,969.2283348397173,-5536.49455253426,-6506.66531540713,-104.46216136857095,25.0,-0.2900807180093541,98.76160990712074,F1d fb/h05/t2 SPYdn,TRAIN,-2.1931168201212037,0.088953053913332,-0.11824992396958116,-0.05865396350134225,0.006451313115220764,False,
221,9.608695652173912,-0.08043429671352788,-0.08043429671352788,0.006451313115220764,-0.9304071069649552,52.17391304347826,8.695652173913043,2,-2096.334590874906,587.3784497930387,-1777.597957368966,-2690.8825599462816,-77.28686771169417,60.0,-0.1875146278742462,99.09502262443439,F1d fb/h05/t2 SPYdn,VAL,-0.7477344437254476,0.08688560982874866,-0.11824992396958116,-0.05865396350134225,0.006451313115220764,False,
328,6.188679245283019,-0.1986972393928232,-0.1986972393928232,-0.1144627592444776,-3.3440447264447215,33.9622641509434,9.433962264150944,3,-1039.4926057368236,569.8734634081443,-6517.269452084601,-6947.239666597254,-122.96734815253964,16.666666666666664,-0.31302137165596233,98.78048780487805,F1d fb/h05/tls SPYdn,TRAIN,-3.1306542355701175,0.08423448014834557,-0.1052794126144671,-0.1205694516735709,0.02859371014967067,False,
242,10.521739130434783,-0.052730680124255934,-0.052730680124255934,0.02859371014967067,-0.740513371527829,52.17391304347826,8.695652173913043,2,-1402.6707691993524,585.6626129681158,-1276.0824590069926,-2906.258007088224,-55.48184604378229,40.0,-0.15939195834588193,99.17355371900827,F1d fb/h05/tls SPYdn,VAL,-0.6074883580284427,0.08132439027392659,-0.1052794126144671,-0.1205694516735709,0.02859371014967067,False,
