symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,year,month,R,univ_ok
ZYBT,2025-05-13,10:40:00,6.91,6.6,7.6,18000,10:48:00,6.58,stop,-5927.48,-4.76,False,,0,0.0,201.73,557599,-13.17,-3.91,False,-0.09,2,6.18,-12.6,2.3,1.8,0.3,-0.3,0.3,0.0,0.0,2.3,1.136,0.0,0.0,104.53,2.433,1.136,,2025,2025-05,-1.06227240143369,True
ITOC,2025-05-15,10:09:00,4.75,4.67,4.9,10783,10:16:00,4.66,stop,-1053.07,-2.05,False,,0,0.0,48.0,299569,8.34,-10.69,False,0.02,2,21.68,7.76,3.0,1.8,0.0,0.3,0.3,0.0,0.2,3.0,0.897,0.2,0.0,27.05,2.061,0.897,,2025,2025-05,-1.2207525734953155,True
TSSI,2025-05-16,09:57:00,13.92,13.49,14.84,17753,10:06:00,14.72,trail_stop,14137.25,5.72,False,,0,0.0,31.83,947907,3.84,46.56,False,-0.09,2,8.02,4.25,1.8,1.8,0.3,0.0,0.3,0.0,0.0,1.8,0.888,0.2,0.0,56.14,0.706,0.888,,2025,2025-05,1.8519306923559609,True
RYET,2025-05-23,10:14:00,13.09,12.49,14.39,15219,10:16:00,12.45,stop,-9709.63,-4.87,False,,0,0.0,23.23,1187461,0.83,-4.14,False,0.06,2,7.32,1.46,2.2,1.8,0.3,-0.3,0.0,0.0,0.2,2.2,1.167,0.0,0.0,21.75,0.896,1.167,,2025,2025-05,-1.0633232582079424,True
FMST,2025-05-28,09:42:00,3.72,3.55,4.09,20000,09:53:00,3.9,trail_stop,3635.28,4.89,False,,0,0.0,33.54,832094,7.47,9.26,False,0.03,3,13.3,7.65,1.8,2.0,0.0,0.0,0.3,0.3,0.0,1.8,1.401,0.2,0.0,15.05,2.791,1.401,,2025,2025-05,1.0691999999999977,True
DFDV,2025-06-03,10:27:00,21.54,20.89,22.45,9844,11:06:00,20.83,stop,-6986.48,-3.3,False,,0,0.0,26.2,1220294,-1.89,1.07,False,0.12,2,3.61,-0.58,1.8,1.0,0.0,0.0,0.3,0.3,0.2,1.8,1.297,0.0,0.0,24.56,0.612,1.297,,2025,2025-06,-1.0918763479511167,True
NEGG,2025-06-09,10:25:00,13.57,13.1,14.57,8999,10:28:00,13.92,trail_stop,3155.23,2.58,False,,0,0.0,67.79,931289,9.85,0.0,False,-0.01,3,7.55,9.8,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.808,0.2,0.0,29.81,1.339,0.808,,2025,2025-06,0.7460001465883905,True
AGIG,2025-06-16,09:52:00,11.33,10.82,12.45,18000,09:54:00,10.79,stop,-9712.94,-4.76,False,,0,0.0,45.19,2104276,1.9,-11.31,False,0.09,3,17.98,2.32,2.3,1.8,0.0,0.0,0.3,0.0,0.0,2.3,0.914,0.0,0.0,43.39,0.706,0.914,,2025,2025-06,-1.0580544662309372,True
EGG,2025-07-09,09:57:00,7.19,6.96,7.66,18000,09:59:00,7.49,trail_stop,5405.37,4.18,False,,0,0.0,141.39,1142215,7.42,-4.17,False,0.02,2,7.89,6.96,2.3,1.8,0.3,0.0,0.3,-0.5,0.0,2.3,0.678,0.2,0.0,24.52,1.473,0.678,,2025,2025-07,1.3056449275362296,True
FTEK,2025-08-07,10:46:00,3.39,3.3,3.56,8165,10:48:00,3.29,stop,-789.15,-2.85,False,,0,0.0,21.62,408276,9.1,1.36,False,-0.07,3,4.83,9.04,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.878,0.2,0.0,21.62,3.329,0.878,,2025,2025-08,-1.0738926311492105,True
