day,symbol,m,sp_mean,sp_med,mid_med,bid_med,bid_max,n_q,err
2025-10-08,LSTR,787,0.6798717948717862,0.6850000000000023,132.945,132.6,132.77,78,
2025-10-09,ALNT,654,0.1904878048780497,0.20000000000000284,47.655,47.56,47.61,41,
2025-10-09,MGTX,750,0.040775862068965614,0.030000000000001137,8.91,8.88,8.91,116,
2025-10-15,AIP,861,0.0907999999999997,0.09999999999999964,14.219999999999999,14.17,14.17,25,
2025-10-17,CVRX,605,0.1213223140495863,0.129999999999999,9.985,9.94,10.0,121,
2025-10-17,DTIL,850,0.07782608695652159,0.05999999999999961,6.85,6.82,6.86,92,
2025-10-21,FC,849,0.1681249999999994,0.18999999999999773,19.259999999999998,19.165,19.18,32,
2025-10-21,FC,865,0.1776666666666665,0.20500000000000007,19.61,19.5,19.58,30,
2025-10-21,FC,873,0.19000000000000128,0.19000000000000128,19.615000000000002,19.52,19.52,13,
2025-10-22,ALKS,624,0.05013157894736761,0.05000000000000071,31.595,31.56,31.64,228,
2025-10-22,ALKS,698,0.02936507936507888,0.030000000000001137,31.695,31.68,31.71,126,
2025-10-22,ALKS,723,0.027962962962963585,0.030000000000001137,31.740000000000002,31.73,31.74,54,
2025-10-22,ALKS,726,0.04523178807947128,0.05000000000000071,31.84,31.82,31.84,302,
2025-10-22,HTFL,955,0.269999999999996,0.269999999999996,38.875,38.74,38.74,4,
2025-10-22,INGN,635,0.029285714285713662,0.02999999999999936,9.015,9.0,9.01,28,
2025-10-27,SEPN,955,0.056060606060604166,0.05999999999999872,22.71,22.69,22.7,33,
2025-10-29,ENPH,907,0.012475570032573281,0.010000000000001563,31.405,31.4,31.44,1228,
2025-10-29,EVR,670,3.48441176470591,3.915000000000049,301.5475,299.59,299.59,34,
2025-10-29,SITE,739,0.5044999999999945,0.5249999999999915,136.59,136.3,136.45,20,
2025-10-29,SITE,757,0.29727272727272047,0.3199999999999932,137.0025,136.835,137.03,22,
2025-10-30,ABEO,689,0.010000000000000193,0.009999999999999787,5.395,5.39,5.4,83,
2025-10-30,ABEO,690,0.009999999999999787,0.009999999999999787,5.405,5.4,5.4,75,
2025-10-30,ROG,704,1.0615492957746453,1.0499999999999972,91.66,91.25,91.68,71,
2025-10-30,ROG,708,1.9813235294117642,1.8199999999999932,92.6425,91.61,92.38,68,
2025-10-31,BFAM,672,0.6924137931034485,0.769999999999996,106.5,106.05,106.3,87,
2025-10-31,BFAM,673,0.5549999999999997,0.5300000000000011,106.735,106.47,106.59,24,
2025-10-31,BFAM,684,0.6533333333333282,0.5999999999999943,107.06,106.76,106.76,33,
2025-10-31,BFAM,714,0.34559748427673165,0.3400000000000034,107.42,107.21,107.5,159,
2025-10-31,BFAM,902,0.25852272727272985,0.22500000000000853,109.155,109.06,109.21,88,
2025-10-31,BFAM,903,0.2099999999999983,0.20999999999999375,109.505,109.4,109.54,53,
2025-10-31,FSLR,611,0.4754366197183115,0.4300000000000068,262.61,262.35,262.99,355,
2025-11-03,AMR,955,0.7409649122807055,0.6650000000000063,182.315,182.04,182.5,114,
