year,month,excess,cell,split,variant
2020,11,0.03053363994107694,F2-LO-60,TRAIN,complete
2020,12,0.019416664096773673,F2-LO-60,TRAIN,complete
2021,1,0.0438509653064143,F2-LO-60,TRAIN,complete
2021,2,-0.008485597099852304,F2-LO-60,TRAIN,complete
2021,3,-0.024915690150885572,F2-LO-60,TRAIN,complete
2021,4,-0.021847474987326088,F2-LO-60,TRAIN,complete
2021,5,0.011550049395470552,F2-LO-60,TRAIN,complete
2021,6,0.015104793974401565,F2-LO-60,TRAIN,complete
2021,7,-0.009393212161742492,F2-LO-60,TRAIN,complete
2021,8,0.028052633295217344,F2-LO-60,TRAIN,complete
2021,9,-0.013462917387890516,F2-LO-60,TRAIN,complete
2021,10,0.004937381234055849,F2-LO-60,TRAIN,complete
2021,11,-0.004796083532689566,F2-LO-60,TRAIN,complete
2021,12,-0.02114858153652066,F2-LO-60,TRAIN,complete
2022,1,-0.05460484714978553,F2-LO-60,TRAIN,complete
2022,2,-0.012564718840772482,F2-LO-60,TRAIN,complete
2022,3,0.05641239693645539,F2-LO-60,TRAIN,complete
2017,5,0.005425443975816346,A1-b,TRAIN,complete
2017,6,0.0047890459430612875,A1-b,TRAIN,complete
2017,7,0.0062010725210021045,A1-b,TRAIN,complete
2017,8,-0.11490320905302387,A1-b,TRAIN,complete
2017,9,-0.05309180109085254,A1-b,TRAIN,complete
2017,10,0.10078359737323517,A1-b,TRAIN,complete
2017,11,-0.12253021262614605,A1-b,TRAIN,complete
2017,12,0.08965587506843309,A1-b,TRAIN,complete
2018,1,-0.004894458301117677,A1-b,TRAIN,complete
2018,2,0.013636329111518908,A1-b,TRAIN,complete
2018,3,0.03149561060661932,A1-b,TRAIN,complete
2018,4,-0.0017311128447193846,A1-b,TRAIN,complete
2018,5,-0.011573042552198709,A1-b,TRAIN,complete
2018,6,0.002999616810115624,A1-b,TRAIN,complete
2018,7,0.10884513544097085,A1-b,TRAIN,complete
2018,8,0.036225604359360064,A1-b,TRAIN,complete
2018,9,-0.055912460557731136,A1-b,TRAIN,complete
2018,10,-0.046922874723684616,A1-b,TRAIN,complete
2018,11,-0.01584545676614213,A1-b,TRAIN,complete
2018,12,0.08966175280473543,A1-b,TRAIN,complete
2019,1,0.037098146925767406,A1-b,TRAIN,complete
2019,2,0.028364483571180044,A1-b,TRAIN,complete
2019,3,0.08624002814969578,A1-b,TRAIN,complete
2019,4,-0.033624685502767315,A1-b,TRAIN,complete
2019,5,0.004737898051091927,A1-b,TRAIN,complete
2019,6,0.007622330584289516,A1-b,TRAIN,complete
2019,7,0.0062613781055487205,A1-b,TRAIN,complete
2019,8,0.0352664388608539,A1-b,TRAIN,complete
2019,9,0.10142248784587071,A1-b,TRAIN,complete
2019,10,-0.02556959440509532,A1-b,TRAIN,complete
2019,11,0.05468709867555288,A1-b,TRAIN,complete
2019,12,-0.004730667818435563,A1-b,TRAIN,complete
2020,1,0.030948750691250138,A1-b,TRAIN,complete
2020,2,0.0207367676462904,A1-b,TRAIN,complete
2020,3,-0.08437397329837415,A1-b,TRAIN,complete
2020,4,-0.0787553420510716,A1-b,TRAIN,complete
2020,5,0.14800293312730872,A1-b,TRAIN,complete
2020,6,0.021632031381793704,A1-b,TRAIN,complete
2020,7,0.029817378466138633,A1-b,TRAIN,complete
2020,8,0.04987149101705235,A1-b,TRAIN,complete
2020,9,0.05141518350037777,A1-b,TRAIN,complete
2020,10,0.005729535002613084,A1-b,TRAIN,complete
2020,11,0.1180635963027612,A1-b,TRAIN,complete
2020,12,-0.025368202433470266,A1-b,TRAIN,complete
2021,1,-0.05862800109848143,A1-b,TRAIN,complete
2021,2,-0.09184526879427768,A1-b,TRAIN,complete
2021,3,0.011969552321667187,A1-b,TRAIN,complete
2021,4,-0.025428892836383277,A1-b,TRAIN,complete
2021,5,-0.0004523336205308759,A1-b,TRAIN,complete
2021,6,0.08696786689713742,A1-b,TRAIN,complete
2021,7,-0.014976390116225868,A1-b,TRAIN,complete
2021,8,0.04907014879191174,A1-b,TRAIN,complete
2021,9,0.07716236613865968,A1-b,TRAIN,complete
2021,10,0.07192211857118935,A1-b,TRAIN,complete
2021,11,-0.018922128730733623,A1-b,TRAIN,complete
2021,12,0.04122093585700726,A1-b,TRAIN,complete
2022,1,-0.03942383760684676,A1-b,TRAIN,complete
2022,1,-0.06982343786084033,F2-LO-60,VAL,complete
2022,2,0.034691223377292024,F2-LO-60,VAL,complete
2022,3,-0.001135635882780761,F2-LO-60,VAL,complete
2022,4,-0.041397885652699196,F2-LO-60,VAL,complete
2022,5,-0.02618873530422794,F2-LO-60,VAL,complete
2022,6,-0.01863010551533073,F2-LO-60,VAL,complete
2022,7,0.02324961303341877,F2-LO-60,VAL,complete
2022,8,-0.00041196251581443466,F2-LO-60,VAL,complete
2022,9,-0.017061326850086656,F2-LO-60,VAL,complete
2022,10,-0.018542196443496417,F2-LO-60,VAL,complete
2022,11,-0.008001351498172271,F2-LO-60,VAL,complete
2022,12,-0.002592852680450175,F2-LO-60,VAL,complete
2023,1,0.0019438139097305296,F2-LO-60,VAL,complete
2023,2,-0.015862314013926126,F2-LO-60,VAL,complete
2023,3,0.024190493873340047,F2-LO-60,VAL,complete
2023,4,-0.02668933159106801,F2-LO-60,VAL,complete
2023,5,0.026693632952386026,F2-LO-60,VAL,complete
2023,6,0.00988992361101726,F2-LO-60,VAL,complete
2023,7,0.0008482799341635872,F2-LO-60,VAL,complete
2023,8,-0.019605691104978562,F2-LO-60,VAL,complete
2023,9,-0.018354167378533903,F2-LO-60,VAL,complete
2023,10,-0.017573540527050735,F2-LO-60,VAL,complete
2023,11,0.02375039019125813,F2-LO-60,VAL,complete
2023,12,0.022731099622472772,F2-LO-60,VAL,complete
2024,1,-0.01096952720459099,F2-LO-60,VAL,complete
2024,2,0.008224903408222461,F2-LO-60,VAL,complete
2024,3,0.08640830137114353,F2-LO-60,VAL,complete
2021,11,0.05739709087815059,A1-b,VAL,complete
2021,12,-0.06748540494946575,A1-b,VAL,complete
2022,1,0.014559480337349773,A1-b,VAL,complete
2022,2,-0.0286679979494201,A1-b,VAL,complete
2022,3,0.05203531497973479,A1-b,VAL,complete
2022,4,0.03030563269742592,A1-b,VAL,complete
2022,5,-0.04253277899134522,A1-b,VAL,complete
2022,6,0.08529692585790971,A1-b,VAL,complete
2022,7,0.029655092426870144,A1-b,VAL,complete
2022,8,-0.035283185825536134,A1-b,VAL,complete
2022,9,-0.04113505065225809,A1-b,VAL,complete
2022,10,-0.008488312034846457,A1-b,VAL,complete
2022,11,0.033468625084514536,A1-b,VAL,complete
2022,12,-0.04325389249763445,A1-b,VAL,complete
2023,1,-0.08909345599753293,A1-b,VAL,complete
2023,2,0.012607965452129388,A1-b,VAL,complete
2023,3,0.044174185028920565,A1-b,VAL,complete
2023,4,0.011788132901942694,A1-b,VAL,complete
2023,5,0.017302123979831552,A1-b,VAL,complete
2023,6,0.028105235459780387,A1-b,VAL,complete
2023,7,-0.025699864014993468,A1-b,VAL,complete
2023,8,0.02842037717880852,A1-b,VAL,complete
2023,9,-0.08353686293935192,A1-b,VAL,complete
2023,10,-0.04633610032118474,A1-b,VAL,complete
2023,11,0.07761867510098375,A1-b,VAL,complete
2023,12,0.13569459960429375,A1-b,VAL,complete
2024,1,0.03074345154107294,A1-b,VAL,complete
