day,em,xm,symbol,net,wk,split
2025-03-07,571,688,SMCX,-1.2256917818395836,2025-03-01/2025-03-07,TRAIN
2025-03-07,580,596,GRRR,-1.1264365861194119,2025-03-01/2025-03-07,TRAIN
2025-03-07,582,956,RIOX,1.2207235392363274,2025-03-01/2025-03-07,TRAIN
2025-03-10,571,955,AZTA,-0.3111809414686151,2025-03-08/2025-03-14,TRAIN
2025-03-10,571,620,GRRR,-1.1628958350850584,2025-03-08/2025-03-14,TRAIN
2025-03-10,571,634,SMCL,-1.244097384612519,2025-03-08/2025-03-14,TRAIN
2025-03-10,571,630,SMCX,-1.2685380925259206,2025-03-08/2025-03-14,TRAIN
2025-03-11,571,577,DWTX,2.0,2025-03-08/2025-03-14,TRAIN
2025-03-11,571,576,GRRR,2.0,2025-03-08/2025-03-14,TRAIN
2025-03-11,575,693,GV,2.0,2025-03-08/2025-03-14,TRAIN
2025-03-11,577,955,PONY,0.12950711649203045,2025-03-08/2025-03-14,TRAIN
2025-03-12,571,955,CDRE,0.7978479821081039,2025-03-08/2025-03-14,TRAIN
2025-03-12,590,845,XP,-1.1449109747072388,2025-03-08/2025-03-14,TRAIN
2025-03-12,594,955,MSTZ,-0.1745666915565366,2025-03-08/2025-03-14,TRAIN
2025-03-12,594,955,SMST,-0.15814915903317522,2025-03-08/2025-03-14,TRAIN
2025-03-13,571,577,NN,2.0,2025-03-08/2025-03-14,TRAIN
2025-03-13,574,814,AEO,-1.1923489630181263,2025-03-08/2025-03-14,TRAIN
2025-03-13,575,955,GRPN,1.048395007290192,2025-03-08/2025-03-14,TRAIN
2025-03-13,581,955,FUTU,-0.6050316768918202,2025-03-08/2025-03-14,TRAIN
2025-03-14,572,574,EVCM,-1.1085342547802686,2025-03-08/2025-03-14,TRAIN
2025-03-14,573,905,LI,-1.1851351270922699,2025-03-08/2025-03-14,TRAIN
2025-03-14,573,826,SKBL,-1.1757153722072862,2025-03-08/2025-03-14,TRAIN
2025-03-14,574,594,CRVO,-1.1868767966145044,2025-03-08/2025-03-14,TRAIN
2025-03-17,581,955,AVGX,-0.140520271503603,2025-03-15/2025-03-21,TRAIN
2025-03-17,581,955,AVL,-0.1588420842599888,2025-03-15/2025-03-21,TRAIN
2025-03-17,581,628,IONX,-1.1348129144477248,2025-03-15/2025-03-21,TRAIN
2025-03-17,606,955,CYD,-0.24354229109275266,2025-03-15/2025-03-21,TRAIN
2025-03-18,571,602,HNRG,-1.1759098585308658,2025-03-15/2025-03-21,TRAIN
2025-03-18,571,955,ROAD,-0.48621035468365803,2025-03-15/2025-03-21,TRAIN
2025-03-18,572,955,GRPN,-0.38550160511397813,2025-03-15/2025-03-21,TRAIN
2025-03-18,587,955,QUBT,0.6592839777632532,2025-03-15/2025-03-21,TRAIN
2025-03-19,576,955,R,-0.053335108152450475,2025-03-15/2025-03-21,TRAIN
2025-03-19,581,955,IMVT,-0.0592964173577877,2025-03-15/2025-03-21,TRAIN
