cell,split,n,per_wk,gross,cost,net,clust_t,green,null_p95,redstreak,worst,total,wk_dollar,mdd,ex5,h1,h2,imputed,mde,note
UNION/$20/G3,TRAIN,268,5.056603773584905,0.012567227626798265,0.06911280802546574,-0.05654558039866748,-0.45463826245817074,35.84905660377358,43.39622641509434,7,-1035.6931351586256,-1515.4215546842881,-28.59285952234506,-4652.4382619501885,-0.37117640937758944,-0.07907311817463986,-0.039869351135934705,66.7910447761194,0.321204920239193,
UNION/$20/G3,VAL,158,6.869565217391305,0.16796339381007017,0.06977658828983689,0.09818680552023322,0.7566448225379993,39.130434782608695,56.52173913043478,3,-696.6352424959541,1551.3515272196855,67.45006640085589,-1683.3776728123644,-0.1514922422423076,,0.09818680552023322,68.9873417721519,0.3652647475308077,
UNION/$10/X0,TRAIN,796,15.018867924528301,-0.005129066136866604,0.07136908707867713,-0.07649815321554375,-1.6305670201797624,39.62264150943396,45.28301886792453,6,-1109.492581910356,-6089.252995957283,-114.89156596145817,-6273.637082786716,-0.18501679179878103,-0.08544501826731075,-0.07006336690401369,90.45226130653266,0.12606151604037139,
UNION/$10/X0,VAL,459,19.956521739130434,-0.038670033586542266,0.07337729246832107,-0.11204732605486335,-1.854145556122346,39.130434782608695,43.47826086956522,8,-1393.4892154847707,-5142.972265918228,-223.60748982253165,-6036.979414534599,-0.22187058472010868,,-0.11204732605486335,91.50326797385621,0.1653706246098309,
UNION/$10/G3,TRAIN,770,14.528301886792454,0.041531696704363456,0.0760531814926523,-0.03452148478828885,-0.49840846575098985,43.39622641509434,47.16981132075472,4,-1109.492581910356,-2658.1543286982405,-50.15385525845737,-4378.7517145211905,-0.34711200097781725,-0.11613486114802561,0.024451939292684258,90.25974025974025,0.1887682336185069,
UNION/$10/G3,VAL,445,19.347826086956523,0.004874180796510044,0.07818447036503476,-0.07331028956852473,-1.005403598257522,47.82608695652174,47.82608695652174,5,-1491.0728571752325,-3262.307885799351,-141.83947329562395,-5332.668093156568,-0.3295595949420396,,-0.07331028956852473,91.91011235955057,0.21137215167664364,
UNION/$5/X0,TRAIN,1356,25.58490566037736,-0.03278421770752792,0.06743541944207931,-0.10021963714960723,-2.8776546690060427,37.735849056603776,39.62264150943396,10,-1579.083164849831,-13589.78279748674,-256.4109961789951,-13826.955983437725,-0.20987482451052333,-0.08783864228633775,-0.10972733724669421,95.42772861356931,0.09678666677582456,
UNION/$5/X0,VAL,647,28.130434782608695,-0.04993944471443406,0.07202104927680543,-0.12196049399123948,-2.3946272605104206,26.08695652173913,39.130434782608695,8,-1378.143809920281,-7890.843961233195,-343.0801722275302,-8328.72154610177,-0.2345953225251363,,-0.12196049399123948,94.5904173106646,0.1393089613268621,
UNION/$5/G3,TRAIN,1243,23.452830188679247,0.06180872950826244,0.07159429741223557,-0.009785567903973124,-0.16189104127922246,41.509433962264154,50.943396226415096,5,-1542.2652693680711,-1216.3460904638591,-22.949926235167155,-6587.553398378289,-0.3461883376263435,-0.03666321623030488,0.011825777774964174,95.73612228479486,0.15374002535811065,
UNION/$5/G3,VAL,595,25.869565217391305,0.0037008207785731826,0.07615511856489354,-0.07245429778632037,-0.8313448933477646,39.130434782608695,43.47826086956522,5,-1742.737333433916,-4311.030718286062,-187.43611818635054,-5137.694488602178,-0.38506912664743415,,-0.07245429778632037,94.62184873949579,0.24863839792969242,
HOD/$20/X0,TRAIN,1622,30.60377358490566,-0.03895918684147364,0.06798002849533381,-0.10693921533680747,-2.9931691681122703,32.075471698113205,37.735849056603776,5,-2231.432721493132,-17345.540727630167,-327.27435335151256,-18928.988592607817,-0.21816972125039874,-0.14325229361401337,-0.0725442348317469,49.136868064118374,0.08766022312870501,baseline
HOD/$20/X0,VAL,706,30.695652173913043,0.08272033029467891,0.07006955092013452,0.01265077937454438,0.2616295949533307,43.47826086956522,60.86956521739131,4,-957.3728770391666,893.1450238428347,38.83239234099281,-2940.0336675961444,-0.09302888820971139,,0.01265077937454438,57.082152974504254,0.13226736123718896,baseline
HOD/$20/G3,TRAIN,1434,27.056603773584907,0.013865646198600352,0.07342661087463226,-0.05956096467603189,-1.0379509751194635,37.735849056603776,45.28301886792453,5,-2197.8397071854315,-8541.042334542975,-161.15174216118822,-12019.19990912513,-0.3343655004828483,-0.09165722700113318,-0.028865903434700392,53.76569037656904,0.1265312496888717,baseline
HOD/$20/G3,VAL,609,26.47826086956522,0.093619293918124,0.07603920936121845,0.017580084556905552,0.2564142643961733,52.17391304347826,56.52173913043478,6,-1634.593161611543,1070.6271495155477,46.549006500675986,-5657.198311436208,-0.206234631222132,,0.017580084556905552,63.71100164203612,0.16862553138313288,baseline
