day,symbol,entry_m,rr_X0,why_X0,xm_X0,rr_G3,why_G3,xm_G3
2025-02-26,PCLA,577,2.0,target,896,2.489795918367347,eod,900
2025-02-26,PRCH,582,2.0,target,604,-1.0282702702702706,stop,620
2025-02-26,ROBN,582,0.25833512583351037,eod,955,0.25833512583351037,eod,955
2025-02-26,SPCB,610,-1.0301666666666676,stop,822,-1.0301666666666676,stop,822
2025-02-27,AGH,606,-1.0212244897959197,stop,656,-1.0212244897959197,stop,656
2025-02-27,CPRX,577,-1.019561403508773,stop,682,-1.019561403508773,stop,682
2025-02-27,FUFU,626,-0.6655555555555559,eod,892,-0.6655555555555559,eod,892
2025-02-27,GRRR,578,-1.01578507078507,stop,583,-1.01578507078507,stop,583
2025-02-27,MLGO,616,-1.0103478260869567,stop,651,-1.0103478260869567,stop,651
2025-02-27,RRGB,579,1.1034482758620698,eod,900,1.1034482758620698,eod,900
2025-02-28,DMRC,693,-0.36956521739130105,eod,900,-0.36956521739130105,eod,900
2025-02-28,FUFU,638,-1.024795501022496,stop,659,-1.024795501022496,stop,659
2025-02-28,GRRR,578,2.0,target,737,2.6476190476190453,eod,955
2025-02-28,ORGO,578,1.4857142857142873,eod,955,1.4857142857142873,eod,955
2025-02-28,RRGB,595,-1.0384276729559725,stop,662,-1.0384276729559725,stop,662
2025-02-28,SPCB,646,-1.2294009090909146,stop,651,-1.2294009090909146,stop,651
2025-03-03,MSW,713,-1.0370322580645182,stop,719,-1.0370322580645182,stop,719
2025-03-03,SPCB,624,-1.0336785714285714,stop,643,-1.0336785714285714,stop,643
2025-03-04,RADX,589,0.7608089260808926,eod,955,0.7608089260808926,eod,955
2025-03-04,UVXY,609,-1.054850828729278,stop,645,-1.054850828729278,stop,645
2025-03-05,CYRX,661,-1.0295238095238084,stop,691,-1.0295238095238084,stop,691
2025-03-05,NEXN,639,2.0,target,853,2.189655172413799,eod,955
2025-03-05,RIGL,583,-1.0231395348837207,stop,587,-1.0231395348837207,stop,587
2025-03-05,SKBL,662,-1.0304960629921265,stop,770,-1.0304960629921265,stop,770
2025-03-05,VNET,607,1.324675324675325,eod,955,1.324675324675325,eod,955
2025-03-05,WYHG,595,-1.1093636363636332,stop,664,-1.1093636363636332,stop,664
2025-03-06,ALBT,589,0.049246317231928065,eod,957,0.049246317231928065,eod,957
2025-03-06,FLD,578,2.0,target,580,7.8196637799286846,eod,955
2025-03-06,GV,577,-1.3989578810247505,stop,609,-1.3989578810247505,stop,609
2025-03-07,AARD,630,-1.024654320987655,stop,633,-1.024654320987655,stop,633
2025-03-07,GV,610,-1.0054015969938939,stop,661,-1.0054015969938939,stop,661
2025-03-07,RADX,585,-1.0229454545454546,stop,586,-1.0229454545454546,stop,586
2025-03-07,SION,663,-0.3870967741935464,eod,955,-0.3870967741935464,eod,955
2025-03-10,DWTX,595,-1.0067777777777778,stop,625,-1.0067777777777778,stop,625
2025-03-10,MLYS,583,2.0,target,689,0.1807909604519776,eod,955
2025-03-10,SMST,580,-1.035657142857143,stop,582,-1.035657142857143,stop,582
2025-03-10,TRVI,578,-1.0165925925925916,stop,586,-1.0165925925925916,stop,586
2025-03-10,TSLZ,593,2.0,target,726,5.662891405729512,eod,955
2025-03-11,CONL,601,-1.025757575757575,stop,604,-1.025757575757575,stop,604
2025-03-11,METC,577,0.8917048837396406,eod,955,0.8917048837396406,eod,955
2025-03-11,MYO,586,-1.0152727272727282,stop,589,-1.0152727272727282,stop,589
2025-03-11,SEI,670,-1.035387096774195,stop,751,-1.035387096774195,stop,751
2025-03-12,AAOI,679,2.0,target,703,0.7999999999999972,eod,955
2025-03-12,DUOT,591,2.0,target,824,1.3749999999999991,eod,956
2025-03-12,DWTX,596,-1.0104999999999993,stop,608,-1.0104999999999993,stop,608
2025-03-12,IONQ,713,1.2553191489361635,eod,955,1.2553191489361635,eod,955
2025-03-12,SPHL,624,-1.0164287332880126,stop,646,-1.0164287332880126,stop,646
2025-03-13,GENK,581,-1.0838709677419347,stop,589,-1.0838709677419347,stop,589
2025-03-13,JG,621,-1.0289999999999992,stop,662,-1.0289999999999992,stop,662
2025-03-13,OPRX,577,-0.04918032786885284,eod,955,-0.04918032786885284,eod,955
2025-03-13,PESI,586,-1.0293199999999985,stop,597,-1.0293199999999985,stop,597
2025-03-13,XNET,622,-1.0323999999999993,stop,686,-1.0323999999999993,stop,686
2025-03-14,ARQQ,577,0.750000000000001,eod,955,0.750000000000001,eod,955
2025-03-14,GENK,580,0.37499999999999833,eod,955,0.37499999999999833,eod,955
2025-03-14,GRRR,606,2.0,target,649,3.978102189781021,eod,955
2025-03-14,MSTU,577,-1.0174166666666675,stop,600,-1.0174166666666675,stop,600
2025-03-14,MSTX,577,-1.0180510948905122,stop,583,-1.0180510948905122,stop,583
2025-03-14,QBTS,577,2.0,target,658,2.4849792019719676,eod,955
2025-03-14,QUBT,588,2.0,target,654,2.203703703703699,eod,955
2025-03-14,RGC,772,2.0,target,778,-0.3866666666666673,eod,955
2025-03-14,RGNX,577,-1.0129454545454537,stop,653,-1.0129454545454537,stop,653
2025-03-14,TSSI,579,-0.1800411522633753,eod,955,-0.1800411522633753,eod,955
2025-03-14,WYHG,579,-1.0131392405063286,stop,656,-1.0131392405063286,stop,656
2025-03-17,AMDL,577,-0.14285714285713982,eod,955,-0.14285714285713982,eod,955
2025-03-17,CLPT,760,0.8899388549193994,eod,955,0.8899388549193994,eod,955
2025-03-17,CSAI,577,2.0,target,675,2.6000000000000014,eod,955
2025-03-17,DUOT,715,0.9217142857142854,eod,955,0.9217142857142854,eod,955
2025-03-17,LZMH,580,-0.1505376344086028,eod,955,-0.1505376344086028,eod,955
2025-03-17,MEG,579,-1.0286574352799516,stop,752,-1.0286574352799516,stop,752
2025-03-17,MNSO,596,-0.7272727272727316,eod,955,-0.7272727272727316,eod,955
2025-03-17,QNTM,578,2.0,target,732,2.3762057877813496,eod,955
2025-03-17,SION,589,-1.0164475138121543,stop,632,-1.0164475138121543,stop,632
2025-03-17,SKBL,578,2.0,target,581,0.5142857142857166,eod,955
2025-03-17,SOXL,577,0.47535651738804063,eod,955,0.47535651738804063,eod,955
2025-03-17,TNXP,577,-1.0167733946964708,stop,618,-1.0167733946964708,stop,618
2025-03-17,UMAC,588,2.0,target,619,3.0869565217391366,eod,955
2025-03-18,ARQQ,602,2.0,target,608,-1.0376920328688828,stop,619
2025-03-18,FINV,577,-0.23105249636036657,eod,955,-0.23105249636036657,eod,955
2025-03-18,JG,589,-0.07099899766121028,eod,957,-0.07099899766121028,eod,957
2025-03-18,MSTZ,578,-1.0170957446808502,stop,624,-1.0170957446808502,stop,624
2025-03-18,MTEN,764,2.0,target,821,-1.0250473783954515,stop,870
2025-03-19,DJT,647,2.0,target,674,-1.082595060760493,stop,827
2025-03-19,FWRD,581,0.7974683544303809,eod,955,0.7974683544303809,eod,955
2025-03-19,JG,596,-1.0989527027027013,stop,708,-1.0989527027027013,stop,708
2025-03-19,QNTM,577,-1.0118834080717483,stop,764,-1.0118834080717483,stop,764
2025-03-20,ALBT,577,-1.0127166575442437,stop,594,-1.0127166575442437,stop,594
2025-03-20,ELAB,577,-1.004956956187548,stop,681,-1.004956956187548,stop,681
2025-03-20,LSF,687,-1.0316251308900515,stop,769,-1.0316251308900515,stop,769
2025-03-20,MTEN,582,-1.6265004999999972,stop,583,-1.6265004999999972,stop,583
2025-03-20,OPRX,577,-1.0332909090909084,stop,637,-1.0332909090909084,stop,637
2025-03-20,QNTM,581,2.0,target,585,-1.035947712418299,stop,872
2025-03-20,SPCB,684,-1.3245215827338124,stop,848,-1.3245215827338124,stop,848
2025-03-20,SPRY,590,0.0992720052945067,eod,955,0.0992720052945067,eod,955
2025-03-20,TITN,578,2.0,target,595,2.7701149425287306,eod,955
2025-03-20,TNXP,594,-1.0256570440535258,stop,612,-1.0256570440535258,stop,612
2025-03-21,ARQQ,590,-1.0250760979852136,stop,626,-1.0250760979852136,stop,626
2025-03-21,CPRX,739,-1.1522413793103519,stop,754,-1.1522413793103519,stop,754
2025-03-21,ELAB,591,-1.0333792633015024,stop,592,-1.0333792633015024,stop,592
2025-03-21,GRRR,577,2.0,target,832,1.5046728971962609,eod,955
2025-03-21,MTEN,602,2.0,target,882,0.3793103448275842,eod,955
2025-03-21,TNXP,577,0.9094922737306835,eod,955,0.9094922737306835,eod,955
2025-03-21,WGRX,581,-1.0073450539146742,stop,599,-1.0073450539146742,stop,599
2025-03-24,AMBR,631,-1.029576320231491,stop,649,-1.029576320231491,stop,649
2025-03-24,ANAB,577,-1.0164119066773944,stop,721,-1.0164119066773944,stop,721
2025-03-24,ELAB,591,-1.0123589743589734,stop,932,-1.0123589743589734,stop,932
2025-03-24,LUNR,580,-1.0233521126760579,stop,589,-1.0233521126760579,stop,589
2025-03-24,LZMH,778,-1.0187857142857135,stop,816,-1.0187857142857135,stop,816
2025-03-24,MSTU,604,2.0,target,954,2.0499999999999945,eod,955
2025-03-24,PESI,584,-0.07126436781609322,eod,955,-0.07126436781609322,eod,955
2025-03-25,DOMH,594,-1.0389728096676702,stop,597,-1.0389728096676702,stop,597
2025-03-25,MLGO,613,2.0,target,672,-1.0098598130841123,stop,834
2025-03-25,TNON,583,-1.0173974044195007,stop,584,-1.0173974044195007,stop,584
2025-03-26,DOMH,580,-1.0216612960973868,stop,592,-1.0216612960973868,stop,592
2025-03-26,LZMH,619,2.0,target,726,4.115789473684206,eod,955
2025-03-26,PROP,800,-1.0096986985202356,stop,805,-1.0096986985202356,stop,805
2025-03-26,TNXP,612,-1.015214285714286,stop,618,-1.015214285714286,stop,618
2025-03-27,LSF,682,-1.1574999999999989,stop,691,-1.1574999999999989,stop,691
2025-03-27,MLGO,579,2.0,target,591,4.27825313923769,eod,955
2025-03-27,QNTM,601,2.0,target,603,2.1937984496123972,eod,955
2025-03-27,YRD,617,0.8437499999999979,eod,955,0.8437499999999979,eod,955
2025-03-28,AMBR,581,-1.0198333333333345,stop,945,-1.0198333333333345,stop,945
2025-03-28,MLGO,579,0.2395833333333338,eod,955,0.2395833333333338,eod,955
2025-03-28,QNTM,580,-1.007737288135594,stop,809,-1.007737288135594,stop,809
2025-03-28,ZYBT,600,-1.6450416666666674,stop,630,-1.6450416666666674,stop,630
2025-03-31,EBS,577,-1.0083620689655177,stop,605,-1.0083620689655177,stop,605
2025-03-31,FLD,592,2.0,target,596,-1.1861574074074077,stop,792
2025-03-31,GRRR,579,2.0,target,594,3.5739910313901277,eod,955
2025-03-31,LABD,579,-1.031633333333332,stop,701,-1.031633333333332,stop,701
2025-03-31,TNXP,577,-1.0061186473617725,stop,726,-1.0061186473617725,stop,726
2025-03-31,UMC,637,2.0,target,638,1.4687499999999951,eod,955
2025-03-31,ZYBT,588,-1.2360910605219306,stop,732,-1.2360910605219306,stop,732
2025-04-01,AARD,764,-1.0157500000000015,stop,907,-1.0157500000000015,stop,907
2025-04-01,CSAI,598,2.0,target,599,-1.0177937956204368,stop,932
2025-04-01,LZMH,581,-1.0141176470588238,stop,648,-1.0141176470588238,stop,648
2025-04-01,QNTM,581,-1.016422037864284,stop,593,-1.016422037864284,stop,593
2025-04-01,ZYBT,597,-1.0389784946236544,stop,600,-1.0389784946236544,stop,600
2025-04-02,CGNT,577,0.34860557768924183,eod,955,0.34860557768924183,eod,955
2025-04-02,FLD,599,-1.0229999999999997,stop,632,-1.0229999999999997,stop,632
2025-04-02,KRRO,587,2.0,target,732,1.388888888888891,eod,955
2025-04-02,NGNE,611,2.0,target,687,1.59016393442622,eod,955
2025-04-02,RADX,587,-1.5112218749999975,stop,613,-1.5112218749999975,stop,613
2025-04-02,SION,627,2.0,target,721,1.9999999999999967,eod,955
2025-04-02,TECX,640,0.8518518518518547,eod,955,0.8518518518518547,eod,955
2025-04-02,TSSI,579,2.0,target,692,0.767441860465117,eod,955
2025-04-02,ZYBT,709,2.0,target,764,-1.020464285714285,stop,925
2025-04-03,GFI,609,0.06896551724137805,eod,955,0.06896551724137805,eod,955
2025-04-03,LZMH,750,2.0,target,767,1.2527628223292715,eod,955
2025-04-03,MLGO,580,-1.014288137030443,stop,605,-1.014288137030443,stop,605
2025-04-03,SION,578,2.0,target,640,-0.09096153846153834,eod,955
2025-04-03,TIVC,730,-1.010390352655046,stop,731,-1.010390352655046,stop,731
2025-04-03,TSSI,579,-1.0371578947368423,stop,583,-1.0371578947368423,stop,583
2025-04-03,UVXY,659,-1.0710370370370406,stop,671,-1.0710370370370406,stop,671
2025-04-03,ZYBT,577,-1.0200694333599352,stop,584,-1.0200694333599352,stop,584
2025-04-04,AREB,607,2.0,target,714,5.967541842682207,eod,949
2025-04-04,FNGD,648,-1.0451153846153847,stop,658,-1.0451153846153847,stop,658
2025-04-04,GDXD,577,2.0,target,628,2.9333333333333376,eod,955
2025-04-04,MEG,665,-1.171545454545453,stop,715,-1.171545454545453,stop,715
2025-04-04,RIGL,684,-1.0496666666666659,stop,687,-1.0496666666666659,stop,687
2025-04-04,TCRT,600,-1.0159407894736832,stop,603,-1.0159407894736832,stop,603
2025-04-04,TTGT,664,-1.0398297872340387,stop,742,-1.0398297872340387,stop,742
2025-04-07,AMBR,622,-0.6829268292682908,eod,955,-0.6829268292682908,eod,955
