day,symbol,entry_m,rr,why
2025-02-07,ARWR,579,-1.4390954621338654,stop
2025-02-07,QLYS,581,0.2318329048843189,pp+stop
2025-02-07,NNE,586,0.2267115384615388,pp+stop
2025-02-07,SMCX,586,0.23077311185283056,pp+stop
2025-02-07,HIMS,587,0.22173076923076912,pp+stop
2025-02-07,SOXS,615,-1.0803725490196097,stop
2025-02-07,VCTR,621,0.22084817614196892,pp+stop
2025-02-07,INOD,624,0.2248365624628535,pp+stop
2025-02-07,PLTU,639,0.22690199544347556,pp+stop
2025-02-07,PTIR,639,0.2254539007092193,pp+stop
2025-02-07,NBIS,766,1.25,pp+target
2025-02-07,RIOX,819,-1.1227345688019887,stop
2025-02-10,CLS,577,-1.0272340092935617,stop
2025-02-10,NVDL,587,-0.03703703703704016,eod
2025-02-10,NVDU,587,-0.10225197808886811,eod
2025-02-10,SMR,606,-1.0304046242774556,stop
2025-02-10,AAOI,634,-1.035113636363635,stop
2025-02-10,SMCI,695,-1.0637584423978013,stop
2025-02-10,RKLB,709,1.2499999999999982,pp+target
2025-02-10,DOCS,724,-1.098941176470595,stop
2025-02-10,CDNA,775,1.25,pp+target
2025-02-11,YETI,594,-1.096282051282059,stop
2025-02-11,MPLN,599,0.23027110766847514,pp+stop
2025-02-11,INTC,607,0.204663043478255,pp+stop
2025-02-11,EDU,643,1.1585365853658525,pp+eod
2025-02-11,GCT,651,-1.0685764573359562,stop
2025-02-11,LEU,656,-1.0938400000000001,stop
2025-02-11,INSP,663,0.2189387755102054,pp+stop
2025-02-11,PDD,665,-1.0870444444444416,stop
2025-02-11,GEO,778,-1.089935483870966,stop
2025-02-11,GRRR,778,-1.0528249999999983,stop
2025-02-11,JAZZ,795,0.21299572649572596,pp+stop
2025-02-12,PTIR,581,1.25,pp+target
2025-02-12,RDW,581,0.22271176470587892,pp+stop
2025-02-12,PLTU,582,1.2500000000000013,pp+target
2025-02-12,LEU,584,0.23184937384396165,pp+stop
2025-02-12,COOP,586,-1.0912500000000025,stop
2025-02-12,OKLO,593,1.2500000000000013,pp+target
2025-02-12,R,598,-1.0782736077481792,stop
2025-02-12,NNE,614,0.21560526315789688,pp+stop
2025-02-12,PAM,616,0.22164642857142738,pp+stop
2025-02-12,TSLR,625,0.22156862745098227,pp+stop
2025-02-12,GNRC,639,0.22630078740157636,pp+stop
2025-02-12,GDS,645,-1.0488611111111068,stop
2025-02-13,CXT,586,-1.2087636363636405,stop
2025-02-13,PLMR,586,1.250000000000002,pp+target
2025-02-13,WMB,587,0.21022857142856988,pp+stop
2025-02-13,PAG,588,-1.0455360618722587,stop
2025-02-13,EH,603,0.21588157894736745,pp+stop
2025-02-13,SERV,603,-1.040720221606646,stop
2025-02-13,PPC,614,-1.052614583333336,stop
2025-02-13,LMND,615,2.0,target
2025-02-13,CONL,616,0.20221155852283917,pp+stop
2025-02-13,ESTA,620,0.192900512820517,pp+stop
2025-02-13,SMCL,631,1.25,pp+target
2025-02-13,TEM,635,0.22621186440678195,pp+stop
2025-02-14,MATW,582,-0.872549019607844,eod
2025-02-14,BBIO,586,0.22357936507936726,pp+stop
2025-02-14,SMCI,586,0.23419307168877657,pp+stop
2025-02-14,PPC,590,0.21109027777777786,pp+stop
2025-02-14,MPLN,617,-1.145025087719294,stop
2025-02-14,SOFX,636,1.25,pp+target
2025-02-14,BHF,655,0.20299999999999835,pp+stop
2025-02-14,SMCL,781,-1.1263418803418765,stop
2025-02-14,DELL,802,-1.0749150326797399,stop
2025-02-14,CYTK,832,0.21686294341835383,pp+stop
2025-02-18,AOSL,577,0.22980492130347902,pp+stop
2025-02-18,NNE,580,-1.0453274169692073,stop
2025-02-18,LUNR,604,0.2159165103189492,pp+stop
2025-02-18,ODD,605,-1.0985217391304274,stop
2025-02-18,MRNA,607,0.22562500000000002,pp+stop
2025-02-18,TGS,609,0.22332352941176634,pp+stop
2025-02-18,UPST,610,0.2323249496981903,pp+stop
2025-02-18,CRS,625,0.7674291938997801,pp+eod
2025-02-18,PAM,628,0.14146022727272795,pp+stop
2025-02-18,MRUS,725,0.20206179775281358,pp+stop
2025-02-18,NE,770,-1.0894029850746252,stop
2025-02-18,UNG,792,0.7925531914893684,pp+eod
2025-02-19,ASTS,579,-1.0270362765229304,stop
2025-02-19,ACMR,586,1.2500000000000016,pp+target
2025-02-19,RUSHA,587,0.12651801801801416,pp+stop
2025-02-19,TSLL,590,-1.0410479302832243,stop
2025-02-19,MSB,604,0.22619658119658054,pp+stop
2025-02-19,GRAL,630,0.2265342303845821,pp+stop
2025-02-19,GIL,635,-1.0897647058823512,stop
2025-02-19,TX,679,0.22144285714285714,pp+stop
2025-02-19,BKSY,691,0.2230624999999963,pp+stop
2025-02-19,SOC,698,-1.049003117206984,stop
2025-02-19,AAOI,716,-1.0335287356321847,stop
2025-02-19,SMCI,738,1.2499999999999967,pp+target
2025-02-20,LKQ,586,-1.044000000000002,stop
2025-02-20,TSLQ,594,0.22561844123964303,pp+stop
2025-02-20,DINO,595,0.6564516129032198,pp+eod
2025-02-20,EWTX,684,1.2500000000000022,pp+target
2025-02-20,SMCX,714,0.23200819195909989,pp+stop
2025-02-20,SMCI,721,0.22277682674114782,pp+stop
2025-02-20,SMCL,721,0.23350357142857167,pp+stop
2025-02-20,MSB,731,-1.5549614112458705,stop
2025-02-20,NBIS,749,1.25,pp+target
2025-02-20,GME,774,0.22394230769230708,pp+stop
2025-02-21,RYAN,587,0.2053571428571496,pp+stop
2025-02-21,CWAN,613,-1.0923088235294125,stop
2025-02-21,SARK,625,1.25,pp+target
2025-02-21,EWTX,672,-1.1788602150537615,stop
2025-02-21,TSLQ,698,1.2499999999999962,pp+target
2025-02-21,TSDD,699,1.2499999999999973,pp+target
2025-02-21,UVIX,760,1.2499999999999971,pp+target
2025-02-21,MRNA,776,-1.0282530612244902,stop
2025-02-21,VIXY,793,-1.0945333333333382,stop
2025-02-24,GH,583,0.21921669602926994,pp+stop
2025-02-24,SMCL,586,0.15303144654088058,pp+stop
2025-02-24,MSTZ,588,1.25,pp+target
2025-02-24,TSDD,599,0.23126446280991755,pp+stop
2025-02-24,TSLQ,599,0.2316817441742151,pp+stop
2025-02-24,UVIX,599,1.25,pp+target
2025-02-24,NVD,605,-1.0408697619047669,stop
2025-02-24,SRTY,608,-1.0714999999999955,stop
2025-02-24,NVDS,637,0.2103389830508523,pp+stop
2025-02-24,FDP,653,0.20437878787878686,pp+stop
2025-02-24,GRAL,714,1.2500000000000016,pp+target
2025-02-24,TNDM,723,0.21517021276596068,pp+stop
2025-02-25,TSLQ,587,1.25,pp+target
2025-02-25,AS,588,-1.0552399999999977,stop
2025-02-25,IART,588,1.2500000000000027,pp+target
2025-02-25,NVD,593,0.23584328358208814,pp+stop
2025-02-25,UVIX,606,0.23478037383177747,pp+stop
2025-02-25,NVDS,619,0.2118181818181791,pp+stop
2025-02-25,SOXS,619,-1.0584444444444425,stop
2025-02-25,TSDD,639,0.09642723581074883,pp+stop
2025-02-25,NAIL,653,-1.0937349702569337,stop
2025-02-25,CECO,662,0.165833333333332,pp+stop
2025-02-25,BBW,711,0.18592553191488898,pp+stop
2025-02-25,ECG,712,1.2499999999999973,pp+target
2025-02-26,MAN,587,0.21046575342465265,pp+stop
2025-02-26,CRDO,588,-1.0316832304580115,stop
2025-02-26,INOD,588,-1.0608616562948763,stop
2025-02-26,ASTS,590,0.2364492296603282,pp+stop
2025-02-26,DXYZ,594,0.2169050632911368,pp+stop
2025-02-26,NRG,601,1.25,pp+target
2025-02-26,ROOT,605,-1.06697205072031,stop
2025-02-26,MRUS,610,0.21500375939849214,pp+stop
2025-02-26,SAM,624,-1.064820045558086,stop
2025-02-26,TSDD,630,-1.0315384615384615,stop
2025-02-26,DOCN,656,0.2040789473684188,pp+stop
2025-02-26,LNTH,668,0.20201000000000136,pp+stop
2025-02-27,CORT,578,-1.0376357056694792,stop
2025-02-27,DQ,586,-1.048127659574468,stop
2025-02-27,JKS,586,0.23360344827586044,pp+stop
2025-02-27,SRPT,586,-1.0401558935361213,stop
2025-02-27,NAMS,591,0.23007547169811343,pp+stop
2025-02-27,SOXS,595,0.22519767441860583,pp+stop
2025-02-27,MSTZ,597,0.23692865577642128,pp+stop
2025-02-27,ZK,616,1.25,pp+target
2025-02-27,TGLS,622,0.18598802395209882,pp+stop
2025-02-27,HIMS,668,-1.044469999999997,stop
2025-02-27,ESTA,678,1.25,pp+target
2025-02-27,PENN,698,-1.086375000000002,stop
2025-02-28,ATAT,581,1.25,pp+target
2025-02-28,GRRR,582,0.23039341692790166,pp+stop
2025-02-28,HIMS,586,0.23172268907562954,pp+stop
2025-02-28,GDS,588,1.2499999999999976,pp+target
2025-02-28,ERIE,601,-1.067784469096676,stop
2025-02-28,NNE,607,1.2499999999999987,pp+target
2025-02-28,MRVL,626,-1.0885951219512249,stop
2025-02-28,FUN,650,0.20519999999999783,pp+stop
2025-02-28,KNTK,654,-1.0860958904109548,stop
2025-02-28,AS,683,-1.0981666666666685,stop
2025-02-28,GTLS,723,-1.0923431372549,stop
2025-02-28,RKLB,740,-1.0967417345471944,stop
2025-03-03,SPHR,577,0.23776857629041423,pp+stop
2025-03-03,SOXS,580,0.2350129870129857,pp+stop
2025-03-03,NVD,582,1.2499999999999987,pp+target
2025-03-03,DAVE,590,-1.0528736842105253,stop
2025-03-03,ETHD,596,0.126735669642855,pp+stop
2025-03-03,BITI,601,-1.0869242586638101,stop
2025-03-03,RDDT,624,-1.0962977528089937,stop
2025-03-03,KNSA,639,0.21722727272727518,pp+stop
2025-03-03,LMND,642,-1.0468414634146328,stop
2025-03-03,MSTZ,647,0.2278818181818189,pp+stop
2025-03-03,BOIL,680,1.25,pp+target
2025-03-03,UNG,702,0.21962500000000018,pp+stop
2025-03-04,GRAL,591,0.23380131004366772,pp+stop
2025-03-04,UVIX,604,0.22789473684210448,pp+stop
2025-03-04,HIBS,608,0.12685513157894804,pp+stop
2025-03-04,SOXS,609,0.21323229658428372,pp+stop
2025-03-04,TSDD,620,-1.0552631578947353,stop
2025-03-04,TSLQ,620,-1.0315632162997983,stop
2025-03-04,DQ,632,-1.048780487804877,stop
2025-03-04,TGTX,632,-1.0602166666666673,stop
2025-03-04,ACMR,660,1.2500000000000024,pp+target
2025-03-04,SMCI,685,1.25,pp+target
2025-03-04,PRAX,704,-1.098355555555575,stop
2025-03-04,NVDL,719,0.22747916666666623,pp+stop
2025-03-05,CE,577,1.214683890780431,pp+eod
2025-03-05,GDXU,582,1.2136261649982745,pp+eod
2025-03-05,AAON,601,-1.0768851674641091,stop
2025-03-05,BOIL,604,0.21520344827586005,pp+stop
2025-03-05,NUGT,608,0.21487050960735363,pp+stop
2025-03-05,SITM,636,1.249999999999998,pp+target
