book,cell,label,split,n,n_weeks,tr_per_wk,green_pct,flat_pct,red_pct,green_wks,flat_wks,red_streak,worst_wk,best_wk,mo_green_pct,worst_mo,mdd,pnl,wr,top1_share,top5_share,top10_share,wk_traded_pct
ORB,E4b,E4 time box (long),TRAIN,105,53,1.9811320754716981,37.735849056603776,35.84905660377358,26.41509433962264,20,19,3,-418.3564857054276,1095.9268366808876,91.66666666666666,-237.7841400700736,-741.313974906473,4439.994294595589,34.285714285714285,0.1955077528982302,0.7000171638618427,1.106861727635349,75.47169811320755
ORB,E4b,E4 time box (long),VAL,53,23,2.3043478260869565,21.73913043478261,26.08695652173913,52.17391304347826,5,6,4,-409.8068719396807,2038.4899360400007,40.0,-577.9281019668231,-615.4602503668228,3886.032841839278,20.754716981132077,0.4845683032833241,1.0916804014418544,1.347527896088372,78.26086956521739
ORB,E5,E5 breakeven-only @ +0.75R,TRAIN,105,53,1.9811320754716981,33.9622641509434,35.84905660377358,30.18867924528302,18,19,3,-381.06998619542856,1145.7913520339619,91.66666666666666,-31.77065099530273,-460.9445701790187,4587.230184535706,25.71428571428571,0.18923255919088042,0.677548779684826,1.085003012915282,75.47169811320755
ORB,E5,E5 breakeven-only @ +0.75R,VAL,53,23,2.3043478260869565,21.73913043478261,26.08695652173913,52.17391304347826,5,6,4,-337.6383531424998,2210.3068789481604,60.0,-550.1621064228228,-564.9120358468231,4730.038054283436,18.867924528301888,0.39810426873163923,0.8968862077026164,1.1441973698379806,78.26086956521739
ORB,X1,M-X1 10-min TS < +0.25R,TRAIN,105,53,1.9811320754716981,32.075471698113205,35.84905660377358,32.075471698113205,17,19,3,-225.77034417390504,1010.089190033962,75.0,-43.75353041733191,-537.0412819119965,3926.062199491521,31.428571428571427,0.2211002432742332,0.7522934834962008,1.1847177058508067,75.47169811320755
ORB,X1,M-X1 10-min TS < +0.25R,VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,6,-366.7719499396818,2137.47924764,60.0,-475.9669410956809,-532.5959495196804,4372.260063641633,22.641509433962266,0.4306807722468713,0.9702775752231761,1.203146134938411,78.26086956521739
ORB,X2,M-X2 5-min TS < 0R,TRAIN,105,53,1.9811320754716981,32.075471698113205,35.84905660377358,32.075471698113205,17,19,3,-353.39868919142737,2523.6857854363334,91.66666666666666,-130.0049839466652,-553.2091525730193,6157.497731636843,26.666666666666668,0.14097501050748942,0.5124425549548861,0.9015952794123269,75.47169811320755
ORB,X2,M-X2 5-min TS < 0R,VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,6,-247.91359393968128,2315.68742891216,80.0,-333.8218641721892,-549.8917606721889,6054.933106081794,26.41509433962264,0.3109940783296072,0.7850875081890818,1.0188169420308044,78.26086956521739
ORB,X3,M-X3 no lock,TRAIN,105,53,1.9811320754716981,32.075471698113205,35.84905660377358,32.075471698113205,17,19,3,-506.7058558974277,2523.6857854363334,66.66666666666666,-193.46632717847362,-787.2418046759021,6960.305798060646,30.476190476190478,0.2461411388434526,0.6191286531246383,0.9964483097195269,75.47169811320755
ORB,X3,M-X3 no lock,VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-337.6383531424998,2379.8040136400004,100.0,159.12033712478714,-489.1654050560701,6566.603765661278,26.41509433962264,0.28676137739882407,0.7239133826474491,0.9394305871778315,78.26086956521739
ORB,X4,M-X4 no lock + 10-min TS,TRAIN,105,53,1.9811320754716981,30.18867924528302,35.84905660377358,33.9622641509434,16,19,4,-304.125791125999,1810.4633074780538,58.333333333333336,-164.37818901333233,-755.9334386439969,4745.2976074909175,30.476190476190478,0.36103480488322837,0.9008636773281837,1.2623189320735628,75.47169811320755
ORB,X4,M-X4 no lock + 10-min TS,VAL,53,23,2.3043478260869565,30.434782608695652,26.08695652173913,43.47826086956522,7,6,3,-366.7719499396818,2137.47924764,60.0,-611.5637845196802,-532.5959495196805,4488.324870653633,20.754716981132077,0.419543681649565,0.9451869049259636,1.1722010051540255,78.26086956521739
ORB,X5,M-X5 no lock + TS + BE@1R,TRAIN,105,53,1.9811320754716981,28.30188679245283,35.84905660377358,35.84905660377358,15,19,4,-353.0583349339994,1010.089190033962,66.66666666666666,-212.4047814049303,-727.7382607119962,2716.8100578957183,23.809523809523807,0.3195119603207335,1.0871393087987462,1.6443904352869725,75.47169811320755
ORB,X5,M-X5 no lock + TS + BE@1R,VAL,53,23,2.3043478260869565,26.08695652173913,26.08695652173913,47.82608695652174,6,6,3,-366.7719499396818,2137.47924764,60.0,-517.0573295756803,-531.8072589996806,4331.726707571633,18.867924528301888,0.4347107903603112,0.9793567736810367,1.214577760790325,78.26086956521739
HOD,E0,E0 shipped,TRAIN,2336,53,44.075471698113205,45.283018867924525,1.8867924528301887,52.83018867924528,24,1,7,-17.51617255999789,21.466631277572315,50.0,-29.90478429056055,-148.55071448563547,-69.41191662759967,36.7722602739726,-0.6630137138913121,-3.371482362129836,-6.7426614242990635,98.11320754716981
HOD,E0,E0 shipped,VAL,1034,23,44.95652173913044,39.130434782608695,4.3478260869565215,56.52173913043478,9,1,7,-16.215576449289472,24.452959299194305,40.0,-35.87657982364217,-87.67247321413689,-6.291189088763581,39.071566731141196,-3.179049257273342,-16.53105613782137,-32.7442073499154,95.65217391304348
HOD,E1a,E1 target +0.50R (whole),TRAIN,2772,53,52.301886792452834,18.867924528301888,1.8867924528301887,79.24528301886792,10,1,18,-18.390998157653076,8.835837268358032,0.0,-38.560203494058136,-262.5502749122663,-261.3999239518988,61.832611832611825,-0.05355778145741323,-0.26587612937787186,-0.5298394808465491,98.11320754716981
